injected_depth,injection_count,arima_convergence_rate,period_match_rate,exact_period_match_rate,exact_period_present_top10_rate,detection_rate_fap_1_percent,recovery_rate_fap_1_percent,exact_recovery_rate_fap_1_percent,median_period_error_fraction,median_exact_period_error_fraction,median_score,median_raw_pooled_score,median_valid_transit_events,median_positive_event_fraction,median_event_score
0.0002,27,0.5925925925925926,0.4074074074074074,0.07407407407407407,1.0,1.0,0.4074074074074074,0.07407407407407407,0.256075607560756,0.4975697569756976,18.676749408278678,18.24221015599724,36.0,1.0,3.1127915680464464
0.0005,27,0.4444444444444444,0.9629629629629629,0.9259259259259259,1.0,1.0,0.9629629629629629,0.9259259259259259,0.0001500150015001367,0.0001500150015001367,30.86085456566407,26.550530536085844,18.0,1.0,6.730127625156745
0.001,27,0.4074074074074074,1.0,0.9629629629629629,1.0,1.0,1.0,0.9629629629629629,0.0001300130013001777,0.0001500150015001367,63.561314951936424,50.41267477238874,18.0,1.0,12.639484961162397
