period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score
0.5,,,,,,0,0,0,,
0.5072507250725072,3.7182728128636917,2.6001903785421883,443.86212390775654,0.1130952380952381,2.5830290358046202e-05,352,176,109,0.6193181818181818,0.28027535882836874
0.5145014501450145,3.2461493811791478,2.691124124600291,443.99724495557564,0.4166666666666667,2.2745203174592317e-05,349,173,106,0.6127167630057804,0.2468001672848873
0.5159515951595159,2.7164937073351214,2.0427131706252744,443.76363205857166,0.1130952380952381,1.9033998143793047e-05,351,173,104,0.6011560693641619,0.20653119209046406
0.5174017401740174,,,,,,0,0,0,,
0.5188518851885189,3.5937465890724205,0.6813768688523028,443.9351943040819,0.1636904761904762,2.518075625243053e-05,347,173,105,0.6069364161849711,0.2732274936282787
0.5203020302030203,,,,,,0,0,0,,
0.5217521752175217,,,,,,0,0,0,,
0.5232023202320232,5.205802852252841,5.012947807714637,443.74430671532303,0.1636904761904762,3.69052996207697e-05,338,169,106,0.6272189349112426,0.40044637325021853
0.5246524652465246,3.47147877931956,1.9022396057336202,443.7395505735001,0.1130952380952381,2.4906741511174614e-05,330,165,100,0.6060606060606061,0.270254256437941
0.5261026102610261,1.8578887428367439,1.1525459860023157,443.98278547391317,0.1130952380952381,1.3132264260522714e-05,340,170,102,0.6,0.14249356189294382
0.5275527552755276,,,,,,0,0,0,,
0.529002900290029,3.5295909853355503,3.080195151595545,443.58244588638297,0.36607142857142855,2.4875435753898915e-05,342,171,105,0.6140350877192983,0.2699145687212248
0.5304530453045304,,,,,,0,0,0,,
0.5319031903190319,,,,,,0,0,0,,
0.5333533353335334,,,,,,0,0,0,,
0.5348034803480348,,,,,,0,0,0,,
0.5362536253625363,3.3982830506678328,2.493498545716803,443.98379103463407,0.2648809523809524,2.445580687926373e-05,331,164,102,0.6219512195121951,0.265361323992542
0.5377037703770378,3.322534803657008,1.5046531145901423,443.75937958249983,0.0625,2.3694943319162157e-05,338,167,101,0.6047904191616766,0.25710546219730396
0.5391539153915391,2.5233037625137875,2.207914554822843,443.6881525078693,0.4166666666666667,1.8159002235446386e-05,333,164,99,0.6036585365853658,0.19703692048972604
