period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score,periodogram_index,rank,period_days
1.6746174617461747,22.420930552315053,21.25277240944024,443.98156526260635,0.0625,0.0002786228046521164,110.0,55.0,55.0,1.0,3.023237658933742,234.0,1,1.6746174617461747
3.3495349534953496,16.950315207290043,16.295212704423776,443.98160276635673,0.0625,0.0002952182040610314,56.0,28.0,28.0,1.0,3.203308477331835,512.0,2,3.3495349534953496
5.024452445244524,14.085877780049136,13.82034316565122,447.3312502311032,0.0625,0.00029781837261937604,38.0,19.0,19.0,1.0,3.2315219881210115,887.0,3,5.024452445244524
4.186268626862686,13.79911277523597,12.575074496001944,445.6560452106011,0.0625,0.00027113413312220523,44.0,22.0,21.0,0.9545454545454546,2.9419807287521644,677.0,4,4.186268626862686
5.861186118611861,12.542981420196412,12.160462014613687,443.9815670484992,0.0625,0.00028899155940216993,32.0,16.0,16.0,1.0,3.135745355049103,1052.0,5,5.861186118611861
6.699369936993699,12.056846972850087,11.514589542123558,443.9816215182319,0.0625,0.00029697104132823753,28.0,14.0,14.0,1.0,3.2223278955119685,1261.0,6,6.699369936993699
7.541904190419041,11.733162650588774,9.028118900730188,444.77901739941893,0.0625,0.00029990781710086546,26.0,13.0,12.0,0.9230769230769231,3.2541938123120615,1430.0,7,7.541904190419041
9.21102110211021,10.797332798541241,9.438737991450592,445.656324784013,0.0625,0.0003000298851809935,22.0,11.0,11.0,1.0,3.255518329941757,1801.0,8,9.21102110211021
8.372837283728373,10.591282569130327,10.46090362083441,445.6561202181019,0.0625,0.00029430428351388306,22.0,11.0,11.0,1.0,3.1933918482215153,1635.0,9,8.372837283728373
10.047754775477546,10.549234561427141,10.418366843574987,447.33081893797385,0.0625,0.0003074435029757199,20.0,10.0,10.0,1.0,3.3359608785477217,2013.0,10,10.047754775477546
