target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count
12645975,5,gap_heavy,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.81103698692897,2.0,0.0002,0.15,True,,13.609148362535052,455.3015103537691,9.808395216241479,25.363013050705266,20.667918176130193,3,7,0.42857142857142855,666,20,5.804574181267526,False,False,0.4217014997266233,db6,43,686,7,0.013289696120800746,0.00019997743581789962,225
12645975,5,gap_heavy,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41103698692893,4.0,0.0005,0.45,True,,2.002547356649302,444.34880236229947,3.9233580864965916,47.150376009348356,22.442570420001843,27,47,0.574468085106383,98,8,0.001273678324650973,True,True,0.41013512481004,db6,43,686,7,0.020978641567225606,0.0004999900603063212,424
12645975,5,gap_heavy,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.26103698692896,2.0,0.0005,0.75,True,,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,11,16,0.6875,290,16,0.1851810886291787,False,False,0.4300477500073612,db6,43,686,7,0.021013652452029342,0.0004999857716809775,98
12645975,5,gap_heavy,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.76103698692896,8.0,0.0002,0.45,True,,10.830103051266633,445.2274711004211,9.808395216241479,29.343813624841314,25.926078043379892,4,9,0.4444444444444444,530,20,1.1660206102533266,False,False,0.4002655423246324,db6,43,686,7,0.013262342897632272,0.00019999998734576696,305
12645975,5,gap_heavy,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.01103698692896,4.0,0.0002,0.15,True,,13.609148362535052,455.2810761970686,9.808395216241479,26.46813759992034,21.275429957940517,3,7,0.42857142857142855,666,20,0.3609148362535052,False,False,0.3976576249115169,db6,43,686,7,0.013267644340028159,0.0001999963346620559,85
12645975,5,gap_heavy,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.01103698692896,8.0,0.0005,0.75,True,,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,11,19,0.5789473684210527,245,12,0.4993631608376745,False,True,0.3973725838586688,db6,43,686,7,0.020969831899798272,0.0004999985270420781,153
1431344,5,gap_heavy,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.81043848144037,2.0,0.0002,0.15,True,,12.260731088463217,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,3,8,0.375,600,20,5.1303655442316085,False,False,0.40304449992254376,db6,44,686,7,0.01328969728215662,0.00019999985006957655,229
1431344,5,gap_heavy,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41043848144034,4.0,0.0005,0.45,True,,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,3,8,0.375,591,20,5.038410061068134,False,False,0.4020114578306675,db6,44,686,7,0.020978642021184858,0.0004999999974948377,418
1431344,5,gap_heavy,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.26043848144036,2.0,0.0005,0.75,True,,12.260731088463217,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,3,8,0.375,600,20,1.4521462176926434,False,False,0.4010360408574343,db6,44,686,7,0.021013654312968692,0.0004999894170547581,96
1431344,5,gap_heavy,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.76043848144036,8.0,0.0002,0.45,True,,12.260731088463217,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,3,8,0.375,600,20,1.4521462176926434,False,False,0.4000461669638753,db6,44,686,7,0.01326234296684581,0.00019999992133612476,305
1431344,5,gap_heavy,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.01043848144036,4.0,0.0002,0.15,True,,12.260731088463217,449.64086386159033,9.808584870770574,94.28949966677489,85.67167824616584,3,8,0.375,600,20,0.2260731088463217,False,False,0.39984970819205046,db6,44,686,7,0.013267644616172766,0.0001999980667507506,85
1431344,5,gap_heavy,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.01043848144036,8.0,0.0005,0.75,True,,12.260731088463217,449.64086386159033,9.808584870770574,96.01422400913985,85.67167824616584,3,8,0.375,600,20,0.2260731088463217,False,False,0.3997220410965383,db6,44,686,7,0.020969832009878304,0.0004999991196493747,154
10677499,5,high_scatter,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8105127709467,2.0,0.0002,0.15,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.31323527475918,56.70784043172604,3,7,0.42857142857142855,700,20,6.152003943338059,False,False,0.40090749971568584,db6,43,686,7,0.013289696533135976,0.00019998506508278613,225
10677499,5,high_scatter,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41051277094664,4.0,0.0005,0.45,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.39837918622895,56.70784043172604,3,7,0.42857142857142855,700,20,6.152003943338059,False,False,0.4004277093335986,db6,43,686,7,0.020978641728395406,0.0004999951337439912,418
10677499,5,high_scatter,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.26051277094666,2.0,0.0005,0.75,True,,14.160967807809357,447.0864306432559,9.808462550863624,55.58760277645332,56.70784043172604,3,7,0.42857142857142855,693,20,1.8321935615618714,False,False,0.40007812483236194,db6,43,686,7,0.021013653112727487,0.000499995382505003,97
10677499,5,high_scatter,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.76051277094666,8.0,0.0002,0.45,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.291577303748106,56.70784043172604,3,7,0.42857142857142855,700,20,1.8608015773352236,False,False,0.4009857499040663,db6,43,686,7,0.013262342922205628,0.00019999981589435833,305
10677499,5,high_scatter,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.01051277094666,4.0,0.0002,0.15,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.25485273702601,56.70784043172604,3,7,0.42857142857142855,700,20,0.4304007886676118,False,False,0.39835920836776495,db6,43,686,7,0.01326764443807301,0.00019999914753865422,85
10677499,5,high_scatter,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.01051277094666,8.0,0.0005,0.75,True,,14.160967807809357,447.0864306432559,9.808462550863624,58.07327662089649,60.08417947708543,3,7,0.42857142857142855,693,20,0.41609678078093565,False,False,0.39789029210805893,db6,43,686,7,0.020969831938881103,0.0004999996324350775,154
2996004,5,high_scatter,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.81035493959354,2.0,0.0002,0.15,True,,9.195538860512897,444.9408148622315,9.80857478454709,26.214271037045727,25.751604685811024,5,11,0.45454545454545453,450,20,3.5977694302564487,False,False,0.4030322078615427,db6,43,686,7,0.013289697220404873,0.000199999863870981,229
2996004,5,high_scatter,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.4103549395935,4.0,0.0005,0.45,True,,11.995069580269046,448.4759886908287,5.885144870728254,35.27956550565598,28.381077193476283,6,8,0.75,587,12,4.997534790134523,False,False,0.5640794169157743,db6,43,686,7,0.02097864199704147,0.0004999998843283615,418
2996004,5,high_scatter,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2603549395935,2.0,0.0005,0.75,True,,9.175104329711758,445.0429875162372,9.80857478454709,23.64157503990945,25.751604685811024,5,11,0.45454545454545453,449,20,0.8350208659423515,False,False,0.44158645812422037,db6,43,686,7,0.02101365421399834,0.0004999927773806645,96
2996004,5,high_scatter,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7603549395935,8.0,0.0002,0.45,True,,9.195538860512897,444.9408148622315,9.80857478454709,26.527169280197793,25.44899347803685,5,11,0.45454545454545453,450,20,0.8391077721025795,False,False,0.40195312490686774,db6,43,686,7,0.013262342963168751,0.00019999996605035708,305
2996004,5,high_scatter,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0103549395935,4.0,0.0002,0.15,True,,9.195538860512897,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.45454545454545453,450,20,0.08044611394871026,False,False,0.40225375024601817,db6,43,686,7,0.013267644601489785,0.00019999856158015028,85
2996004,5,high_scatter,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0103549395935,8.0,0.0005,0.75,True,,10.625956016592681,449.7837986621016,7.846859827637672,27.342506192998936,23.602627340062963,6,9,0.6666666666666666,520,16,0.06259560165926814,False,False,0.4041515002027154,db6,43,686,7,0.020969832004024653,0.0004999990604636073,154
10718455,5,long_memory,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8111347903221,2.0,0.0002,0.15,True,,8.296294540559757,443.9198779977196,9.808427043026313,123.74745704874445,95.35217254215496,7,12,0.5833333333333334,406,20,3.1481472702798783,False,False,0.4004854578524828,db6,43,686,7,0.013289696315697954,0.0001999777204589881,225
10718455,5,long_memory,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.4111347903221,4.0,0.0005,0.45,True,,8.296294540559757,443.9198779977196,9.808427043026313,121.07058770820225,92.41432722203818,7,12,0.5833333333333334,406,20,3.1481472702798783,False,False,0.4001789167523384,db6,43,686,7,0.020978641643405006,0.0004999924604053296,418
10718455,5,long_memory,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2611347903221,2.0,0.0005,0.75,True,,8.316728763566061,443.8994437747133,9.808427043026313,139.08976807451398,115.93768579769583,6,12,0.5,407,20,0.6633457527132123,False,False,0.3994694580323994,db6,43,686,7,0.0210136527643199,0.0004999966060073024,97
10718455,5,long_memory,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7611347903221,8.0,0.0002,0.45,True,,8.357597209578671,443.9198779977196,9.808427043026313,125.56238018217778,94.84068526212471,9,12,0.75,409,20,0.6715194419157342,False,False,0.3996154167689383,db6,43,686,7,0.013262342909242223,0.0001999998067500064,305
10718455,5,long_memory,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0111347903221,4.0,0.0002,0.15,True,,8.296294540559757,443.9198779977196,9.808427043026313,123.21022647357763,94.84068526212471,7,12,0.5833333333333334,406,20,0.17037054594402434,False,False,0.39982704212889075,db6,43,686,7,0.013267644386369107,0.00019999865840703013,85
10718455,5,long_memory,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0111347903221,8.0,0.0005,0.75,True,,8.357597209578671,444.0016148897448,9.808427043026313,138.39522118060933,94.84068526212471,8,12,0.6666666666666666,409,20,0.1642402790421329,False,False,0.398973916657269,db6,43,686,7,0.020969831918267977,0.0004999989464818944,154
11245408,5,long_memory,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8107566442239,2.0,0.0002,0.15,True,,2.94253187533468,445.6971814974859,9.808439584448934,412.6069623117489,388.5734626239297,7,32,0.21875,144,20,0.47126593766734004,False,False,0.4017428746446967,db6,43,686,7,0.013289696392836831,0.00019997723310971605,225
11245408,5,long_memory,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41075664422385,4.0,0.0005,0.45,True,,2.94253187533468,445.6971814974859,9.808439584448934,416.230433822716,389.1357916654816,7,32,0.21875,144,20,0.47126593766734004,False,False,0.40275304205715656,db6,43,686,7,0.020978641673558285,0.0004999922492162634,419
11245408,5,long_memory,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2607566442239,2.0,0.0005,0.75,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.15115782015494,389.1357916654816,7,32,0.21875,144,20,0.41149362493306396,False,False,0.4003947088494897,db6,43,686,7,0.021013652887926244,0.0004999940281266158,97
11245408,5,long_memory,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7607566442239,8.0,0.0002,0.45,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.35259185481743,389.1357916654816,7,32,0.21875,144,20,0.41149362493306396,False,False,0.3994145421311259,db6,43,686,7,0.013262342913847685,0.00019999987037311318,305
11245408,5,long_memory,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0107566442239,4.0,0.0002,0.15,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.1595254725725,389.1357916654816,7,32,0.21875,144,20,0.705746812466532,False,False,0.3996656253002584,db6,43,686,7,0.013267644404712642,0.00019999855500507646,85
11245408,5,long_memory,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0107566442239,8.0,0.0005,0.75,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.1107775324223,389.1357916654816,7,32,0.21875,144,20,0.705746812466532,False,False,0.3988520000129938,db6,43,686,7,0.020969831925580284,0.0004999991226549705,154
10223890,5,quiet_low_scatter,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.81041403457203,2.0,0.0002,0.15,True,,13.915774834924378,447.6993529891952,9.808475654572248,101.06450044908534,94.6913747630796,4,7,0.5714285714285714,681,20,5.957887417462189,False,False,0.39774466725066304,db6,43,686,7,0.013289696613521132,0.00019998877249138847,226
10223890,5,quiet_low_scatter,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.410414034572,4.0,0.0005,0.45,True,,2.0025637794751674,444.3685581314967,3.9233902618288994,168.47738734909206,88.35392719335665,27,47,0.574468085106383,98,8,0.0012818897375836968,True,True,0.39822191605344415,db6,43,686,7,0.020978641759818232,0.0004999965330922951,418
10223890,5,quiet_low_scatter,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.260414034572,2.0,0.0005,0.75,True,,13.956643483485095,447.576747043513,9.808475654572248,105.78356076774023,94.6913747630796,3,7,0.42857142857142855,683,20,1.791328696697019,False,False,0.3987259999848902,db6,43,686,7,0.021013653241548285,0.0004999965410847906,97
10223890,5,quiet_low_scatter,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.760414034572,8.0,0.0002,0.45,True,,13.936209159204736,447.6380500163541,9.808475654572248,101.04268297738376,94.6913747630796,3,7,0.42857142857142855,682,20,1.7872418318409473,False,False,0.39857041696086526,db6,43,686,7,0.013262342926997819,0.00019999976398599184,305
10223890,5,quiet_low_scatter,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.010414034572,4.0,0.0002,0.15,True,,13.915774834924378,447.6993529891952,9.808475654572248,101.05541370368394,94.6913747630796,4,7,0.5714285714285714,681,20,0.39157748349243776,False,False,0.3989567500539124,db6,43,686,7,0.013267644457185989,0.0001999994469580324,85
10223890,5,quiet_low_scatter,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.010414034572,8.0,0.0005,0.75,True,,10.523677004384808,447.3315351521487,9.808475654572248,102.75996151623966,94.6913747630796,7,9,0.7777777777777778,515,20,0.052367700438480824,False,False,0.3987181670963764,db6,43,686,7,0.02096983194650036,0.0004999998247050552,154
2715763,5,quiet_low_scatter,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.81040446208937,2.0,0.0002,0.15,True,,2.0025840413291007,443.776104695964,2.94257246889174,61.97519180595499,33.83397153334831,27,48,0.5625,98,6,0.001292020664550364,True,True,0.39954704185947776,db6,43,686,7,0.013289697221077746,0.00019999983892371453,229
2715763,5,quiet_low_scatter,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41040446208933,4.0,0.0005,0.45,True,,2.0025840413291007,444.38914062698314,3.92342995852232,302.0852962771131,168.58522485022033,28,47,0.5957446808510638,98,8,0.001292020664550364,True,True,0.4162171669304371,db6,43,686,7,0.020978641997308076,0.0004999999177205394,418
2715763,5,quiet_low_scatter,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.26040446208935,2.0,0.0005,0.75,True,,5.006460103322752,447.229540440705,2.94257246889174,71.84356417175701,42.437411539001026,9,19,0.47368421052631576,245,6,0.001292020664550364,True,True,0.41876954212784767,db6,43,686,7,0.021013654215094515,0.0004999921644478489,96
2715763,5,quiet_low_scatter,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.76040446208935,8.0,0.0002,0.45,True,,5.006460103322752,445.69695061315724,7.84685991704464,139.20770848524802,92.66566404538376,11,19,0.5789473684210527,245,16,0.001292020664550364,True,True,0.41684937477111816,db6,43,686,7,0.013262342963201149,0.0001999999617544601,305
2715763,5,quiet_low_scatter,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.01040446208935,4.0,0.0002,0.15,True,,9.992485675611533,445.06348015110416,3.92342995852232,71.7238787965238,47.84381507651302,7,10,0.7,489,8,0.0007514324388466775,True,True,0.40299349976703525,db6,43,686,7,0.013267644601659957,0.00019999851664176393,85
2715763,5,quiet_low_scatter,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.01040446208935,8.0,0.0005,0.75,True,,10.012920206645504,450.94862508888764,7.84685991704464,238.7334986230305,176.89167000584084,6,9,0.6666666666666666,490,16,0.001292020664550364,True,True,0.41821054089814425,db6,43,686,7,0.020969832004089348,0.0004999990766529905,154
11450313,5,smooth_background_dominant,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8109955530279,2.0,0.0002,0.15,True,,10.033198544617335,447.0052440154577,9.808422202477232,57.72923655514703,42.99919913357679,5,10,0.5,491,20,4.016599272308667,False,False,0.4551848745904863,db6,43,686,7,0.01328969628608089,0.00019997324073239842,225
11450313,5,smooth_background_dominant,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.4109955530279,4.0,0.0005,0.45,True,,10.033198544617335,447.0052440154577,9.808422202477232,57.186795107363416,42.96648201307797,5,10,0.5,491,20,4.016599272308667,False,False,0.42851524986326694,db6,43,686,7,0.02097864163182931,0.0004999903028640729,419
