period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score
1.0,3.1183014299303604,2.094980896975827,444.00655003203303,0.1130952380952381,2.942673893038529e-05,178,89,55,0.6179775280898876,0.3305392904946983
1.007000700070007,3.7692991416786787,1.6863810641925685,444.25623418412175,0.1130952380952381,3.5014539408485855e-05,185,91,55,0.6043956043956044,0.39512991352907006
1.014001400140014,2.8914273380907427,3.542167837651661,443.7248923228948,0.1636904761904762,2.7440371867544964e-05,176,88,53,0.6022727272727273,0.3082271898855711
1.021002100210021,3.286267060733747,1.859481685543729,443.9553004529935,0.21428571428571427,3.1011794409463564e-05,178,89,54,0.6067415730337079,0.3483436117512504
1.028002800280028,4.078022094484148,4.0258595347260835,444.4652647172771,0.36607142857142855,3.961220127868772e-05,168,84,57,0.6785714285714286,0.44494868889704686
1.035003500350035,3.367351126171491,1.9788219194202534,444.19647361372694,0.4166666666666667,3.2709040680858274e-05,168,84,51,0.6071428571428571,0.3674081292184679
1.042004200420042,2.120683877378765,2.1232868903488358,443.5663243242882,0.4166666666666667,2.072315780822599e-05,166,83,50,0.6024096385542169,0.23277529647254736
1.049004900490049,4.466310644270626,3.081547704370307,443.76625314945363,0.36607142857142855,4.3383873876821926e-05,168,84,54,0.6428571428571429,0.48731444296564597
1.056005600560056,3.028619470562095,1.7842520527197445,444.034679660145,0.21428571428571427,2.9418743029060038e-05,168,84,57,0.6785714285714286,0.33044947559685434
1.063006300630063,3.5426350579915216,1.1499236268029698,444.45599850906285,0.31547619047619047,3.46183540822949e-05,166,83,54,0.6506024096385542,0.3888547155539731
1.07000700070007,2.497560833783281,3.9343533607059498,443.813851808129,0.21428571428571427,2.3976505999374036e-05,172,86,53,0.6162790697674418,0.2693189109511431
1.077007700770077,5.33133647084839,3.8944668430250253,443.9432971482156,0.31547619047619047,5.241410955137851e-05,164,82,54,0.6585365853658537,0.5887476224942743
1.084008400840084,2.387050786170576,1.5854419653762017,443.84281540192774,0.31547619047619047,2.3326074511023253e-05,166,83,51,0.6144578313253012,0.26201286310182187
1.091009100910091,3.892029690236623,2.768009896279801,444.2415020782099,0.1636904761904762,3.780554884212411e-05,168,84,51,0.6071428571428571,0.4246552538696394
1.098009800980098,2.826389545823703,1.1657460529251737,444.04017091821464,0.2648809523809524,2.7958157966652575e-05,162,81,50,0.6172839506172839,0.31404328286930033
1.105010501050105,4.061604915334876,1.9283022456075936,443.53595447474487,0.31547619047619047,3.968968713959717e-05,166,83,53,0.6385542168674698,0.44581905790222165
