series,model_name,state_equation,observation_equation,missing_cadence_policy,converged,status,message,log_likelihood,aic,bic,finite_residual_count,process_variance,measurement_variance,initial_state,initial_variance,residual_mean,residual_std,max_abs_residual_acf,outlier_fraction,innovation_skew,innovation_kurtosis,arch_pvalue,residual_acf_lag_1,residual_acf_lag_2,residual_acf_lag_3,residual_acf_lag_4,residual_acf_lag_5,residual_acf_lag_6,residual_acf_lag_7,residual_acf_lag_8,residual_acf_lag_9,residual_acf_lag_10,residual_acf_lag_11,residual_acf_lag_12,residual_acf_lag_13,residual_acf_lag_14,residual_acf_lag_15,residual_acf_lag_16,residual_acf_lag_17,residual_acf_lag_18,residual_acf_lag_19,residual_acf_lag_20,residual_acf_lag_21,residual_acf_lag_22,residual_acf_lag_23,residual_acf_lag_24,max_abs_residual_acf_1_24,mean_abs_residual_acf_1_24,max_abs_residual_acf_transit_lags,transit_relevant_lag_min,transit_relevant_lag_max,ljung_box_p_lag_10,ljung_box_p_lag_20,ljung_box_p_lag_40,minimum_ljung_box_p,rolling_var_median,rolling_var_iqr,rolling_var_max_to_median
original,local_level,background_t = background_t_minus_1 + process_noise,normalized_flux_t = background_t + measurement_noise,prediction_only_no_update,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36088.53836672671,-72169.07673345342,-72143.4418665931,4486,1.3696946993077846e-09,3.1300770253820903e-09,-1.761814966261266e-05,1.836537167628813e-07,-6.49434263534874e-08,7.75974318979321e-05,0.21070769788039112,0.004013377926421404,-0.40403897566706287,16.252206140431394,2.155723829530829e-43,0.07932730260386445,-0.030478849340191985,-0.11952114611918584,-0.14315522477242612,-0.08432373267176997,-0.06155763278308266,0.006410901101491,-0.018256443855260554,0.014789356183420282,-0.003179189986342469,-0.015170922786299461,-0.021326434810195045,-0.012600901893984403,-0.016070997119838025,-0.03275678564254817,-0.015597768431673856,-0.03187406107117585,-0.0017406987034546389,0.0025854450348939658,0.019456671669719518,0.03370325828540915,0.004911900447815766,-0.016687482875022776,-0.028446461409932896,0.14315522477242612,0.03391373206662495,0.14315522477242612,3,24,6.021352952856582e-46,3.5337230448142274e-43,1.4861244992411925e-84,1.4861244992411925e-84,4.60192132510856e-09,1.4071665268309878e-09,4.867115807699748
injected,local_level,background_t = background_t_minus_1 + process_noise,normalized_flux_t = background_t + measurement_noise,prediction_only_no_update,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34049.837915290205,-68091.67583058041,-68066.0409637201,4486,9.93260312218886e-09,2.6944598998106362e-09,-2.2716649564991087e-05,4.996818863375051e-07,-1.0509880872704934e-08,0.00012191465550574181,0.23839370418864378,0.01181716833890747,-0.028395591498726325,39.31298255616249,3.266574543553626e-110,0.006334874983048842,-0.006333915788112905,-0.03474275243465653,-0.03778671778792973,-0.018536014688189346,-0.03870799415227659,-0.014799521401872899,-0.23839370418864378,-0.07732210915144493,-0.026350331167365904,-0.008610473695735357,-0.005894074585495361,0.011157027404104241,0.009262207075294855,-0.023156478002707606,0.0017263246141596595,-0.011349270628278924,0.00684405802219085,2.4590258477111253e-05,0.007057560486833058,0.008841308388228115,0.01458046923528516,-0.004582151845519696,-0.0034243447002585753,0.23839370418864378,0.02565909477858792,0.23839370418864378,3,24,5.366272575570371e-60,3.1364133982433914e-54,5.172201624057723e-49,5.366272575570371e-60,9.579632252962871e-09,2.1750127514519987e-08,5.144734865663069
