period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score
1.0,3.0675796849376202,1.3157007433610324,443.58286805924394,0.1636904761904762,2.92912183386963e-05,178,89,55,0.6179775280898876,0.3251627962784455
1.007000700070007,3.2750421879146243,3.1224828770408064,443.95115055075837,0.36607142857142855,3.127220338095297e-05,179,89,54,0.6067415730337079,0.34715377761208926
1.014001400140014,2.7331248305074505,2.245910647142041,443.63854495601527,0.31547619047619047,2.6245491976709605e-05,176,88,54,0.6136363636363636,0.2913520858767474
1.021002100210021,3.2946265009207294,3.32043342691012,444.1488359851181,0.31547619047619047,3.200321051156159e-05,172,86,52,0.6046511627906976,0.3552687122638229
1.028002800280028,3.913817146100215,2.9345169678879746,444.4652647172771,0.36607142857142855,3.8467811116350175e-05,168,84,53,0.6309523809523809,0.42703246019572083
1.035003500350035,2.680550008080775,0.6567036206576405,444.0446878994412,0.1130952380952381,2.634637428105894e-05,168,84,54,0.6428571428571429,0.29247198371772953
1.042004200420042,2.6253379579658227,1.4344985373005652,444.49643892188243,0.31547619047619047,2.5501902358064902e-05,172,86,53,0.6162790697674418,0.2830974726037067
1.049004900490049,2.6019186152632083,1.5923670948859008,444.45613195876314,0.2648809523809524,2.5274412488015982e-05,172,86,53,0.6162790697674418,0.2805720999334821
1.056005600560056,3.705147769010142,2.3408032263404905,444.00938204109735,0.1636904761904762,3.6202007732528664e-05,170,85,54,0.6352941176470588,0.40187970090857134
1.063006300630063,3.303219467301739,3.311131772696861,443.7980072635097,0.0625,3.208668052308896e-05,172,86,53,0.6162790697674418,0.3561953156587311
1.07000700070007,3.733804392162283,2.532843379305941,444.10665117735164,0.2648809523809524,3.66985162416731e-05,168,84,57,0.6785714285714286,0.4073914585057677
1.077007700770077,3.3956268762440365,1.6010510623371015,443.71976724805575,0.31547619047619047,3.337466427809787e-05,168,84,51,0.6071428571428571,0.37049326648130343
1.084008400840084,3.8790800160098846,3.11150673193302,444.13884650436415,0.4166666666666667,3.7901453191488855e-05,170,85,59,0.6941176470588235,0.4207453018941122
1.091009100910091,2.7914686335499383,0.40915145252797963,443.5922046855327,0.2648809523809524,2.7940027500329223e-05,163,81,50,0.6172839506172839,0.3101631815055487
1.098009800980098,2.2676220786733374,1.5325672060187479,444.411615387397,0.1130952380952381,2.2696806432646356e-05,162,81,49,0.6049382716049383,0.25195800874148194
1.105010501050105,3.0609409709727506,0.18099724476479,443.53595447474487,0.31547619047619047,3.0265823474727883e-05,166,83,51,0.6144578313253012,0.3359819205509482
1.112011201120112,2.815724205992605,-1.530234169060459,444.09582221747155,0.36607142857142855,2.8358398908316557e-05,161,80,48,0.6,0.3148075365245543
1.119011901190119,3.9380366981127577,2.2133005116921196,444.3197575285712,0.4166666666666667,3.917503734980952e-05,164,82,53,0.6463414634146342,0.43488340231134154
1.126012601260126,3.5574396015431993,2.7713206284881076,443.60813328173094,0.21428571428571427,3.605459123205557e-05,158,79,51,0.6455696202531646,0.4002432253971349
1.133013301330133,2.8208927309851575,1.8396360584928901,444.6127841120737,0.1636904761904762,2.877238459532297e-05,157,78,47,0.6025641025641025,0.3194032055079923
1.14001400140014,2.858390121322428,1.3424066144406164,444.03509982578794,0.4166666666666667,2.9732228170507315e-05,150,75,46,0.6133333333333333,0.33005846119889415
1.147014701470147,3.0793688014417864,0.9203927648590375,444.6322488264023,0.21428571428571427,3.1209351619228124e-05,158,79,48,0.6075949367088608,0.34645605809912255
1.154015401540154,3.644384016617009,1.6355025199162978,443.9789995729055,0.21428571428571427,3.688245290549683e-05,160,79,48,0.6075949367088608,0.4100252363423983
1.161016101610161,4.551795628541811,3.75775064866222,444.16306931916586,0.2648809523809524,4.672765408415521e-05,154,77,53,0.6883116883116883,0.5187252537550848
1.168016801680168,2.9002543424262894,2.049249652523544,443.97570427157086,0.4166666666666667,2.9968560038944278e-05,152,76,49,0.6447368421052632,0.3326819891895053
1.175017501750175,3.2747408908831717,1.9805149341203347,443.57276115041793,0.2648809523809524,3.361771310752984e-05,154,77,48,0.6233766233766234,0.37319135968099454
1.1820182018201821,2.8298373216641637,2.109186229954014,443.73045769285545,0.21428571428571427,2.963344867169075e-05,148,74,47,0.6351351351351351,0.32896190667259284
