period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score,periodogram_index,rank,period_days
2.500950095009501,42.1278810994525,23.957319181882077,444.6030038644354,0.1130952380952381,0.0008852351004212449,70.0,35.0,25.0,0.7142857142857143,7.120911590779867,240.0,1,2.500950095009501
5.001600160016001,35.58198490636791,35.212797580346724,444.54723836107,0.21428571428571427,0.001042598151282942,36.0,18.0,18.0,1.0,8.386754271790043,789.0,2,5.001600160016001
7.5078507850785074,27.293368374704524,15.570027985093978,449.515477596681,0.1636904761904762,0.001023019297987422,22.0,11.0,9.0,0.8181818181818182,8.229260196713373,1294.0,3,7.5078507850785074
9.995899589958995,26.017566577244057,25.634622288223856,449.5673584270497,0.1130952380952381,0.001078123349241989,18.0,9.0,9.0,1.0,8.672522192414686,1790.0,4,9.995899589958995
12.493749374937494,21.172661077088907,12.340230270463861,449.63061689444595,0.1130952380952381,0.0009948313381396906,14.0,7.0,5.0,0.7142857142857143,8.002513686204885,2290.0,5,12.493749374937494
14.971997199719972,20.986351676583393,20.62763462414121,454.6992817392531,0.21428571428571427,0.001065085207449916,12.0,6.0,6.0,1.0,8.567642195038596,2931.0,6,14.971997199719972
13.32963296329633,18.09237057083445,11.459411301053542,449.56815377754594,0.1130952380952381,0.0010058506577007502,10.0,5.0,5.0,1.0,8.091154094100501,2502.0,7,13.32963296329633
11.643864386438644,15.580147841561034,11.415450088427374,454.72576637834544,0.2648809523809524,0.000732058160719657,14.0,7.0,6.0,0.8571428571428571,5.8887423683414655,2103.0,8,11.643864386438644
14.516951695169517,13.629788709152484,9.155536961157441,446.05686464688773,0.1636904761904762,0.0009782537648499751,6.0,3.0,3.0,1.0,7.869162180226909,2818.0,9,14.516951695169517
11.246224622462245,11.778722648586115,9.142300937152536,444.5896346136823,0.21428571428571427,0.0005534421191273481,14.0,7.0,5.0,0.7142857142857143,4.4519386985947,2015.0,10,11.246224622462245
