series,model_name,kernel_family,observation_equation,missing_cadence_policy,background_policy,anchor_point_approximation,converged,status,message,log_marginal_likelihood,aic,bic,finite_residual_count,max_train_points,training_point_count,time_origin_days,flux_offset,initial_signal_variance,signal_variance,initial_length_scale_days,length_scale_days,min_length_scale_days,max_length_scale_days,measurement_noise_variance,measurement_noise_fraction,estimated_parameter_count,n_restarts_optimizer,residual_mean,residual_std,max_abs_residual_acf,outlier_fraction,innovation_skew,innovation_kurtosis,arch_pvalue,residual_acf_lag_1,residual_acf_lag_2,residual_acf_lag_3,residual_acf_lag_4,residual_acf_lag_5,residual_acf_lag_6,residual_acf_lag_7,residual_acf_lag_8,residual_acf_lag_9,residual_acf_lag_10,residual_acf_lag_11,residual_acf_lag_12,residual_acf_lag_13,residual_acf_lag_14,residual_acf_lag_15,residual_acf_lag_16,residual_acf_lag_17,residual_acf_lag_18,residual_acf_lag_19,residual_acf_lag_20,residual_acf_lag_21,residual_acf_lag_22,residual_acf_lag_23,residual_acf_lag_24,max_abs_residual_acf_1_24,mean_abs_residual_acf_1_24,max_abs_residual_acf_transit_lags,transit_relevant_lag_min,transit_relevant_lag_max,ljung_box_p_lag_10,ljung_box_p_lag_20,ljung_box_p_lag_40,minimum_ljung_box_p,rolling_var_median,rolling_var_iqr,rolling_var_max_to_median
original,smooth_anchor_gp,constant_times_rbf,normalized_flux_t = smooth_gp_background(time_t) + measurement_noise,train_and_residuals_only_on_finite_observations_no_interpolation,two_sided_gp_posterior_mean,True,True,0,converged,3922.313079269751,-7840.626158539502,-7827.808725109342,4486,512,512,491.1535351470666,-1.761814966261266e-05,1.7167102493791092e-08,9.692680750582009e-09,3.0,1.9221996143363311,1.0,30.0,3.4334204987582183e-09,0.2,2,0,2.616618494199935e-07,8.749031538640082e-05,0.5333821332477955,0.008247882300490415,-1.5266748146913725,14.277530226721147,4.403538908109519e-194,0.5333821332477955,0.38392801063104914,0.24868573517544124,0.1617601665741835,0.134372232829221,0.10807390802555475,0.11127361360367033,0.07566586844038481,0.06698607850668487,0.03519289495597888,0.005991289725793465,-0.01744872975658986,-0.03112928168150708,-0.04737607608476988,-0.06563610201532648,-0.0643834554089011,-0.07352009125146196,-0.057701436503563956,-0.052203673955987656,-0.042298941129999705,-0.037050739731679674,-0.05542985997900904,-0.07188106211963304,-0.08067952085505206,0.5333821332477955,0.10675212092455162,0.24868573517544124,3,24,0.0,0.0,0.0,0.0,5.1606544862285576e-09,2.0247239801994423e-09,9.08122982222492
injected,smooth_anchor_gp,constant_times_rbf,normalized_flux_t = smooth_gp_background(time_t) + measurement_noise,train_and_residuals_only_on_finite_observations_no_interpolation,two_sided_gp_posterior_mean,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,2100.6349792831797,-4197.2699585663595,-4184.452525136199,4486,512,512,491.1535351470666,-2.2716649564991087e-05,1.8467360958709984e-08,2.171461869055828e-07,3.0,1.0,1.0,30.0,3.693472191741997e-09,0.2,2,0,5.679341540990472e-07,0.00018241418373645568,0.7699078719786195,0.03722692822113241,-2.791912946262623,10.822955037288978,0.0,0.7699078719786195,0.6179713188637826,0.46774207592342854,0.3302250920865759,0.20588119128193746,0.08449628316666088,-0.02141964680450521,-0.142401652083951,-0.16050217151579305,-0.16354650504331372,-0.1610455468366305,-0.1567302707853412,-0.14943648522441988,-0.14658656741245163,-0.14862136974478982,-0.13940236672852008,-0.13330696428630873,-0.12106089465725639,-0.11248416773229386,-0.10066401514960434,-0.09107731794060743,-0.08387859206013083,-0.08287152052029458,-0.07895557762857794,0.7699078719786195,0.19459231106065814,0.46774207592342854,3,24,0.0,0.0,0.0,0.0,1.1989945270264478e-08,6.29374417680203e-08,9.404503348231446
