period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score,periodogram_index,rank,period_days
1.6748674867486748,16.095790885821664,15.483420915181231,444.965966039587,0.31547619047619047,0.00019731133165376587,108.0,54.0,54.0,1.0,2.1903597042668403,122.0,1,1.6748674867486748
2.5135513551355135,14.3474212454963,14.214682282262178,444.03729498578014,0.21428571428571427,0.00021540668915641048,72.0,36.0,36.0,1.0,2.3912368742493832,337.0,2,2.5135513551355135
3.3494349434943493,12.260756158569128,12.301444219957492,446.6201439573788,0.31547619047619047,0.00021255531037687547,54.0,27.0,27.0,1.0,2.359583622872749,549.0,3,3.3494349434943493
4.186718671867187,11.154630245557431,10.457594626639134,444.96582663540266,0.31547619047619047,0.00020952113944390217,46.0,23.0,23.0,1.0,2.325901189675732,767.0,4,4.186718671867187
5.028202820282028,10.652786018420636,10.39601372485414,444.0373866616144,0.21428571428571427,0.00022618486307256382,36.0,18.0,18.0,1.0,2.5108857440514916,936.0,5,5.028202820282028
5.862686268626862,10.3643153545035,13.64253401242942,444.08285816216164,0.2648809523809524,0.0002264397905551759,34.0,17.0,17.0,1.0,2.5137157025781693,1104.0,6,5.862686268626862
6.7013701370137015,10.256029114566344,12.940557722145888,449.10896162181075,0.2648809523809524,0.000256238365466569,26.0,13.0,13.0,1.0,2.844510681170807,1270.0,7,6.7013701370137015
2.9307930793079304,9.965429768789866,8.43836385494051,446.2205995321022,0.31547619047619047,0.00016123219717360798,62.0,31.0,25.0,0.8064516129032258,1.7898440234501176,442.0,8,2.9307930793079304
10.044904490449044,9.910732098590938,8.207927322733342,449.2217995860659,0.4166666666666667,0.00029759187409985195,18.0,9.0,9.0,1.0,3.303577366196979,1933.0,9,10.044904490449044
7.533053305330533,9.806370932600462,9.376922131256062,448.3133271307097,0.31547619047619047,0.00025500827888900584,24.0,12.0,11.0,0.9166666666666666,2.8308554488550994,1432.0,10,7.533053305330533
