injected_period_days,requested_duration_hours,requested_depth,n_cases,raw_harmonic_recovery,hardened_harmonic_recovery,ranking_changed_fraction,median_raw_mes,median_event_consistency_score,median_single_event_fraction,median_leave_one_out_ratio
2.0,2.0,0.0002,10,0.1,0.1,0.8,77.7278805048555,63.40455716227207,0.2943443743944042,0.8080937391999174
2.0,4.0,0.0005,10,0.3,0.4,0.6,95.55777311575685,84.25073383169152,0.20532955461282143,0.8581138252055601
5.0,2.0,0.0005,10,0.2,0.2,0.8,82.53091822934527,71.7208603409525,0.26411096461228534,0.8050370336894705
5.0,8.0,0.0002,10,0.2,0.2,0.7,97.577322494603,79.60058829664297,0.26431719130947545,0.7978544182440941
10.0,4.0,0.0002,10,0.2,0.3,0.7,83.00668923164935,71.57121305530822,0.2817708957083996,0.8061678464470582
10.0,8.0,0.0005,10,0.3,0.3,0.7,98.40558891894571,77.52816036387843,0.254652230738775,0.8160487253216867
