target_id,quarter,selection_order,population_cohort,selection_group
5022782,5,144,population_expansion_900,random_clean_q5_population_expansion
10931437,5,146,population_expansion_900,random_clean_q5_population_expansion
11903341,5,147,population_expansion_900,random_clean_q5_population_expansion
10553426,5,148,population_expansion_900,random_clean_q5_population_expansion
11359417,5,149,population_expansion_900,random_clean_q5_population_expansion
7686431,5,150,population_expansion_900,random_clean_q5_population_expansion
4171569,5,151,population_expansion_900,random_clean_q5_population_expansion
7188107,5,152,population_expansion_900,random_clean_q5_population_expansion
8015478,5,153,population_expansion_900,random_clean_q5_population_expansion
10521740,5,154,population_expansion_900,random_clean_q5_population_expansion
8616931,5,156,population_expansion_900,random_clean_q5_population_expansion
2574427,5,157,population_expansion_900,random_clean_q5_population_expansion
8525223,5,158,population_expansion_900,random_clean_q5_population_expansion
10398302,5,159,population_expansion_900,random_clean_q5_population_expansion
5960719,5,160,population_expansion_900,random_clean_q5_population_expansion
10969400,5,162,population_expansion_900,random_clean_q5_population_expansion
9451340,5,163,population_expansion_900,random_clean_q5_population_expansion
9637409,5,164,population_expansion_900,random_clean_q5_population_expansion
10658302,5,165,population_expansion_900,random_clean_q5_population_expansion
7597872,5,166,population_expansion_900,random_clean_q5_population_expansion
11087438,5,167,population_expansion_900,random_clean_q5_population_expansion
5727991,5,168,population_expansion_900,random_clean_q5_population_expansion
5359933,5,169,population_expansion_900,random_clean_q5_population_expansion
4143590,5,170,population_expansion_900,random_clean_q5_population_expansion
5005243,5,171,population_expansion_900,random_clean_q5_population_expansion
6696940,5,172,population_expansion_900,random_clean_q5_population_expansion
9632669,5,173,population_expansion_900,random_clean_q5_population_expansion
8772415,5,174,population_expansion_900,random_clean_q5_population_expansion
8165218,5,175,population_expansion_900,random_clean_q5_population_expansion
9596471,5,176,population_expansion_900,random_clean_q5_population_expansion
9601453,5,177,population_expansion_900,random_clean_q5_population_expansion
9268641,5,178,population_expansion_900,random_clean_q5_population_expansion
9217407,5,179,population_expansion_900,random_clean_q5_population_expansion
2016676,5,181,population_expansion_900,random_clean_q5_population_expansion
6607551,5,182,population_expansion_900,random_clean_q5_population_expansion
7602284,5,184,population_expansion_900,random_clean_q5_population_expansion
9945107,5,187,population_expansion_900,random_clean_q5_population_expansion
10324098,5,188,population_expansion_900,random_clean_q5_population_expansion
10252413,5,189,population_expansion_900,random_clean_q5_population_expansion
10814839,5,190,population_expansion_900,random_clean_q5_population_expansion
3865796,5,191,population_expansion_900,random_clean_q5_population_expansion
7353607,5,192,population_expansion_900,random_clean_q5_population_expansion
6879767,5,193,population_expansion_900,random_clean_q5_population_expansion
4640541,5,195,population_expansion_900,random_clean_q5_population_expansion
10351085,5,196,population_expansion_900,random_clean_q5_population_expansion
6272178,5,197,population_expansion_900,random_clean_q5_population_expansion
8487981,5,198,population_expansion_900,random_clean_q5_population_expansion
9962487,5,199,population_expansion_900,random_clean_q5_population_expansion
3444978,5,200,population_expansion_900,random_clean_q5_population_expansion
10677286,5,201,population_expansion_900,random_clean_q5_population_expansion
11496199,5,202,population_expansion_900,random_clean_q5_population_expansion
3858533,5,203,population_expansion_900,random_clean_q5_population_expansion
8832100,5,204,population_expansion_900,random_clean_q5_population_expansion
5178912,5,206,population_expansion_900,random_clean_q5_population_expansion
4068727,5,208,population_expansion_900,random_clean_q5_population_expansion
7691148,5,209,population_expansion_900,random_clean_q5_population_expansion
5395409,5,210,population_expansion_900,random_clean_q5_population_expansion
6947604,5,211,population_expansion_900,random_clean_q5_population_expansion
7515151,5,212,population_expansion_900,random_clean_q5_population_expansion
6356885,5,213,population_expansion_900,random_clean_q5_population_expansion
5176707,5,214,population_expansion_900,random_clean_q5_population_expansion
3324254,5,215,population_expansion_900,random_clean_q5_population_expansion
12121738,5,216,population_expansion_900,random_clean_q5_population_expansion
9333822,5,217,population_expansion_900,random_clean_q5_population_expansion
11514978,5,218,population_expansion_900,random_clean_q5_population_expansion
9171863,5,219,population_expansion_900,random_clean_q5_population_expansion
2848847,5,220,population_expansion_900,random_clean_q5_population_expansion
8868583,5,221,population_expansion_900,random_clean_q5_population_expansion
7191982,5,222,population_expansion_900,random_clean_q5_population_expansion
4379301,5,224,population_expansion_900,random_clean_q5_population_expansion
3356642,5,225,population_expansion_900,random_clean_q5_population_expansion
7191563,5,226,population_expansion_900,random_clean_q5_population_expansion
5211826,5,227,population_expansion_900,random_clean_q5_population_expansion
7036820,5,228,population_expansion_900,random_clean_q5_population_expansion
4282111,5,229,population_expansion_900,random_clean_q5_population_expansion
8639259,5,230,population_expansion_900,random_clean_q5_population_expansion
4035587,5,231,population_expansion_900,random_clean_q5_population_expansion
100000947,5,233,population_expansion_900,random_clean_q5_population_expansion
6359388,5,234,population_expansion_900,random_clean_q5_population_expansion
6864797,5,235,population_expansion_900,random_clean_q5_population_expansion
10932379,5,236,population_expansion_900,random_clean_q5_population_expansion
3357261,5,238,population_expansion_900,random_clean_q5_population_expansion
7812583,5,239,population_expansion_900,random_clean_q5_population_expansion
12251165,5,240,population_expansion_900,random_clean_q5_population_expansion
8441073,5,241,population_expansion_900,random_clean_q5_population_expansion
6708679,5,242,population_expansion_900,random_clean_q5_population_expansion
8557967,5,243,population_expansion_900,random_clean_q5_population_expansion
4370922,5,244,population_expansion_900,random_clean_q5_population_expansion
11621653,5,245,population_expansion_900,random_clean_q5_population_expansion
7659545,5,246,population_expansion_900,random_clean_q5_population_expansion
7948738,5,247,population_expansion_900,random_clean_q5_population_expansion
9654750,5,248,population_expansion_900,random_clean_q5_population_expansion
3834345,5,249,population_expansion_900,random_clean_q5_population_expansion
7365257,5,250,population_expansion_900,random_clean_q5_population_expansion
3554635,5,251,population_expansion_900,random_clean_q5_population_expansion
5285357,5,252,population_expansion_900,random_clean_q5_population_expansion
8873028,5,253,population_expansion_900,random_clean_q5_population_expansion
10614946,5,254,population_expansion_900,random_clean_q5_population_expansion
10464101,5,255,population_expansion_900,random_clean_q5_population_expansion
9095362,5,256,population_expansion_900,random_clean_q5_population_expansion
9392583,5,257,population_expansion_900,random_clean_q5_population_expansion
5563209,5,258,population_expansion_900,random_clean_q5_population_expansion
4557559,5,259,population_expansion_900,random_clean_q5_population_expansion
8442795,5,260,population_expansion_900,random_clean_q5_population_expansion
2301053,5,261,population_expansion_900,random_clean_q5_population_expansion
9835488,5,262,population_expansion_900,random_clean_q5_population_expansion
7948588,5,264,population_expansion_900,random_clean_q5_population_expansion
11854100,5,265,population_expansion_900,random_clean_q5_population_expansion
4588047,5,266,population_expansion_900,random_clean_q5_population_expansion
6594505,5,267,population_expansion_900,random_clean_q5_population_expansion
5528292,5,268,population_expansion_900,random_clean_q5_population_expansion
10513965,5,270,population_expansion_900,random_clean_q5_population_expansion
10402726,5,272,population_expansion_900,random_clean_q5_population_expansion
5561938,5,273,population_expansion_900,random_clean_q5_population_expansion
8293010,5,275,population_expansion_900,random_clean_q5_population_expansion
9765632,5,277,population_expansion_900,random_clean_q5_population_expansion
1864178,5,278,population_expansion_900,random_clean_q5_population_expansion
5440365,5,279,population_expansion_900,random_clean_q5_population_expansion
9658824,5,280,population_expansion_900,random_clean_q5_population_expansion
9821013,5,281,population_expansion_900,random_clean_q5_population_expansion
3968874,5,282,population_expansion_900,random_clean_q5_population_expansion
6509912,5,283,population_expansion_900,random_clean_q5_population_expansion
8914514,5,284,population_expansion_900,random_clean_q5_population_expansion
10206348,5,285,population_expansion_900,random_clean_q5_population_expansion
