method,n_cases,exact_period_recovery,harmonic_period_recovery,median_score,score_name,ranking_changed_fraction,event_consistent_flag_fraction,transit_consistency_veto_pass_fraction
tps_like_raw_top1,60,0.16666666666666666,0.21666666666666667,93.88503443526545,raw_top1_mes,,,
tps_like_chi2_robust_hardened,60,0.16666666666666666,0.2,91.49800653557409,robust_veto_score,0.65,1.0,1.0
