branch,feature,outcome,n_stars,spearman_rho,interpretation_scope
gp,acf_lag1,median_template_correlation,8,0.3333333333333334,descriptive_poc_only_no_significance_claim
gp,acf_lag1,oracle_snr_gain_vs_raw,8,0.8571428571428572,descriptive_poc_only_no_significance_claim
gp,acf_lag1,whitening_gain_vs_raw,8,0.19047619047619052,descriptive_poc_only_no_significance_claim
gp,acf_lag1,tls_exact_gain_vs_raw,8,0.3515732676024321,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,median_template_correlation,8,0.9523809523809524,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,oracle_snr_gain_vs_raw,8,0.5714285714285715,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,whitening_gain_vs_raw,8,0.8571428571428572,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,tls_exact_gain_vs_raw,8,0.909241209316635,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,median_template_correlation,8,0.7380952380952381,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,oracle_snr_gain_vs_raw,8,0.7142857142857144,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,whitening_gain_vs_raw,8,0.7857142857142858,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,tls_exact_gain_vs_raw,8,0.8001322641986388,descriptive_poc_only_no_significance_claim
gp,harmonic_power_ratio,median_template_correlation,8,0.04761904761904763,descriptive_poc_only_no_significance_claim
gp,harmonic_power_ratio,oracle_snr_gain_vs_raw,8,0.3571428571428572,descriptive_poc_only_no_significance_claim
gp,harmonic_power_ratio,whitening_gain_vs_raw,8,0.261904761904762,descriptive_poc_only_no_significance_claim
gp,harmonic_power_ratio,tls_exact_gain_vs_raw,8,0.3515732676024321,descriptive_poc_only_no_significance_claim
gp,dominant_period_days,median_template_correlation,8,0.09523809523809526,descriptive_poc_only_no_significance_claim
gp,dominant_period_days,oracle_snr_gain_vs_raw,8,-0.7857142857142858,descriptive_poc_only_no_significance_claim
gp,dominant_period_days,whitening_gain_vs_raw,8,-0.19047619047619052,descriptive_poc_only_no_significance_claim
gp,dominant_period_days,tls_exact_gain_vs_raw,8,-0.19397145798754878,descriptive_poc_only_no_significance_claim
gp,period_agreement_error,median_template_correlation,8,-0.4047619047619048,descriptive_poc_only_no_significance_claim
gp,period_agreement_error,oracle_snr_gain_vs_raw,8,-0.5952380952380953,descriptive_poc_only_no_significance_claim
gp,period_agreement_error,whitening_gain_vs_raw,8,-0.3333333333333334,descriptive_poc_only_no_significance_claim
gp,period_agreement_error,tls_exact_gain_vs_raw,8,-0.5576679417142029,descriptive_poc_only_no_significance_claim
gp,segment_scale_variability,median_template_correlation,8,0.6190476190476191,descriptive_poc_only_no_significance_claim
gp,segment_scale_variability,oracle_snr_gain_vs_raw,8,0.7380952380952381,descriptive_poc_only_no_significance_claim
gp,segment_scale_variability,whitening_gain_vs_raw,8,0.6904761904761906,descriptive_poc_only_no_significance_claim
gp,segment_scale_variability,tls_exact_gain_vs_raw,8,0.8365019125713041,descriptive_poc_only_no_significance_claim
kalman,robust_scatter,median_template_correlation,8,-0.7142857142857144,descriptive_poc_only_no_significance_claim
kalman,robust_scatter,oracle_snr_gain_vs_raw,8,0.9047619047619048,descriptive_poc_only_no_significance_claim
kalman,robust_scatter,whitening_gain_vs_raw,8,0.7857142857142858,descriptive_poc_only_no_significance_claim
kalman,robust_scatter,tls_exact_gain_vs_raw,8,0.25943726083138546,descriptive_poc_only_no_significance_claim
kalman,skewness,median_template_correlation,8,0.6428571428571429,descriptive_poc_only_no_significance_claim
kalman,skewness,oracle_snr_gain_vs_raw,8,-0.523809523809524,descriptive_poc_only_no_significance_claim
kalman,skewness,whitening_gain_vs_raw,8,-0.4285714285714286,descriptive_poc_only_no_significance_claim
kalman,skewness,tls_exact_gain_vs_raw,8,-0.037062465833055065,descriptive_poc_only_no_significance_claim
kalman,outlier_fraction,median_template_correlation,8,0.6390096504226939,descriptive_poc_only_no_significance_claim
kalman,outlier_fraction,oracle_snr_gain_vs_raw,8,-0.9128709291752769,descriptive_poc_only_no_significance_claim
kalman,outlier_fraction,whitening_gain_vs_raw,8,-0.7302967433402215,descriptive_poc_only_no_significance_claim
kalman,outlier_fraction,tls_exact_gain_vs_raw,8,-0.358632424799008,descriptive_poc_only_no_significance_claim
kalman,acf_lag1,median_template_correlation,8,-0.7619047619047621,descriptive_poc_only_no_significance_claim
kalman,acf_lag1,oracle_snr_gain_vs_raw,8,0.9285714285714287,descriptive_poc_only_no_significance_claim
kalman,acf_lag1,whitening_gain_vs_raw,8,0.7142857142857144,descriptive_poc_only_no_significance_claim
kalman,acf_lag1,tls_exact_gain_vs_raw,8,0.25943726083138546,descriptive_poc_only_no_significance_claim
kalman,acf_timescale_days,median_template_correlation,8,0.09523809523809526,descriptive_poc_only_no_significance_claim
kalman,acf_timescale_days,oracle_snr_gain_vs_raw,8,0.5952380952380953,descriptive_poc_only_no_significance_claim
kalman,acf_timescale_days,whitening_gain_vs_raw,8,0.523809523809524,descriptive_poc_only_no_significance_claim
kalman,acf_timescale_days,tls_exact_gain_vs_raw,8,0.9265616458263766,descriptive_poc_only_no_significance_claim
kalman,spectral_concentration,median_template_correlation,8,-0.11904761904761905,descriptive_poc_only_no_significance_claim
kalman,spectral_concentration,oracle_snr_gain_vs_raw,8,0.7380952380952381,descriptive_poc_only_no_significance_claim
kalman,spectral_concentration,whitening_gain_vs_raw,8,0.6666666666666669,descriptive_poc_only_no_significance_claim
