target_id,quarter,sample_stratum,branch,n_attempted_cases,n_successful_cases,median_template_amplitude_ratio,median_amplitude_abs_error,median_peak_depth_ratio,median_peak_depth_abs_error,fraction_peak_depth_within_20pct,median_template_energy_ratio,median_template_correlation,fraction_template_corr_ge_0p8,median_template_rmse_ppm,median_oracle_signal_snr,median_background_scale_ppm,median_abs_background_acf1,success_rate,fit_status,fit_clean,raw_median_oracle_signal_snr,oracle_snr_gain_vs_raw,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,stationarity_state,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability,raw_oracle_signal_snr,raw_abs_background_acf1,whitening_gain_vs_raw,bls_exact_period_recovery,bls_harmonic_period_recovery,bls_median_period_error,tls_exact_period_recovery,tls_harmonic_period_recovery,tls_median_period_error,trapezoid_exact_period_recovery,trapezoid_harmonic_period_recovery,trapezoid_median_period_error,raw_tls_exact_period_recovery,tls_exact_gain_vs_raw
10223890,5,quiet_low_scatter,arima,6,6,0.129517442890533,0.870482557109467,0.8379304529161637,0.1620695470838363,0.6666666666666666,0.4726086509526798,0.2718692534667936,0.0,50.51253305023399,23.083138439619987,72.57661021888231,0.1201163530189049,1.0,clean,True,27.455343379088397,0.8407521305015424,0.0001266168536011,0.2214786762151579,0.000222915737851,0.7784532221765451,0.4291208109571016,stationary_supported,0.0135803829336153,0.357811672996114,13.146080705789023,0.202331723347242,0.0972984403483367,27.455343379088397,0.778453222176547,0.6583368691576421,0.5,1.0,0.2505004170141784,0.8333333333333334,0.8333333333333334,0.00017376782217,0.1666666666666666,0.6666666666666666,0.750208507089241,1.0,-0.16666666666666663
10223890,5,quiet_low_scatter,gp,6,6,0.8312815010009986,0.1687184989990013,0.9867373593412956,0.0132626406587043,1.0,0.9044091945593564,0.9765800261849844,1.0,24.153226800392623,40.57245427297575,78.38590595567395,0.5184853179529738,1.0,boundary_limited,True,27.455343379088397,1.477761676944755,0.0001266168536011,0.2214786762151579,0.000222915737851,0.7784532221765451,0.4291208109571016,stationary_supported,0.0135803829336153,0.357811672996114,13.146080705789023,0.202331723347242,0.0972984403483367,27.455343379088397,0.778453222176547,0.2599679042235732,0.6666666666666666,1.0,0.0010008340283569,1.0,1.0,0.0001367115218722,0.6666666666666666,1.0,0.0010008340283569,1.0,0.0
10223890,5,quiet_low_scatter,kalman,6,6,0.2966154934035686,0.7033845065964314,0.8661397866413316,0.1338602133586684,0.6666666666666666,0.6028169728757586,0.4584411299128974,0.0,44.071476883132334,30.027986648495315,68.90351467943871,0.0134364965474848,1.0,clean,True,27.455343379088397,1.0937028262180248,0.0001266168536011,0.2214786762151579,0.000222915737851,0.7784532221765451,0.4291208109571016,stationary_supported,0.0135803829336153,0.357811672996114,13.146080705789023,0.202331723347242,0.0972984403483367,27.455343379088397,0.778453222176547,0.7650167256290622,0.5,1.0,0.2505004170141784,1.0,1.0,0.0001367115218722,0.5,1.0,0.2505004170141784,1.0,0.0
10223890,5,quiet_low_scatter,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,27.455343379088397,126.61664858902807,0.778453222176547,1.0,clean,True,27.455343379088397,1.0,0.0001266168536011,0.2214786762151579,0.000222915737851,0.7784532221765451,0.4291208109571016,stationary_supported,0.0135803829336153,0.357811672996114,13.146080705789023,0.202331723347242,0.0972984403483367,27.455343379088397,0.778453222176547,0.0,0.6666666666666666,0.6666666666666666,0.0015429524603835,1.0,1.0,0.0001367115218722,0.8333333333333334,0.8333333333333334,0.0010008340283569,1.0,0.0
10677499,5,high_scatter,arima,6,6,0.126313823655271,0.873686176344729,0.8362053544912951,0.1637946455087048,0.6666666666666666,0.4666180739753004,0.2677937388302465,0.0,50.53943729112259,4.033572863407037,410.0044348967649,0.0631114022918553,1.0,optimizer_flagged,False,0.6157809143853928,6.550337578151348,0.005644456086514,-0.2268942137592377,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377912,8.764042532707878,0.018393726992757,0.2472981555733672,0.6157809143853928,0.9960304134635848,0.9329190111717295,0.0,0.0,0.6758965804837367,0.3333333333333333,0.3333333333333333,0.1621728914807523,0.0,0.0,0.6829024186822352,0.0,0.3333333333333333
10677499,5,high_scatter,gp,6,6,0.901311105376145,0.098688894623855,0.996547257256833,0.0177468543012691,1.0,0.950310758285704,0.98945826883383,1.0,19.33108877935292,5.466452885722541,601.612418908962,0.7174758782661883,1.0,interior_optimum,True,0.6157809143853928,8.877269103376765,0.005644456086514,-0.2268942137592377,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377912,8.764042532707878,0.018393726992757,0.2472981555733672,0.6157809143853928,0.9960304134635848,0.2785545351973965,0.0,0.0,0.4590492076730609,0.1666666666666666,0.1666666666666666,0.4049890154133206,0.0,0.0,0.4590492076730609,0.0,0.1666666666666666
10677499,5,high_scatter,kalman,6,6,0.1620670219774356,0.8379329780225644,0.8428925923560064,0.1571074076439936,0.6666666666666666,0.4829684284706213,0.3202728632321886,0.0,48.51343280915698,4.128043481229495,409.7890784913673,0.0578590084253224,1.0,clean,True,0.6157809143853928,6.703753534403823,0.005644456086514,-0.2268942137592377,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377912,8.764042532707878,0.018393726992757,0.2472981555733672,0.6157809143853928,0.9960304134635848,0.9381714050382624,0.0,0.0,0.6758965804837367,0.1666666666666666,0.1666666666666666,0.4190833471942226,0.0,0.0,0.684070058381985,0.0,0.1666666666666666
10677499,5,high_scatter,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6157809143853928,5645.389857957332,0.9960304134635848,1.0,clean,True,0.6157809143853928,1.0,0.005644456086514,-0.2268942137592377,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377912,8.764042532707878,0.018393726992757,0.2472981555733672,0.6157809143853928,0.9960304134635848,0.0,0.0,0.0,0.6922435362802333,0.0,0.0,0.6906967608322558,0.0,0.0,0.6922435362802333,0.0,0.0
10718455,5,long_memory,arima,6,6,0.1334598417055641,0.8665401582944359,0.8392810718423764,0.1607189281576235,0.6666666666666666,0.4801010623043282,0.2720696160829831,0.0,50.49089545505568,11.26402150202466,151.10899702308907,0.1259581714209611,1.0,clean,True,10.141271281479057,1.110710993659747,0.0003427982279615,0.4986809712039314,0.000222915737851,0.8482418386863864,2.3295014816103503,inconclusive_low_power,0.0620759763517489,0.1301383013776425,18.930264447305955,0.0360535291653224,0.2603508308160102,10.141271281479057,0.8482418386863915,0.7222836672654304,0.0,0.3333333333333333,0.7502502085070892,0.5,0.6666666666666666,0.1570722324466318,0.0,0.3333333333333333,0.7502502085070892,0.5,0.0
10718455,5,long_memory,gp,6,6,0.9203829525308236,0.0796170474691764,0.9915515155336322,0.0084484844663678,1.0,0.9606906977446752,0.9949212165037576,1.0,16.25918591620105,22.98389645960846,144.46194609154864,0.2451095608903139,1.0,interior_optimum,True,10.141271281479057,2.2663723138521905,0.0003427982279615,0.4986809712039314,0.000222915737851,0.8482418386863864,2.3295014816103503,inconclusive_low_power,0.0620759763517489,0.1301383013776425,18.930264447305955,0.0360535291653224,0.2603508308160102,10.141271281479057,0.8482418386863915,0.6031322777960776,1.0,1.0,0.0010008340283569,1.0,1.0,0.0001473320329504,1.0,1.0,0.0010008340283569,0.5,0.5
