stationarity_state,branch,median_template_correlation,oracle_snr_gain_vs_raw,whitening_gain_vs_raw,tls_exact_period_recovery,tls_exact_gain_vs_raw,n_stars
conflicting_rejections,arima,0.2782737289098455,3.2341903160927243,0.818782838453769,0.1666666666666666,0.1666666666666666,1
conflicting_rejections,gp,0.9940547027648567,6.712498223431354,0.6687036224302452,0.5,0.5,1
conflicting_rejections,kalman,0.5370708369058352,4.879520512480105,0.946630051053595,0.3333333333333333,0.3333333333333333,1
conflicting_rejections,raw,1.0,1.0,0.0,0.0,0.0,1
inconclusive_low_power,arima,0.2720696160829831,1.110710993659747,0.7222836672654304,0.5,0.0,1
inconclusive_low_power,gp,0.9949212165037576,2.2663723138521905,0.6031322777960776,1.0,0.5,1
inconclusive_low_power,kalman,0.704987021311761,1.9626807923109326,0.7529590826701615,1.0,0.5,1
inconclusive_low_power,raw,1.0,1.0,0.0,0.5,0.0,1
stationary_supported,arima,0.28037887626171765,1.0192975891550105,0.7113768517719694,0.3333333333333333,-0.08333333333333331,4
stationary_supported,gp,0.982755969218619,2.20428765793655,0.2476193391778942,0.41666666666666663,0.0833333333333333,6
stationary_supported,kalman,0.389356996572543,1.7066976824115976,0.8591191870562613,0.24999999999999994,0.0833333333333333,6
stationary_supported,raw,1.0,1.0,0.0,0.0,0.0,6
,arima,0.302311095516275,0.4084901098753039,-0.1752504871143655,0.0,-0.5,1
,gp,0.9805900304162617,0.9337470391697167,0.02690133819313499,0.5,-0.08333333333333331,2
,kalman,0.950320218425776,0.9948908485725094,0.11712252014401774,0.6666666666666667,0.08333333333333337,2
,raw,1.0,1.0,0.0,0.5833333333333333,0.0,2
