target_id,quarter,sample_stratum,n_clean_branches,morphology_winner_all,morphology_winner_clean,whitening_winner_all,whitening_winner_clean,oracle_snr_winner_all,oracle_snr_winner_clean,morphology_winner_nonraw_clean,whitening_winner_nonraw_clean,oracle_snr_winner_nonraw_clean,bls_exact_winner_all,bls_exact_winner_clean,bls_harmonic_winner_clean,tls_exact_winner_all,tls_exact_winner_clean,tls_harmonic_winner_clean,trapezoid_exact_winner_all,trapezoid_exact_winner_clean,trapezoid_harmonic_winner_clean,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,stationarity_state,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability,arima_fit_status,arima_fit_clean,arima_median_template_amplitude_ratio,arima_median_peak_depth_ratio,arima_median_template_energy_ratio,arima_median_template_correlation,arima_median_template_rmse_ppm,arima_median_oracle_signal_snr,arima_median_background_scale_ppm,arima_median_abs_background_acf1,gp_fit_status,gp_fit_clean,gp_median_template_amplitude_ratio,gp_median_peak_depth_ratio,gp_median_template_energy_ratio,gp_median_template_correlation,gp_median_template_rmse_ppm,gp_median_oracle_signal_snr,gp_median_background_scale_ppm,gp_median_abs_background_acf1,kalman_fit_status,kalman_fit_clean,kalman_median_template_amplitude_ratio,kalman_median_peak_depth_ratio,kalman_median_template_energy_ratio,kalman_median_template_correlation,kalman_median_template_rmse_ppm,kalman_median_oracle_signal_snr,kalman_median_background_scale_ppm,kalman_median_abs_background_acf1,raw_fit_status,raw_fit_clean,raw_median_template_amplitude_ratio,raw_median_peak_depth_ratio,raw_median_template_energy_ratio,raw_median_template_correlation,raw_median_template_rmse_ppm,raw_median_oracle_signal_snr,raw_median_background_scale_ppm,raw_median_abs_background_acf1,arima_bls_exact_period_recovery,arima_bls_harmonic_period_recovery,arima_bls_median_period_error,arima_tls_exact_period_recovery,arima_tls_harmonic_period_recovery,arima_tls_median_period_error,arima_trapezoid_exact_period_recovery,arima_trapezoid_harmonic_period_recovery,arima_trapezoid_median_period_error,gp_bls_exact_period_recovery,gp_bls_harmonic_period_recovery,gp_bls_median_period_error,gp_tls_exact_period_recovery,gp_tls_harmonic_period_recovery,gp_tls_median_period_error,gp_trapezoid_exact_period_recovery,gp_trapezoid_harmonic_period_recovery,gp_trapezoid_median_period_error,kalman_bls_exact_period_recovery,kalman_bls_harmonic_period_recovery,kalman_bls_median_period_error,kalman_tls_exact_period_recovery,kalman_tls_harmonic_period_recovery,kalman_tls_median_period_error,kalman_trapezoid_exact_period_recovery,kalman_trapezoid_harmonic_period_recovery,kalman_trapezoid_median_period_error,raw_bls_exact_period_recovery,raw_bls_harmonic_period_recovery,raw_bls_median_period_error,raw_tls_exact_period_recovery,raw_tls_harmonic_period_recovery,raw_tls_median_period_error,raw_trapezoid_exact_period_recovery,raw_trapezoid_harmonic_period_recovery,raw_trapezoid_median_period_error
10223890,5,quiet_low_scatter,4,raw,raw,kalman,kalman,gp,gp,gp,kalman,gp,raw|gp,raw|gp,arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw,raw,kalman|gp,0.0001266168536011,0.2214786762151579,0.000222915737851,0.7784532221765451,0.4291208109571016,stationary_supported,0.0135803829336153,0.357811672996114,13.146080705789023,0.202331723347242,0.0972984403483367,clean,True,0.129517442890533,0.8379304529161637,0.4726086509526798,0.2718692534667936,50.51253305023399,23.083138439619987,72.57661021888231,0.1201163530189049,boundary_limited,True,0.8312815010009986,0.9867373593412956,0.9044091945593564,0.9765800261849844,24.153226800392623,40.57245427297575,78.38590595567395,0.5184853179529738,clean,True,0.2966154934035686,0.8661397866413316,0.6028169728757586,0.4584411299128974,44.071476883132334,30.027986648495315,68.90351467943871,0.0134364965474848,clean,True,1.0,1.0,1.0,1.0,0.0,27.455343379088397,126.61664858902807,0.778453222176547,0.5,1.0,0.2505004170141784,0.8333333333333334,0.8333333333333334,0.00017376782217,0.1666666666666666,0.6666666666666666,0.750208507089241,0.6666666666666666,1.0,0.0010008340283569,1.0,1.0,0.0001367115218722,0.6666666666666666,1.0,0.0010008340283569,0.5,1.0,0.2505004170141784,1.0,1.0,0.0001367115218722,0.5,1.0,0.2505004170141784,0.6666666666666666,0.6666666666666666,0.0015429524603835,1.0,1.0,0.0001367115218722,0.8333333333333334,0.8333333333333334,0.0010008340283569
10677499,5,high_scatter,3,raw,raw,kalman,kalman,gp,gp,gp,kalman,gp,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,arima,kalman|gp,kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.005644456086514,-0.2268942137592377,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377912,8.764042532707878,0.018393726992757,0.2472981555733672,optimizer_flagged,False,0.126313823655271,0.8362053544912951,0.4666180739753004,0.2677937388302465,50.53943729112259,4.033572863407037,410.0044348967649,0.0631114022918553,interior_optimum,True,0.901311105376145,0.996547257256833,0.950310758285704,0.98945826883383,19.33108877935292,5.466452885722541,601.612418908962,0.7174758782661883,clean,True,0.1620670219774356,0.8428925923560064,0.4829684284706213,0.3202728632321886,48.51343280915698,4.128043481229495,409.7890784913673,0.0578590084253224,clean,True,1.0,1.0,1.0,1.0,0.0,0.6157809143853928,5645.389857957332,0.9960304134635848,0.0,0.0,0.6758965804837367,0.3333333333333333,0.3333333333333333,0.1621728914807523,0.0,0.0,0.6829024186822352,0.0,0.0,0.4590492076730609,0.1666666666666666,0.1666666666666666,0.4049890154133206,0.0,0.0,0.4590492076730609,0.0,0.0,0.6758965804837367,0.1666666666666666,0.1666666666666666,0.4190833471942226,0.0,0.0,0.684070058381985,0.0,0.0,0.6922435362802333,0.0,0.0,0.6906967608322558,0.0,0.0,0.6922435362802333
10718455,5,long_memory,4,raw,raw,kalman,kalman,gp,gp,gp,kalman,gp,gp,gp,kalman|gp,kalman|gp,kalman|gp,kalman|gp,gp,gp,kalman|gp,0.0003427982279615,0.4986809712039314,0.000222915737851,0.8482418386863864,2.3295014816103503,inconclusive_low_power,0.0620759763517489,0.1301383013776425,18.930264447305955,0.0360535291653224,0.2603508308160102,clean,True,0.1334598417055641,0.8392810718423764,0.4801010623043282,0.2720696160829831,50.49089545505568,11.26402150202466,151.10899702308907,0.1259581714209611,interior_optimum,True,0.9203829525308236,0.9915515155336322,0.9606906977446752,0.9949212165037576,16.25918591620105,22.98389645960846,144.46194609154864,0.2451095608903139,clean,True,0.5754258968066787,0.9004104017110015,0.7896424016818688,0.704987021311761,34.856109530715315,19.90407835377342,139.03754180299856,0.0952827560162299,clean,True,1.0,1.0,1.0,1.0,0.0,10.141271281479057,342.8076199762261,0.8482418386863915,0.0,0.3333333333333333,0.7502502085070892,0.5,0.6666666666666666,0.1570722324466318,0.0,0.3333333333333333,0.7502502085070892,1.0,1.0,0.0010008340283569,1.0,1.0,0.0001473320329504,1.0,1.0,0.0010008340283569,0.5,1.0,0.2505004170141784,1.0,1.0,0.0001473320329504,0.5,1.0,0.2505004170141784,0.3333333333333333,0.3333333333333333,0.8331526271893245,0.5,0.5,0.1130115103799979,0.3333333333333333,0.3333333333333333,0.8331526271893245
11245408,5,long_memory,4,raw,raw,kalman,kalman,gp,gp,gp,kalman,gp,gp,gp,kalman|gp,gp,gp,gp,gp,gp,gp,0.0029724613698035,0.402896202776649,0.0,0.9842667492809166,2.5747153762495145,conflicting_rejections,0.0621831331707153,0.4154248047467739,14.789286308674916,0.100518048472727,0.1564518243947706,clean,True,0.1354505381141734,0.839713394052272,0.483924615981339,0.2782737289098455,50.48155076826686,3.783500078125509,453.4832793998815,0.1654839108271479,interior_optimum,True,0.9173551542230745,0.9926586655121112,0.9593124990439182,0.9940547027648567,17.271776678292724,7.852579802246165,422.0352608017842,0.3155631268506716,clean,True,0.3817262858092581,0.8780814955480857,0.6663560659095347,0.5370708369058352,41.40061704711839,5.7082807243351485,399.8651643212679,0.0376366982273219,clean,True,1.0,1.0,1.0,1.0,0.0,1.169844600455181,2971.681693034755,0.9842667492809168,0.0,0.1666666666666666,1.249165971643036,0.1666666666666666,0.1666666666666666,0.8739747562737017,0.0,0.0,1.4979149291075895,0.1666666666666666,0.3333333333333333,0.3035446205170975,0.5,0.6666666666666666,0.25030685827825,0.1666666666666666,0.3333333333333333,0.3029608006672226,0.0,0.3333333333333333,0.9992910758965804,0.3333333333333333,0.3333333333333333,0.4281022757488408,0.0,0.1666666666666666,1.497873227689741,0.0,0.0,1.939282735613011,0.0,0.0,1.7217502484049176,0.0,0.0,1.939282735613011
11450313,5,smooth_background_dominant,4,raw,raw,arima,arima,gp,gp,gp,arima,gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,0.0018833834290817,-0.2495754836534317,0.000222915737851,0.931439763936448,0.9195395883580204,stationary_supported,0.0408146011595892,0.0981362320893193,15.775211455876509,0.027202140110738,0.0772030814242776,clean,True,0.0943591646275365,0.8183751440622975,0.4122427693242697,0.2485959819962674,51.16797916309052,2.210919445489334,659.9966884373204,0.0123324131079524,boundary_limited,True,0.863628288773449,0.9921905683123892,0.9213258279214088,0.9813614537745466,22.034751031468662,2.6417102217985855,1210.949515321022,0.8244168500222209,clean,True,0.0939504618825421,0.817036393857264,0.4082439100209712,0.2499814807932444,51.07703293185946,2.1900163748162207,659.2585282941411,0.0138323828074803,clean,True,1.0,1.0,1.0,1.0,0.0,1.8457505342910627,1883.4859803513257,0.9314397639364465,0.0,0.0,0.8533778148457045,0.0,0.0,0.4846130600891936,0.0,0.0,1.6660550458715595,0.0,0.0,0.788323603002502,0.0,0.0,1.1838258555920926,0.0,0.0,0.788323603002502,0.0,0.0,0.8533778148457045,0.0,0.0,1.6664932475057903,0.0,0.0,1.6660550458715595,0.0,0.0,1.9906588824020015,0.0,0.0,1.9955423384980755,0.0,0.0,1.988323603002502
11666946,5,smooth_background_dominant,4,raw,raw,kalman,kalman,gp,gp,gp,kalman,gp,gp,gp,gp,gp,gp,gp,gp,gp,gp,0.0013169948111962,-0.4322479149218072,0.000222915737851,0.9214330471513248,1.757344549521804,stationary_supported,0.0773671094755679,0.5861319907823311,14.341118937834738,0.0102332654015585,0.4329231486275922,clean,True,0.137242637623166,0.8400158397536004,0.4873950305825942,0.2888884990566417,50.47574671991728,3.5073382148030476,492.7325357398487,0.1570162127650282,interior_optimum,True,0.9090592943519674,0.9947215765336502,0.9549369858784308,0.9918197478029994,18.69359688882839,7.736123669091366,428.2392507597841,0.1609002484401448,clean,True,0.4824258544724257,0.8899308404946978,0.7334687088750358,0.6311787566163639,38.135928532276665,5.878025768896386,430.83967307607935,0.0075641170410197,clean,True,1.0,1.0,1.0,1.0,0.0,2.6395822533158704,1317.016536814244,0.9214330471513248,0.0,0.0,1.892577147623019,0.0,0.0,1.892201851786532,0.0,0.0,1.892577147623019,0.3333333333333333,0.3333333333333333,0.1866555462885737,0.6666666666666666,0.8333333333333334,0.001086151042338,0.3333333333333333,0.3333333333333333,0.1878231859883236,0.0,0.1666666666666666,1.1962885738115094,0.3333333333333333,0.3333333333333333,0.1396931715944216,0.0,0.1666666666666666,1.1951209341117597,0.0,0.0,1.88790658882402,0.0,0.0,1.8431336098636677,0.0,0.0,1.88790658882402
12645975,5,gap_heavy,4,raw,raw,raw,raw,raw,raw,kalman,kalman,kalman,raw,raw,raw,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,,,,,,,,,,,,clean,True,0.1419039224209425,0.8412269793812306,0.4965476569245379,0.302311095516275,50.47831179287381,2.099968788747567,838.7472254660289,0.185934897143914,boundary_limited,True,0.839145050268418,0.9910185642462742,0.90877775276062,0.977169840601952,22.99957522754825,4.352853168573355,731.0212422287544,0.1056348944317378,clean,True,0.9409916904968424,0.959189409106292,0.9730725530838668,0.9956038490775856,11.677772147106108,4.993438021465986,679.963093016904,0.0249710269646732,clean,True,1.0,1.0,1.0,1.0,0.0,5.140806932605065,676.2508402428601,0.0106844100295485,0.0,0.0,1.9649708090075064,0.0,0.0,0.9567150693166973,0.0,0.0,1.9112593828190156,0.0,0.0,1.5259382819015843,0.1666666666666666,0.1666666666666666,1.1805048811657115,0.0,0.1666666666666666,1.2631776480400332,0.3333333333333333,0.5,1.2001251042535446,0.5,0.5,0.0269783567880655,0.5,0.5,0.4484153461217681,0.5,0.6666666666666666,0.4951209341117598,0.5,0.5,0.0269783567880655,0.5,0.5,0.4484153461217681
1431344,5,gap_heavy,3,raw,raw,kalman,kalman,gp,gp,gp,kalman,gp,raw|kalman|gp,raw|kalman|gp,kalman,kalman|gp,kalman|gp,kalman|gp,kalman,kalman,kalman,,,,,,,,,,,,optimizer_flagged,False,0.1347813440550906,0.8390194292846846,0.4826561692196277,0.2952385002626769,50.50305289742576,4.372488579321281,391.6045758955455,0.1445302000776438,boundary_limited,True,0.8689078065187155,0.986813423665964,0.924129011561503,0.9840102202305714,21.228059663504595,9.439779874297502,338.4442844299748,0.1870873800632485,clean,True,0.7997352834477074,0.9197597288851193,0.9089458215936934,0.9050365877739664,24.522280438325428,9.418323110422149,331.45599040013536,0.0873088836285476,clean,True,1.0,1.0,1.0,1.0,0.0,9.247719414909731,376.0030131707976,0.3358405408517078,0.1666666666666666,0.5,0.8988740617180985,0.3333333333333333,0.3333333333333333,0.0265186887855851,0.0,0.1666666666666666,0.7029190992493745,0.3333333333333333,0.6666666666666666,0.5753961634695579,0.8333333333333334,0.8333333333333334,0.0003127460700782,0.3333333333333333,0.6666666666666666,0.5753961634695579,0.3333333333333333,0.8333333333333334,0.6258548790658881,0.8333333333333334,0.8333333333333334,0.0003127460700782,0.6666666666666666,0.8333333333333334,0.0015429524603835,0.3333333333333333,0.3333333333333333,0.9014595496246872,0.6666666666666666,0.6666666666666666,0.0003127460700782,0.3333333333333333,0.3333333333333333,0.9820266889074226
2715763,5,quiet_low_scatter,4,raw,raw,kalman,kalman,raw,raw,kalman,kalman,kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,raw|kalman,0.0001127596770205,1.633474885294304,0.0013374944271065,0.0455916156394369,0.020434531092178,stationary_supported,0.0014963452750758,0.2337590589967151,18.93054881109145,0.1474525523664892,0.0179116968691655,clean,True,0.138780191901834,0.841027986934721,0.4904085791739688,0.2963672219476509,50.48684431648928,12.893995822461305,134.9494399446326,0.1749220465507026,boundary_limited,True,0.8347276391265774,0.9807108408432116,0.9054150282598964,0.9777742817923426,24.009244583765152,26.07252558341758,122.10830198460712,0.1851355600014604,clean,True,0.9182522546525502,0.9485616678957052,0.963630639888148,0.9863986984550565,14.564227999275651,29.630128971347197,113.23052477990744,0.0170397513368064,clean,True,1.0,1.0,1.0,1.0,0.0,30.836476105715754,112.75973767761737,0.0455916156394448,0.1666666666666666,0.6666666666666666,0.750208507089241,0.6666666666666666,0.6666666666666666,0.0001824172135839,0.1666666666666666,0.5,0.750208507089241,0.5,0.6666666666666666,0.010717264386989,0.8333333333333334,0.8333333333333334,0.0001128399838543,0.5,0.8333333333333334,0.010717264386989,0.8333333333333334,1.0,0.0010008340283569,1.0,1.0,0.0001128399838543,0.8333333333333334,1.0,0.0010008340283569,0.8333333333333334,1.0,0.0011676396997497,1.0,1.0,0.0001128399838543,0.8333333333333334,1.0,0.0010008340283569
2996004,5,high_scatter,3,raw,raw,arima,kalman,gp,gp,gp,kalman,gp,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,kalman|gp,kalman|gp,kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.005178993549534,-0.2632646429994635,0.0,0.9984275772826016,1.1034646758344024,stationary_supported,0.0594986797395984,0.5887475916344452,7.170662668234353,0.017357518635545,0.323656455044236,optimizer_flagged,False,0.1017954060587264,0.8222477824965894,0.4238494195596121,0.2656369011320232,50.971799308006496,5.20165969560634,288.74882764161094,0.0325650132789584,interior_optimum,True,0.8754932012978078,0.9878396849260254,0.932039480873024,0.9841504846626914,22.017687251523636,8.019604807750541,400.8247866211024,0.7631568031503866,clean,True,0.0736581627789257,0.8035660021430917,0.3836324309111334,0.2451636377617745,51.91464568615354,4.55925903008961,297.96126313322105,0.1940581332803841,clean,True,1.0,1.0,1.0,1.0,0.0,0.6711553060203568,5180.7978669906415,0.9984275772826018,0.0,0.0,0.4260216847372809,0.0,0.0,1.8394346612425043,0.0,0.0,0.4295246038365304,0.0,0.0,0.4166805671392827,0.1666666666666666,0.1666666666666666,1.1139389102046289,0.0,0.0,0.4178482068390324,0.0,0.0,0.4260216847372809,0.1666666666666666,0.1666666666666666,0.4643883739975448,0.0,0.0,0.4330275229357797,0.0,0.0,0.4190158465387822,0.0,0.0,1.843202539315056,0.0,0.0,0.4190158465387822
