configured_timescale_ratio,duration_count,configuration_count,median_background_absorption_fraction,min_background_absorption_fraction,max_background_absorption_fraction,median_depth_retention_fraction,min_depth_retention_fraction,max_depth_retention_fraction,std_depth_retention_fraction,median_snr_retention_fraction,min_snr_retention_fraction,max_snr_retention_fraction,std_snr_retention_fraction,median_residual_std,median_max_abs_residual_acf_1_24,bls_period_match_rate,tcf_period_match_rate
0.5,3,3,0.6283643418015988,0.08174326326070015,0.742830369432978,0.3548686199631523,0.2757449501257499,0.9156262116690429,0.3488451568290638,0.6898329911721531,0.48749802524459074,1.527034183712773,0.5511322738978865,0.00013955013462832675,0.6284170527125521,1.0,1.0
1.0,3,3,0.5902825360935858,0.19171562992222643,0.6061289187663855,0.3936550833202945,0.37817344177006107,0.9496880113610783,0.3255869575462913,0.6805513571645988,0.599168858991099,1.8702743827985373,0.7115444752305035,0.00014516280707019952,0.6492624230439717,1.0,1.0
2.0,3,3,0.3403956446770715,0.17677052037916685,0.36308298438643255,0.6344839035090886,0.6144143673564445,0.9586040634237355,0.19318523547076644,1.0306511447048672,0.8517127171957448,1.7473195257367207,0.4739451594005379,0.00016324140512958012,0.7153644007456607,1.0,1.0
5.0,3,3,0.15446620802503844,0.15178837916911048,0.15517917048918822,0.8669290237674558,0.8586764804342298,0.9556013850302809,0.05373597375803501,1.2944079420723837,0.9993953515992174,1.6250579900564712,0.313000431291199,0.00018292367340464518,0.7712324290735113,1.0,1.0
10.0,3,3,0.047643749335810254,0.040945570044148415,0.08732490330972367,0.9578929737098337,0.9568207041139346,0.9971124578290251,0.02295917795457593,1.625182601406953,1.4658096750692273,1.7082988560468924,0.12322678572861784,0.00019100005665892994,0.790128133548852,1.0,1.0
20.0,3,3,0.01671045792226499,0.014582485585918964,0.02253257531577617,1.000637113368625,0.9732323987022212,1.0128675972647632,0.020295944124269567,1.7285150278604056,1.5757288500522104,1.8522763607148387,0.13852737953971395,0.00019727551363406154,0.8032838352916998,1.0,1.0
