injected_duration_hours,configuration,optimize_kernel,configured_length_scale_days,fitted_length_scale_days,transit_duration_days,configured_timescale_ratio,fitted_timescale_ratio,measurement_noise_fraction,measurement_noise_variance,signal_variance,training_point_count,converged,log_marginal_likelihood,residual_std,residual_mean,max_abs_residual_acf_1_24,mean_abs_residual_acf_1_24,minimum_ljung_box_p,rolling_var_max_to_median,arch_pvalue,observed_depth_before_gp,gp_residual_depth,depth_retention_fraction,gp_background_depth,background_absorption_fraction,local_snr_before_gp,local_snr_after_gp,snr_retention_fraction,bls_recovered_period_days,bls_score,bls_period_error_fraction,bls_exact_period_error_fraction,bls_period_matched,bls_exact_period_matched,tcf_recovered_period_days,tcf_score,tcf_raw_pooled_score,tcf_period_error_fraction,tcf_exact_period_error_fraction,tcf_period_matched,tcf_exact_period_matched
2.0,fixed_l_over_duration_0.5,False,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.5,0.5,0.2,3.5398768503286006e-09,1.769938425164298e-08,512,True,3664.7660923708063,0.00014347516568471582,-1.045127309996802e-05,0.6487112879297983,0.1856537321448727,0.0,9.944167738383458,0.0,0.000989009900210446,0.0009055633882328689,0.9156262116690429,8.084489664034128e-05,0.08174326326070015,67.9792630234796,103.80665842045507,1.527034183712773,9.996996996996996,0.0038604667577835637,0.00030030030030037125,0.9993993993993993,True,False,4.998799879987999,37.60726139782692,27.744824541171617,0.0002400240024002187,0.0002400240024002187,True,True
2.0,fixed_l_over_duration_1,False,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0,0.2,3.5398768503286006e-09,1.769938425164298e-08,512,True,3681.1167481335324,0.0001442273573332338,-3.4223800422022967e-06,0.6405253494147395,0.08496235452669178,0.0,9.306555002916419,0.0,0.000989009900210446,0.000939250845347277,0.9496880113610783,0.00018960865601816396,0.19171562992222643,67.9792630234796,127.13987419433775,1.8702743827985373,9.996996996996996,0.0035246538951515904,0.00030030030030037125,0.9993993993993993,True,False,5.0002000200020005,47.04989568450695,45.31335757559602,4.0004000400095666e-05,4.0004000400095666e-05,True,True
2.0,fixed_l_over_duration_2,False,0.16666666666666666,0.16666666666666669,0.08333333333333333,2.0,2.0000000000000004,0.2,3.5398768503286006e-09,1.769938425164298e-08,512,True,3617.840062833453,0.00015032499676985122,-1.574182714651874e-06,0.6627060835464861,0.08795575844998589,0.0,8.980535683730285,0.0,0.000989009900210446,0.0009480689091080367,0.9586040634237355,0.00017482779472034843,0.17677052037916685,67.9792630234796,118.78149362611818,1.7473195257367207,9.996996996996996,0.00368921030029769,0.00030030030030037125,0.9993993993993993,True,False,5.0002000200020005,44.20617357677888,43.67817026027491,4.0004000400095666e-05,4.0004000400095666e-05,True,True
2.0,fixed_l_over_duration_5,False,0.41666666666666663,0.41666666666666663,0.08333333333333333,5.0,5.0,0.2,3.5398768503286006e-09,1.769938425164298e-08,512,True,3221.3282679411386,0.0001523011130112808,-8.661252669241328e-07,0.6692079697028862,0.07540015328555534,0.0,7.081843081211997,0.0,0.000989009900210446,0.0009450992304497622,0.9556013850302809,0.0001501202097351473,0.15178837916911048,67.9792630234796,110.47024453445596,1.6250579900564712,4.993993993993994,0.004512516474125654,0.0012012012012011298,0.0012012012012011298,True,True,5.0002000200020005,42.459622730398046,41.99098121642254,4.0004000400095666e-05,4.0004000400095666e-05,True,True
2.0,fixed_l_over_duration_10,False,0.8333333333333333,0.8333333333333333,0.08333333333333333,10.0,10.0,0.2,3.5398768503286006e-09,1.769938425164298e-08,512,True,3047.6998693728247,0.0001533097487290127,-6.5418611527229e-07,0.6729578600832019,0.06668092840354983,0.0,8.762964818009939,0.0,0.000989009900210446,0.00094736563434105,0.9578929737098337,4.71201397762612e-05,0.047643749335810254,67.9792630234796,110.47871552222607,1.625182601406953,4.993993993993994,0.005142555838204609,0.0012012012012011298,0.0012012012012011298,True,True,5.0002000200020005,42.50255203355531,41.98499751424647,4.0004000400095666e-05,4.0004000400095666e-05,True,True
2.0,fixed_l_over_duration_20,False,1.6666666666666665,1.6666666666666665,0.08333333333333333,20.0,20.0,0.2,3.5398768503286006e-09,1.769938425164298e-08,512,True,2952.115702512101,0.00015338449596589523,-4.5329919941152113e-07,0.6734529482066691,0.06752223008648686,0.0,9.22673374434006,0.0,0.000989009900210446,0.0009625364775220568,0.9732323987022212,1.6526808322170155e-05,0.01671045792226499,67.9792630234796,117.50317771895969,1.7285150278604056,4.993993993993994,0.005490144374633272,0.0012012012012011298,0.0012012012012011298,True,True,5.0002000200020005,44.2369830298076,43.7358855801615,4.0004000400095666e-05,4.0004000400095666e-05,True,True
4.0,fixed_l_over_duration_0.5,False,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.5,0.5,0.2,3.693472191741997e-09,1.8467360958709965e-08,512,True,3478.647701217945,0.00013955013462832675,-5.133278289900796e-06,0.6284170527125521,0.09559443659184573,0.0,11.422733740400867,0.0,0.0009817587003493325,0.00034839535512978554,0.3548686199631523,0.0006169021595530014,0.6283643418015988,96.14872746845657,66.32656426696155,0.6898329911721531,4.993993993993994,0.0037135629510144747,0.0012012012012011298,0.0012012012012011298,True,True,5.0002000200020005,41.7511127636055,39.684612537430624,4.0004000400095666e-05,4.0004000400095666e-05,True,True
4.0,fixed_l_over_duration_1,False,0.16666666666666666,0.16666666666666669,0.16666666666666666,1.0,1.0000000000000002,0.2,3.693472191741997e-09,1.8467360958709965e-08,512,True,3259.2941880316494,0.00014516280707019952,-2.000408349619244e-06,0.6492624230439717,0.10765788683534154,0.0,9.2606459334674,0.0,0.0009817587003493325,0.0003864743029864405,0.3936550833202945,0.0005795150154741468,0.5902825360935858,96.14872746845657,65.43414696830726,0.6805513571645988,4.993993993993994,0.0038474128882583203,0.0012012012012011298,0.0012012012012011298,True,True,5.0002000200020005,37.61461425639093,36.640175582732276,4.0004000400095666e-05,4.0004000400095666e-05,True,True
4.0,fixed_l_over_duration_2,False,0.3333333333333333,0.3333333333333333,0.16666666666666666,2.0,2.0,0.2,3.693472191741997e-09,1.8467360958709965e-08,512,True,2611.1068347144183,0.00016324140512958012,-7.104748394107933e-07,0.7153644007456607,0.17445001216055614,0.0,7.8549786392403425,0.0,0.0009817587003493325,0.0006229100925016541,0.6344839035090886,0.0003341863857227349,0.3403956446770715,96.14872746845657,99.09579602728107,1.0306511447048672,4.993993993993994,0.005810842266053659,0.0012012012012011298,0.0012012012012011298,True,True,2.500950095009501,41.36205695173983,23.880627395988466,0.0003800380038004647,0.49980998099809976,True,False
4.0,fixed_l_over_duration_5,False,0.8333333333333333,0.8333333333333333,0.16666666666666666,5.0,5.0,0.2,3.693472191741997e-09,1.8467360958709965e-08,512,True,2140.1043683356293,0.00018292367340464518,8.838015114587662e-09,0.7712324290735113,0.19357654950446157,0.0,10.017768857986031,0.0,0.0009817587003493325,0.0008430131054516485,0.8586764804342298,0.0001523485007407529,0.15517917048918822,96.14872746845657,124.45567645532334,1.2944079420723837,4.993993993993994,0.007985321327256932,0.0012012012012011298,0.0012012012012011298,True,True,2.500950095009501,43.395448667667665,24.604216598160846,0.0003800380038004647,0.49980998099809976,True,False
4.0,fixed_l_over_duration_10,False,1.6666666666666665,1.6666666666666665,0.16666666666666666,10.0,10.0,0.2,3.693472191741997e-09,1.8467360958709965e-08,512,True,1962.5171344757825,0.00019100005665892994,2.911109109711987e-07,0.790128133548852,0.17129354300924163,0.0,11.578370896949671,0.0,0.0009817587003493325,0.0009393670509382296,0.9568207041139346,8.573198358148543e-05,0.08732490330972367,96.14872746845657,140.93573496885801,1.4658096750692273,4.993993993993994,0.00891081465725085,0.0012012012012011298,0.0012012012012011298,True,True,2.500950095009501,44.94034736531768,25.240204728627592,0.0003800380038004647,0.49980998099809976,True,False
