trial,trial_seed,success,arima_refitted,arima_converged,max_score,best_raw_pooled_score,best_period,best_duration,best_epoch,best_valid_transit_events,best_positive_transit_events,best_positive_event_fraction,best_median_event_score,requested_period_count,evaluated_period_count,coarse_period_count,refined_period_count,error
0,8824921114796074700,True,False,False,8.624315714313312,8.923087494197997,13.104210421042104,0.31547619047619047,449.75086293911454,6,4,0.6666666666666666,3.5208621467890397,10000,2960,2000,960,
1,14673009024601869667,True,False,False,9.238765787198414,5.690651687907149,14.505750575057505,0.21428571428571427,445.9372501482478,3,2,0.6666666666666666,5.3340039142189095,10000,2960,2000,960,
2,6815112609857061210,True,False,False,7.994338261668671,4.470921794283123,14.967796779677968,0.0625,447.7853836225844,7,5,0.7142857142857143,3.0215758481291006,10000,2960,2000,960,
3,15673771762283591188,True,False,False,8.87620232531911,5.497921189168702,10.182118211821182,0.0625,450.3612127153034,9,7,0.7777777777777778,2.958734108439703,10000,2960,2000,960,
4,5063387248315964317,True,False,False,8.872866447251708,5.2706580562415635,12.280928092809281,0.0625,454.17845523030525,7,5,0.7142857142857143,3.353628290816746,10000,2961,2000,961,
5,16788183643313320770,True,False,False,8.625743915357367,8.189807616263167,12.138113811381137,0.0625,446.27048678943913,8,8,1.0,3.0496610076638975,10000,2960,2000,960,
6,15323777375915143374,True,False,False,8.092101842079432,6.714533023346121,14.556155615561556,0.2648809523809524,444.8396336035496,6,5,0.8333333333333334,3.303586743288405,10000,2960,2000,960,
7,9942283658580680595,True,False,False,10.318179358703643,6.871981721262879,14.516951695169517,0.0625,450.627145841791,7,5,0.7142857142857143,3.8999052237271083,10000,2960,2000,960,
8,7582383009907429406,True,False,False,7.878649314299273,8.955758534708261,13.948494849484948,0.2648809523809524,454.70240513052954,6,5,0.8333333333333334,3.216445113726965,10000,2961,2000,961,
9,7167433348619055790,True,False,False,10.433534204313718,8.874926043842786,14.764776477647764,0.21428571428571427,457.6377723233687,5,5,1.0,4.6660183452829305,10000,2944,2000,944,
10,11375706814037531430,True,False,False,7.807784348815976,4.836033095186548,14.103910391039104,0.0625,454.1612841402912,6,4,0.6666666666666666,3.1875146127146285,10000,2961,2000,961,
11,11449613192165837951,True,False,False,10.754511442892781,8.425870899476068,13.270827082708271,0.0625,452.8156832468239,7,7,1.0,4.0648232499846735,10000,2961,2000,961,
12,698116960685990672,True,False,False,8.012659054869786,4.676758743274773,14.29012901290129,0.0625,446.9872265046962,5,3,0.6,3.583370065443612,10000,2962,2000,962,
13,6390683783608472402,True,False,False,11.947273089751036,9.966899966548386,13.931693169316931,0.21428571428571427,456.5797533478057,6,4,0.6666666666666666,4.877453814595776,10000,2960,2000,960,
14,16526306782882332581,True,False,False,8.64248897312355,10.075302743145967,11.63126312631263,0.0625,454.6729135494561,7,6,0.8571428571428571,3.2665537902146995,10000,2960,2000,960,
15,7463546119029086629,True,False,False,14.17674781672726,13.217469083346751,13.245624562456245,0.0625,447.90657635939505,6,6,1.0,5.787633060516207,10000,2961,2000,961,
16,13299703150575413402,True,False,False,8.568654235910767,6.629027272973869,14.376937693769376,0.0625,451.2108699402332,7,6,0.8571428571428571,3.2386468826742956,10000,2933,2000,933,
17,11066986708126141988,True,False,False,7.9472371351157705,6.429283443405269,14.036703670367036,0.0625,455.5870740849587,6,5,0.8333333333333334,3.244445974321942,10000,2937,2000,937,
18,4636427999593401254,True,False,False,9.110473806432479,8.567650572285215,14.087108710871087,0.21428571428571427,450.60057518544704,5,5,1.0,4.074327747682856,10000,2961,2000,961,
19,769440442178209097,True,False,False,8.805722172431198,5.756066906361921,11.184618461846185,0.0625,445.1271217058192,9,6,0.6666666666666666,2.9352407241437324,10000,2961,2000,961,
20,13036288243487195449,True,False,False,9.134163615511174,6.116423111100163,14.019901990199019,0.0625,448.0897451403609,5,4,0.8,4.084922152377647,10000,2960,2000,960,
21,3279052032818246507,True,False,False,11.214798265875649,11.046246658408965,11.372237223722372,0.4166666666666667,448.9565231544907,8,8,1.0,3.965029951719902,10000,2961,2000,961,
22,8531633619030038354,True,False,False,10.208057873015887,8.959645862554474,12.682768276827682,0.2648809523809524,450.08717806106125,6,6,1.0,4.167422175614914,10000,2960,2000,960,
23,7758713785375023945,True,False,False,8.335187157028235,9.722571985083892,14.101110111011101,0.0625,450.74630249719934,7,7,1.0,3.150404621239456,10000,2948,2000,948,
24,380704665008352042,True,False,False,8.766406403709132,6.844057628588295,9.738273827382738,0.0625,448.35038513725624,10,9,0.9,2.7721811130406406,10000,2961,2000,961,
25,2235803890804722150,True,False,False,9.436171624366093,5.973461761316579,14.456745674567456,0.2648809523809524,453.75519612639994,5,4,0.8,4.219984239887439,10000,2960,2000,960,
26,17362886577920905275,True,False,False,8.750404480870515,7.459337652430664,11.834283428342834,0.0625,452.6276858548037,7,6,0.8571428571428571,3.307342018229804,10000,2942,2000,942,
27,13460538672781952032,True,False,False,11.196816351262921,8.673493403149093,14.847384738473847,0.21428571428571427,450.89911362298864,5,5,1.0,5.007368498601011,10000,2961,2000,961,
28,11825784967250974232,True,False,False,8.143501062269413,6.917597087566637,11.72927292729273,0.0625,445.3304755456207,7,7,1.0,3.077954087450741,10000,2960,2000,960,
29,7503815300522478160,True,False,False,9.94658057283399,8.177286159202321,14.66956695669567,0.4166666666666667,454.5787202340227,5,3,0.6,4.44824606090712,10000,2960,2000,960,
30,1095320553909425718,True,False,False,8.283446121992846,4.611605219048122,14.022702270227022,0.0625,445.3719621375708,7,5,0.7142857142857143,3.1308483481993528,10000,2960,2000,960,
31,7835037301004721656,True,False,False,8.212166259412399,8.286473721455279,14.606560656065605,0.0625,446.7191537242497,6,5,0.8333333333333334,3.352602836410129,10000,2960,2000,960,
32,15159264129248218918,True,False,False,8.907514339797157,7.407364423130761,13.014601460146014,0.0625,455.87263990774744,7,6,0.8571428571428571,3.3667239632635666,10000,2944,2000,944,
33,7580365088030452013,True,False,False,8.084233019555635,4.317784470091399,11.512251225122512,0.0625,446.5585499815045,7,5,0.7142857142857143,3.0555528729201393,10000,2962,2000,962,
34,6667643239683355067,True,False,False,8.320784161936551,4.829424510401279,12.528752875287529,0.0625,455.0390850235547,7,5,0.7142857142857143,3.144960800789873,10000,2960,2000,960,
35,5867153848559407726,True,False,False,9.68235288129523,6.5406482318385475,13.367436743674368,0.4166666666666667,447.55196204808,7,6,0.8571428571428571,3.659585404268124,10000,2962,2000,962,
36,154569300294835966,True,False,False,8.519800618928107,7.782222121099648,12.758375837583758,0.1130952380952381,456.091007914747,7,5,0.7142857142857143,3.22018195107685,10000,2960,2000,960,
37,18331054666768511295,True,False,False,8.229744243576084,4.77856998069128,14.15151515151515,0.0625,444.2878442130122,7,5,0.7142857142857143,3.1105509460239555,10000,2960,2000,960,
38,3699737907692558613,True,False,False,9.418127419252015,8.583987561267094,11.517851785178518,0.0625,452.191088874542,6,4,0.6666666666666666,3.8449344182804692,10000,2961,2000,961,
39,9522818267306508522,True,False,False,8.761156050163919,6.2224853180827076,11.13001300130013,0.1636904761904762,448.38205298995047,8,7,0.875,3.097536427052227,10000,2960,2000,960,
