case_index,branch,detector,n_attempted_runs,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds,n_successful_stars,run_success_rate,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
3,kalman,bls,10,10,0.4,0.4,0.5509591326105088,0.038510646205395446,10,1.0,5.0,8.0,0.0002,0.45
3,kalman,tls,10,10,0.4,0.4,0.5703608813872176,8.693436187459156,10,1.0,5.0,8.0,0.0002,0.45
3,kalman,trapezoid,10,10,0.4,0.4,0.5579649708090074,0.1450141461100429,10,1.0,5.0,8.0,0.0002,0.45
3,raw,bls,10,10,0.2,0.3,1.2153461217681403,0.035167749971151296,10,1.0,5.0,8.0,0.0002,0.45
3,raw,tls,10,10,0.2,0.2,1.470918463277905,11.787266729399562,10,1.0,5.0,8.0,0.0002,0.45
3,raw,trapezoid,10,10,0.2,0.2,1.1698081734778982,0.13505533337593076,10,1.0,5.0,8.0,0.0002,0.45
4,arima,bls,7,7,0.14285714285714285,0.14285714285714285,0.2489574645537947,0.0446464582346379,7,1.0,10.0,4.0,0.0002,0.15
4,arima,tls,7,7,0.0,0.0,0.3140031052831499,9.177540083881468,7,1.0,10.0,4.0,0.0002,0.15
4,arima,trapezoid,7,7,0.0,0.0,0.4462885738115096,0.1289148749783635,7,1.0,10.0,4.0,0.0002,0.15
4,gp,bls,10,10,0.2,0.2,0.27731442869057543,0.0366490830201655,10,1.0,10.0,4.0,0.0002,0.15
4,gp,tls,10,10,0.2,0.2,0.40685292224688296,9.510821666335687,10,1.0,10.0,4.0,0.0002,0.15
4,gp,trapezoid,10,10,0.2,0.2,0.27731442869057543,0.1456818750593811,10,1.0,10.0,4.0,0.0002,0.15
4,kalman,bls,10,10,0.4,0.4,0.11768140116763964,0.0389769163448363,10,1.0,10.0,4.0,0.0002,0.15
4,kalman,tls,10,10,0.3,0.3,0.14457252567555084,8.896111958427355,10,1.0,10.0,4.0,0.0002,0.15
4,kalman,trapezoid,10,10,0.4,0.4,0.20375312760633857,0.14606312476098535,10,1.0,10.0,4.0,0.0002,0.15
4,raw,bls,10,10,0.2,0.2,0.27906588824020007,0.0351167290937155,10,1.0,10.0,4.0,0.0002,0.15
4,raw,tls,10,10,0.2,0.2,0.2354592316389525,12.218230332946405,10,1.0,10.0,4.0,0.0002,0.15
4,raw,trapezoid,10,10,0.3,0.3,0.2562969140950792,0.13635335396975273,10,1.0,10.0,4.0,0.0002,0.15
5,arima,bls,7,7,0.2857142857142857,0.2857142857142857,0.2489574645537947,0.0436955001205205,7,1.0,10.0,8.0,0.0005,0.75
5,arima,tls,7,7,0.2857142857142857,0.42857142857142855,0.2493165041824678,9.2758187497966,7,1.0,10.0,8.0,0.0005,0.75
5,arima,trapezoid,7,7,0.2857142857142857,0.2857142857142857,0.3330275229357797,0.1300576659850776,7,1.0,10.0,8.0,0.0005,0.75
5,gp,bls,10,10,0.5,0.6,0.13194328607172637,0.03585518780164415,10,1.0,10.0,8.0,0.0005,0.75
5,gp,tls,10,10,0.5,0.6,0.04657139301072865,9.590571771143004,10,1.0,10.0,8.0,0.0005,0.75
5,gp,trapezoid,10,10,0.5,0.6,0.13194328607172637,0.1427811249159276,10,1.0,10.0,8.0,0.0005,0.75
5,kalman,bls,10,10,0.5,0.5,0.0371142618849041,0.03856814582832155,10,1.0,10.0,8.0,0.0005,0.75
5,kalman,tls,10,10,0.5,0.5,0.0701428131008353,9.068129708524793,10,1.0,10.0,8.0,0.0005,0.75
5,kalman,trapezoid,10,10,0.5,0.5,0.0785654712260217,0.14460562542080874,10,1.0,10.0,8.0,0.0005,0.75
5,raw,bls,10,10,0.5,0.5,0.07739783152627194,0.035136875230818945,10,1.0,10.0,8.0,0.0005,0.75
5,raw,tls,10,10,0.5,0.5,0.07779400227753624,12.23896706243977,10,1.0,10.0,8.0,0.0005,0.75
5,raw,trapezoid,10,10,0.5,0.5,0.07739783152627194,0.13413114543072874,10,1.0,10.0,8.0,0.0005,0.75
