target_id,quarter,sample_stratum,branch,n_attempted_cases,n_successful_cases,median_template_amplitude_ratio,median_amplitude_abs_error,median_peak_depth_ratio,median_peak_depth_abs_error,fraction_peak_depth_within_20pct,median_template_energy_ratio,median_template_correlation,fraction_template_corr_ge_0p8,median_template_rmse_ppm,median_oracle_signal_snr,median_background_scale_ppm,median_abs_background_acf1,success_rate,fit_status,fit_clean,raw_median_oracle_signal_snr,oracle_snr_gain_vs_raw
10223890,5,quiet_low_scatter,arima,6,6,0.129517442890533,0.870482557109467,0.8379304529161637,0.1620695470838363,0.6666666666666666,0.4726086509526798,0.27186925346679364,0.0,50.51253305023399,23.083138439619987,72.57661021888231,0.1201163530189049,1.0,clean,True,27.455343379088397,0.8407521305015424
10223890,5,quiet_low_scatter,gp,6,6,0.8312815010009986,0.16871849899900132,0.9867373593412956,0.013262640658704361,1.0,0.9044091945593564,0.9765800261849843,1.0,24.153226800392623,40.57245427297575,78.38590595567395,0.5184853179529738,1.0,boundary_limited,True,27.455343379088397,1.477761676944755
10223890,5,quiet_low_scatter,kalman,6,6,0.29661549340356863,0.7033845065964314,0.8661397866413316,0.13386021335866843,0.6666666666666666,0.6028169728757586,0.4584411299128974,0.0,44.071476883132334,30.027986648495315,68.90351467943871,0.0134364965474848,1.0,clean,True,27.455343379088397,1.0937028262180248
10223890,5,quiet_low_scatter,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,27.455343379088397,126.61664858902807,0.778453222176547,1.0,clean,True,27.455343379088397,1.0
10677499,5,high_scatter,arima,6,6,0.126313823655271,0.873686176344729,0.8362053544912951,0.16379464550870487,0.6666666666666666,0.4666180739753004,0.26779373883024654,0.0,50.539437291122596,4.033572863407037,410.0044348967649,0.0631114022918553,1.0,optimizer_flagged,False,0.6157809143853928,6.550337578151348
10677499,5,high_scatter,gp,6,6,0.901311105376145,0.098688894623855,0.996547257256833,0.0177468543012691,1.0,0.950310758285704,0.98945826883383,1.0,19.331088779352918,5.466452885722541,601.612418908962,0.7174758782661883,1.0,interior_optimum,True,0.6157809143853928,8.877269103376765
10677499,5,high_scatter,kalman,6,6,0.1620670219774356,0.8379329780225644,0.8428925923560064,0.1571074076439936,0.6666666666666666,0.4829684284706213,0.3202728632321886,0.0,48.51343280915698,4.128043481229495,409.7890784913673,0.0578590084253224,1.0,clean,True,0.6157809143853928,6.703753534403823
10677499,5,high_scatter,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6157809143853928,5645.389857957332,0.9960304134635848,1.0,clean,True,0.6157809143853928,1.0
10718455,5,long_memory,arima,6,6,0.1334598417055641,0.8665401582944359,0.8392810718423764,0.1607189281576235,0.6666666666666666,0.4801010623043282,0.2720696160829831,0.0,50.49089545505568,11.264021502024661,151.10899702308907,0.1259581714209611,1.0,clean,True,10.141271281479057,1.1107109936597472
10718455,5,long_memory,gp,6,6,0.9203829525308236,0.07961704746917647,0.9915515155336322,0.008448484466367812,1.0,0.9606906977446752,0.9949212165037575,1.0,16.25918591620105,22.98389645960846,144.46194609154864,0.2451095608903139,1.0,interior_optimum,True,10.141271281479057,2.2663723138521905
