target_id,quarter,sample_stratum,case_index,detector,exact_recovered_branches_all,exact_recovered_branches_clean,harmonic_recovered_branches_clean,lowest_period_error_branch_clean,lowest_period_error_clean,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
10718455,5,long_memory,1,bls,raw|gp,raw|gp,raw|arima|kalman|gp,raw|gp,0.0020850708924102,2.0,4.0,0.0005,0.45
10718455,5,long_memory,1,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0001413596101137,2.0,4.0,0.0005,0.45
10718455,5,long_memory,1,trapezoid,raw|gp,raw|gp,raw|arima|kalman|gp,raw|gp,0.0020850708924102,2.0,4.0,0.0005,0.45
10718455,5,long_memory,2,bls,gp,gp,arima|kalman|gp,gp,0.0010008340283569,5.0,2.0,0.0005,0.75
10718455,5,long_memory,2,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,9.851288618953902e-05,5.0,2.0,0.0005,0.75
10718455,5,long_memory,2,trapezoid,gp,gp,arima|kalman|gp,gp,0.0010008340283569,5.0,2.0,0.0005,0.75
10718455,5,long_memory,3,bls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0010008340283569,5.0,8.0,0.0002,0.45
10718455,5,long_memory,3,tls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0001410014252428,5.0,8.0,0.0002,0.45
10718455,5,long_memory,3,trapezoid,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0010008340283569,5.0,8.0,0.0002,0.45
10718455,5,long_memory,4,bls,kalman|gp,kalman|gp,kalman|gp,gp,0.0002502085070892,10.0,4.0,0.0002,0.15
10718455,5,long_memory,4,tls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0002616651758957,10.0,4.0,0.0002,0.15
10718455,5,long_memory,4,trapezoid,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0002502085070892,10.0,4.0,0.0002,0.15
10718455,5,long_memory,5,bls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0002502085070892,10.0,8.0,0.0005,0.75
10718455,5,long_memory,5,tls,raw|kalman|gp,raw|kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,0.0002616651758957,10.0,8.0,0.0005,0.75
10718455,5,long_memory,5,trapezoid,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0002502085070892,10.0,8.0,0.0005,0.75
