branch,fit_status,n_attempted_cases,n_successful_cases,median_template_amplitude_ratio,median_amplitude_abs_error,median_peak_depth_ratio,median_peak_depth_abs_error,fraction_peak_depth_within_20pct,median_template_energy_ratio,median_template_correlation,fraction_template_corr_ge_0p8,median_template_rmse_ppm,median_oracle_signal_snr,median_background_scale_ppm,median_abs_background_acf1,n_successful_stars,success_rate
arima,clean,42,42,0.13410010201784034,0.8658998979821597,0.8356233510444904,0.16437664895550963,0.6428571428571429,0.4818520260981001,0.27316580533711166,0.0,50.56564449989908,5.535518916053692,453.4832793998815,0.1570162127650282,7,1.0
arima,optimizer_flagged,18,18,0.1252798316283323,0.8747201683716677,0.8352149894387495,0.1647850105612505,0.6111111111111112,0.46618469697952414,0.2815489740267899,0.0,50.56333806414983,4.372488579321281,391.6045758955455,0.0631114022918553,3,1.0
gp,boundary_limited,30,30,0.8450215942175026,0.1549784057824975,0.9873238691541746,0.012676130845825417,1.0,0.9167925571605374,0.979138188286914,1.0,22.99957522754825,10.97604818287407,338.4442844299748,0.1870873800632485,5,1.0
gp,interior_optimum,30,30,0.9099768404817268,0.09002315951827322,0.9923816117751132,0.012015782343625492,1.0,0.9583526273298998,0.9920041843844346,1.0,18.69359688882839,9.06057343057164,422.0352608017842,0.3155631268506716,5,1.0
kalman,clean,60,60,0.43214038279259015,0.5678596172074099,0.9063677974433413,0.09363220255665877,0.7333333333333333,0.7241354379269309,0.5834414749360692,0.3333333333333333,36.948178098420705,7.5479652720464365,365.6605773607016,0.03130386259599755,10,1.0
raw,clean,60,60,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.165549907074579,996.633688528552,0.8848374429188581,10,1.0
