target_id,quarter,sample_stratum,branch,detector,n_attempted_runs,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds,run_success_rate,fit_status,fit_clean
11245408,5,long_memory,kalman,bls,6,6,0.0,0.3333333333333333,0.9992910758965805,0.03838204150088125,1.0,clean,True
11245408,5,long_memory,kalman,tls,6,6,0.3333333333333333,0.3333333333333333,0.4281022757488408,8.607871333369985,1.0,clean,True
11245408,5,long_memory,kalman,trapezoid,6,6,0.0,0.16666666666666666,1.497873227689741,0.14108645846135914,1.0,clean,True
11245408,5,long_memory,raw,bls,6,6,0.0,0.0,1.939282735613011,0.034930582856759346,1.0,clean,True
11245408,5,long_memory,raw,tls,6,6,0.0,0.0,1.7217502484049176,7.284480666741729,1.0,clean,True
11245408,5,long_memory,raw,trapezoid,6,6,0.0,0.0,1.939282735613011,0.12669254140928382,1.0,clean,True
11450313,5,smooth_background_dominant,arima,bls,6,6,0.0,0.0,0.8533778148457045,0.03903783345594995,1.0,clean,True
11450313,5,smooth_background_dominant,arima,tls,6,6,0.0,0.0,0.4846130600891936,9.419003000482919,1.0,clean,True
11450313,5,smooth_background_dominant,arima,trapezoid,6,6,0.0,0.0,1.6660550458715595,0.12080389517359436,1.0,clean,True
11450313,5,smooth_background_dominant,gp,bls,6,6,0.0,0.0,0.788323603002502,0.03519422956742345,1.0,boundary_limited,True
11450313,5,smooth_background_dominant,gp,tls,6,6,0.0,0.0,1.1838258555920926,9.650295041501522,1.0,boundary_limited,True
11450313,5,smooth_background_dominant,gp,trapezoid,6,6,0.0,0.0,0.788323603002502,0.12555624986998729,1.0,boundary_limited,True
11450313,5,smooth_background_dominant,kalman,bls,6,6,0.0,0.0,0.8533778148457045,0.039250895380973747,1.0,clean,True
11450313,5,smooth_background_dominant,kalman,tls,6,6,0.0,0.0,1.6664932475057903,9.327823146013543,1.0,clean,True
11450313,5,smooth_background_dominant,kalman,trapezoid,6,6,0.0,0.0,1.6660550458715595,0.12113995780237015,1.0,clean,True
11450313,5,smooth_background_dominant,raw,bls,6,6,0.0,0.0,1.9906588824020015,0.03476643748581405,1.0,clean,True
11450313,5,smooth_background_dominant,raw,tls,6,6,0.0,0.0,1.9955423384980757,12.192465458065271,1.0,clean,True
11450313,5,smooth_background_dominant,raw,trapezoid,6,6,0.0,0.0,1.988323603002502,0.1277324787806719,1.0,clean,True
11666946,5,smooth_background_dominant,arima,bls,6,6,0.0,0.0,1.892577147623019,0.04430366703309115,1.0,clean,True
11666946,5,smooth_background_dominant,arima,tls,6,6,0.0,0.0,1.892201851786532,9.77287243749015,1.0,clean,True
11666946,5,smooth_background_dominant,arima,trapezoid,6,6,0.0,0.0,1.892577147623019,0.13376210397109384,1.0,clean,True
11666946,5,smooth_background_dominant,gp,bls,6,6,0.3333333333333333,0.3333333333333333,0.18665554628857373,0.0367596664000302,1.0,interior_optimum,True
