target_id,quarter,sample_stratum,n_injected_cases,n_injected_period_truths,persistent_injected_period_days,persistent_cluster_fraction,persistent_cluster_truth_count,persistent_injected_period_flag,null_recovered_period_days,null_vs_persistent_fractional_error,null_matches_persistent_period,fraction_injected_winners_matching_null_period,harmonic_recovery,null_mes,median_injected_mes,median_injected_minus_null_mes,null_max_ses,null_max_ses_to_mes_ratio,null_observability_fraction
1431344,5,gap_heavy,6,3,12.260731088463215,1.0,3,True,12.260731088463215,0.0,True,1.0,0.0,93.0163947121378,93.88503443526545,0.8686397231276644,85.67167824616584,0.9210384740378081,0.375
2996004,5,high_scatter,6,3,9.195538860512896,0.6666666666666666,3,True,9.195538860512896,0.0,True,0.6666666666666666,0.0,26.44679592876307,26.48698260448043,0.04018667571736145,25.751604685811024,0.9737135929499888,0.4545454545454545
10223890,5,quiet_low_scatter,6,3,13.925991997064557,0.6666666666666666,3,True,13.915774834924378,0.0007342143906020558,True,0.6666666666666666,0.16666666666666666,101.05541370368394,101.91223098266249,0.8568172789785606,94.6913747630796,0.9370242651297725,0.5714285714285714
10677499,5,high_scatter,6,3,14.304007886676118,1.0,3,True,14.304007886676118,0.0,True,1.0,0.0,55.26710905843626,55.355807230494065,0.0886981720578035,56.70784043172604,1.0260685134039929,0.4285714285714285
10718455,5,long_memory,6,3,8.306511652062909,1.0,3,True,8.296294540559757,0.0012315270935960591,True,1.0,0.0,120.77801205594815,124.6549186154611,3.8769065595129533,94.84068526212472,0.7852479408105472,0.5833333333333334
11245408,5,long_memory,6,3,2.94253187533468,1.0,3,True,2.94253187533468,0.0,True,1.0,0.0,413.14639923413705,413.1553416463637,0.008942412226673468,389.1357916654816,0.9418835366515,0.21875
11450313,5,smooth_background_dominant,6,3,10.033198544617337,1.0,3,True,10.033198544617337,0.0,True,1.0,0.6666666666666666,57.6745290254424,57.6751988583607,0.0006698329182945884,42.96882395924441,0.7450225374235695,0.5
11666946,5,smooth_background_dominant,6,3,13.547900345292874,1.0,3,True,13.547900345292874,0.0,True,1.0,0.0,97.83338049279456,98.02153465074866,0.18815415795410928,109.0916117116274,1.1150755617573902,0.4285714285714285
2715763,5,quiet_low_scatter,6,3,2.0025840413291007,0.3333333333333333,1,False,10.993777696276084,0.8178438661710037,False,0.0,1.0,35.63616936971049,105.52563632850251,69.88946695879203,35.27691860249538,0.9899189286174944,0.375
12645975,5,gap_heavy,6,3,13.609148362535052,0.3333333333333333,2,False,13.609148362535052,0.0,False,0.3333333333333333,0.3333333333333333,25.18224813258745,28.72179741437789,3.539549281790439,19.482922406730133,0.7736768498249359,0.4285714285714285
