target_id,quarter,sample_stratum,baseline_kind,null_recovered_period_days,null_recovered_epoch_days,null_recovered_duration_hours,null_mes,null_max_ses,null_observed_event_count,null_expected_event_count,null_observability_fraction,null_runtime_seconds,zero_injection_requested_depth,zero_injection_realized_depth,wavelet,segment_count,n_period_trials,n_duration_trials,null_max_ses_to_mes_ratio
12645975,5,gap_heavy,true_zero_injection_original_flux,13.609148362535052,455.3015103537691,9.80839521624148,25.18224813258745,19.482922406730133,3,7,0.4285714285714285,0.4083764581009745,0.0,0.0,db6,43,686,7,0.7736768498249359
1431344,5,gap_heavy,true_zero_injection_original_flux,12.260731088463215,449.64086386159033,9.808584870770574,93.0163947121378,85.67167824616584,3,8,0.375,0.4059084998443723,0.0,0.0,db6,44,686,7,0.9210384740378081
10677499,5,high_scatter,true_zero_injection_original_flux,14.304007886676118,446.9433905643891,9.808462550863624,55.26710905843626,56.70784043172604,3,7,0.4285714285714285,0.5688877496868372,0.0,0.0,db6,43,686,7,1.0260685134039929
2996004,5,high_scatter,true_zero_injection_original_flux,9.195538860512896,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.4545454545454545,0.4012701660394668,0.0,0.0,db6,43,686,7,0.9737135929499888
10718455,5,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472
11245408,5,long_memory,true_zero_injection_original_flux,2.94253187533468,445.6971814974859,9.808439584448934,413.14639923413705,389.1357916654816,7,32,0.21875,0.399875832721591,0.0,0.0,db6,43,686,7,0.9418835366515
10223890,5,quiet_low_scatter,true_zero_injection_original_flux,13.915774834924378,447.6993529891952,9.808475654572248,101.05541370368394,94.6913747630796,4,7,0.5714285714285714,0.4016496250405907,0.0,0.0,db6,43,686,7,0.9370242651297725
2715763,5,quiet_low_scatter,true_zero_injection_original_flux,10.993777696276084,454.40206083362864,9.8085748963058,35.63616936971049,35.27691860249538,3,8,0.375,0.3998195827007293,0.0,0.0,db6,43,686,7,0.9899189286174944
11450313,5,smooth_background_dominant,true_zero_injection_original_flux,10.033198544617337,447.0052440154577,9.808422202477232,57.6745290254424,42.96882395924441,5,10,0.5,0.402464207727462,0.0,0.0,db6,43,686,7,0.7450225374235695
11666946,5,smooth_background_dominant,true_zero_injection_original_flux,13.547900345292874,443.65364289570425,9.808434639126062,97.83338049279456,109.0916117116274,3,7,0.4285714285714285,0.4070146665908396,0.0,0.0,db6,43,686,7,1.1150755617573902
