method,n_cases,exact_period_recovery,harmonic_period_recovery,median_score,score_name,ranking_changed_fraction,event_consistent_flag_fraction,transit_consistency_veto_pass_fraction
tps_like_raw_top1,2,0.5,0.5,36.25669453002681,raw_top1_mes,,,
tps_like_chi2_robust_hardened,2,0.5,0.5,35.81784485161012,robust_veto_score,0.5,1.0,1.0
