column,normalized_name,dtype,n_rows,n_non_null,n_numeric_finite,unique_non_null,bool_like,role,scientific_domain,matched_domains
v2_spectral_second_peak_power_ratio,v2_spectral_second_peak_power_ratio,float64,50,50,50,50,False,supporting_diagnostic,spectral_structure,spectral_structure
v2_spectral_third_peak_power_ratio,v2_spectral_third_peak_power_ratio,float64,50,50,50,50,False,supporting_diagnostic,spectral_structure,spectral_structure
v2_spectral_harmonic_power_ratio,v2_spectral_harmonic_power_ratio,float64,50,50,50,50,False,canonical_source,spectral_structure,spectral_structure
v2_ls_peak_width_fraction,v2_ls_peak_width_fraction,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
v2_ls_frequency_count,v2_ls_frequency_count,float64,50,50,50,2,False,supporting_diagnostic,spectral_structure,spectral_structure
v2_ls_minimum_cycles,v2_ls_minimum_cycles,float64,50,50,50,1,False,supporting_diagnostic,unassigned,
v2_segment_scale_relative_mad,v2_segment_scale_relative_mad,float64,50,50,50,50,False,canonical_source,scatter_amplitude,scatter_amplitude
v2_segment_scale_max_to_min,v2_segment_scale_max_to_min,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
v2_segment_median_range_over_global_scale,v2_segment_median_range_over_global_scale,float64,50,50,50,50,False,supporting_diagnostic,scatter_amplitude,scatter_amplitude
v2_half_period_1_days,v2_half_period_1_days,float64,50,50,50,50,False,supporting_diagnostic,periodicity_coherence,periodicity_coherence
v2_half_period_2_days,v2_half_period_2_days,float64,50,50,50,50,False,supporting_diagnostic,periodicity_coherence,periodicity_coherence
v2_half_period_consistency_fraction,v2_half_period_consistency_fraction,float64,50,50,50,3,False,supporting_diagnostic,periodicity_coherence,periodicity_coherence
light_curve_characterization_feature_count,light_curve_characterization_feature_count,int64,50,50,50,1,False,supporting_diagnostic,unassigned,
sample_role,sample_role,object,50,50,0,2,False,bookkeeping_identifier,unassigned,
diagnostic_csv,diagnostic_csv,object,50,50,0,50,False,supporting_diagnostic,unassigned,
sample_stratum,sample_stratum,object,50,40,0,1,False,bookkeeping_identifier,unassigned,
coherent_periodic_candidate_v2,coherent_periodic_candidate_v2,bool,50,50,0,2,True,derived_classification,periodicity_coherence,periodicity_coherence
dominant_period_v1_days,dominant_period_v1_days,float64,50,50,50,50,False,supporting_diagnostic,periodicity_coherence,periodicity_coherence
