feature,n_finite,missing_fraction,mean,std,min,p05,p25,median,p75,p95,max,n_unique
robust_scatter,50,0.0,0.002179583989868361,0.003061832619488976,4.967720277777644e-05,8.699214942548438e-05,0.00019774738472274998,0.000527229102991,0.0031819525580005998,0.009872168115512,0.0125987708390313,50
skewness,50,0.0,0.4519040272426492,1.0365287339185238,-0.6982301840352786,-0.4883434323938655,-0.1680072250843933,0.20273152836193714,0.6503209214963375,1.9826327996157178,5.350332893708578,50
outlier_fraction,50,0.0,0.00040570863098917,0.0005379656917714685,0.0,0.0,0.0,0.000222915737851,0.00061304313034325,0.0013374944271065,0.0022291573785109,10
acf_lag1,50,0.0,0.6784315676555519,0.33330433213594257,0.0330858802634887,0.08416195254580236,0.3569703046039286,0.8346346736465526,0.9859576462899926,0.9974379993265843,0.9993358818621436,50
acf_timescale_days,50,0.0,1.342946260762983,1.5215576766445307,0.020434182806639,0.02043431905476605,0.020434508298421826,0.9195408723280707,2.1660527680669475,4.26463450405572,6.559425960236695,50
spectral_concentration,50,0.0,0.0583936177920945,0.04954395106331913,0.0014963452750758,0.002734352813856,0.01382103072655445,0.056278312433871144,0.088805935057178,0.15303504752492375,0.1709951421794976,50
harmonic_power_ratio,50,0.0,0.20788350257613858,0.223516598258741,0.0038057463656274,0.007489835644603831,0.03975813881028223,0.1165828331671256,0.2800779261659421,0.6611887683298822,0.9218478954958532,50
dominant_period_days,50,0.0,13.386974950702577,7.883725207146022,2.674014053697723,2.8619669634414806,7.090397475354247,13.744026752720863,18.20234733355489,28.100268858642934,33.80424532829105,50
period_agreement_error,50,0.0,0.3390613926537758,0.8571411797794257,0.001727136932808,0.0038016960565764404,0.01085087187669735,0.0475821348809976,0.13298519173848647,1.7922286597027588,4.529209899947257,50
segment_scale_variability,50,0.0,0.13307468268232633,0.10642233697387964,0.0147678237244658,0.01962131218531807,0.048171415696094344,0.0946616274703287,0.17384443652387954,0.32762970957960713,0.4329231486275922,50
