target_id,quarter,sample_role,sample_stratum,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,stationarity_state,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability
10223890,5,development,uncharacterized,0.0001266168536011,0.2214786762151579,0.000222915737851,0.7784532221765451,0.4291208109571016,stationary_supported,0.0135803829336153,0.357811672996114,13.146080705789023,0.202331723347242,0.0972984403483367
10677499,5,development,uncharacterized,0.005644456086514,-0.2268942137592377,0.0,0.9960304134635848,1.4099665077519603,stationary_supported,0.1340579368531012,0.0242857294377912,8.764042532707878,0.018393726992757,0.2472981555733672
10718455,5,development,uncharacterized,0.0003427982279615,0.4986809712039314,0.000222915737851,0.8482418386863864,2.3295014816103503,inconclusive_low_power,0.0620759763517489,0.1301383013776425,18.930264447305955,0.0360535291653224,0.2603508308160102
11245408,5,development,uncharacterized,0.0029724613698035,0.402896202776649,0.0,0.9842667492809166,2.5747153762495145,conflicting_rejections,0.0621831331707153,0.4154248047467739,14.789286308674916,0.100518048472727,0.1564518243947706
11414923,5,development,uncharacterized,0.0033032119536754,-0.1235119169333151,0.0,0.9672182013701384,0.919542156298121,stationary_supported,0.1162190982137143,0.2192314026481025,6.0674059470382975,0.0069948879603043,0.1520935554437419
11450313,5,development,uncharacterized,0.0018833834290817,-0.2495754836534317,0.000222915737851,0.931439763936448,0.9195395883580204,stationary_supported,0.0408146011595892,0.0981362320893193,15.775211455876509,0.027202140110738,0.0772030814242776
11666946,5,development,uncharacterized,0.0013169948111962,-0.4322479149218072,0.000222915737851,0.9214330471513248,1.757344549521804,stationary_supported,0.0773671094755679,0.5861319907823311,14.341118937834738,0.0102332654015585,0.4329231486275922
2309943,5,development,uncharacterized,0.0002546888563606,3.5288655359946866,0.0006687472135532,0.5538181360038227,1.0217272181762382,stationary_supported,0.0632610184554998,0.0045398619682205,7.063642411060878,1.538536301174383,0.0618121467225945
2571934,5,development,uncharacterized,0.0001279096293665,0.0365448211010174,0.0,0.7348644748049108,0.7969464935304131,stationary_supported,0.0739431306890152,0.015003500472624,5.503065060560972,0.0025907049198234,0.1407286502177495
2715763,5,development,uncharacterized,0.0001127596770205,1.633474885294304,0.0013374944271065,0.0455916156394369,0.020434531092178,stationary_supported,0.0014963452750758,0.2337590589967151,18.93054881109145,0.1474525523664892,0.0179116968691655
2996004,5,development,uncharacterized,0.005178993549534,-0.2632646429994635,0.0,0.9984275772826016,1.1034646758344024,stationary_supported,0.0594986797395984,0.5887475916344452,7.170662668234353,0.017357518635545,0.323656455044236
3657874,5,development,uncharacterized,0.0058782262259343,0.6725670277628248,0.0,0.9993358818621436,2.7995298973910394,stationary_supported,0.0940209817959209,0.0059180239247982,14.790366477496374,0.0196285078006482,0.0498518072288692
