period_days,epoch_days,duration_hours,mes,max_ses,source_index,raw_rank,expected_event_count_event_check,valid_event_count,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_consistent_flag,consistency_weight,event_consistency_score,hardened_rank
9.093274304759689,443.87823203259904,9.808475654572248,94.8973485175956,,92.0,24.0,11,11,1.0,0.8181818181818182,0.22105171968871823,0.85684310834241,10.358765151683748,7.726797826294224,0.7459188149504754,0.7823262531366525,0.00011809488965719428,0.6768579346575084,True,0.8605671405490513,81.665539859474,1
9.175011601881124,443.5308485189671,9.808475654572248,93.09405692473828,,180.0,42.0,11,11,1.0,0.8181818181818182,0.22484372047657603,0.8526719074757664,13.03319868642732,10.098769074311157,0.7748496218988775,0.8126691394488391,0.00011172162402522945,0.8247333950034573,True,0.8677335449107827,80.78083602542935,2
9.481526466086509,451.5206693325017,9.808475654572248,97.52861371907308,,41.0,16.0,10,10,1.0,0.8,0.300696594404793,0.7770037839946744,14.632921708402177,10.18429591162588,0.6959851295984238,0.7336327423794967,9.534649637971127e-05,1.1547607327401344,True,0.8217655988633754,80.1456596591689,3
8.766325116273947,445.61514960075874,9.808475654572248,92.16208151994668,,222.0,50.0,11,11,1.0,0.8181818181818182,0.2302803413751056,0.8466916244873839,6.691946471837524,5.19999725155581,0.7770530253700544,0.8149800885054983,5.2088527760119074e-05,0.6010805555540685,True,0.8668231902797957,79.88822952594678,4
6.968104579602368,447.6177133852252,9.808475654572248,98.70047642407464,,21.0,8.0,13,12,0.9230769230769231,0.75,0.2587109160748916,0.8086790006455729,5.551825335752693,3.7345662129784736,0.672673577990392,0.7025846380793984,4.895357007092538e-05,1.8740344665167967,True,0.7919422135795946,78.16507378064226,5
7.008973228163086,447.29076419592457,9.808475654572248,97.89655715056836,,32.0,12.0,13,12,0.9230769230769231,0.75,0.21059234594761966,0.8611719862389604,4.686023293639169,3.0020790367694556,0.6406453507912546,0.6691322457879443,7.281025358529813e-05,0.9385941802695275,True,0.7947403303932875,77.80234217420805,6
5.476398907136172,445.5129779791023,9.808475654572248,92.01162964710836,,236.0,52.0,17,17,1.0,0.7058823529411765,0.20772094643481034,0.8417964944130141,8.197491390230823,6.227326609836471,0.7596624764080567,0.7830421575121755,3.9273096327119283e-05,2.2525115789408683,True,0.8259069970371326,75.99304873433607,7
3.167320263455622,445.0429885194826,9.808475654572248,97.54917583073662,,38.0,15.0,30,30,1.0,0.5666666666666667,0.1766975855651416,0.8516921528636466,11.400061118506665,8.350347091264593,0.7324826599138826,0.7450046380840467,2.3805008387778326e-05,4.738526917503674,False,0.774358949968195,75.53807736655203,8
9.277183223282918,452.3789109544159,9.808475654572248,97.953687677793,,31.0,11.0,10,10,1.0,0.7,0.35017788628356816,0.7220245707960353,15.406270927777493,10.199358951967897,0.6620264566150438,0.6978371580647279,0.0001064566486301266,1.0952740044141567,True,0.7706390767271974,75.48693943403866,9
4.393379720277153,445.4721093304397,9.808475654572248,91.46535367065222,,279.0,59.0,22,22,1.0,0.6818181818181818,0.12964948104163676,0.9117957817659043,4.6031980650686695,3.3261017177486485,0.7225632420618057,0.7395670565281223,4.590473759280567e-05,2.1240400750455652,True,0.8234475251584035,75.31691911783666,10
4.659025935921818,447.51554176356876,9.808475654572248,95.30604489478608,,79.0,21.0,20,19,0.95,0.7368421052631579,0.2545236185766017,0.7868917359469203,12.547949672911999,8.620672299303932,0.6870183993416779,0.7058443068665285,8.336920448376306e-05,0.9520497520658847,True,0.7896424460202589,75.2576984112355,11
3.146885939175263,445.41080635744584,9.808475654572248,91.59290679121312,,273.0,56.0,30,30,1.0,0.6666666666666666,0.16095460964768216,0.8679779900196392,11.622323303834756,8.932073414167606,0.7685273572815249,0.7816655287601296,3.5896988046291156e-05,2.8691582533611055,True,0.8200863879645163,75.11409609357658,12
4.6181572873611,447.9242282501946,9.808475654572248,91.91284111645224,,242.0,53.0,20,19,0.95,0.7368421052631579,0.23794213698482847,0.8043944109604588,19.08514433114037,14.400462357403478,0.7545377759552435,0.7752138719779287,7.241407761365837e-05,1.9960789724040302,True,0.8128251914282111,74.70907267519104,13
9.358920520404354,451.9293558191275,9.808475654572248,95.75208526656871,,64.0,20.0,10,10,1.0,0.8,0.39167693157436423,0.6759145204729287,12.488014753519348,7.035294329939171,0.5633637106295456,0.5938374922244585,0.00010038754622554436,0.3607286890876029,True,0.7527700716056919,72.07930408250924,14
3.9438245861092582,445.98296743872197,9.808475654572248,94.78232824866106,,95.0,25.0,24,24,1.0,0.5416666666666666,0.2287666508496452,0.8047652338960224,8.92110388932898,5.761667101102398,0.6458468786574991,0.659737647992819,1.639824022076075e-05,6.252772058833477,False,0.7323069337671978,69.40975617509304,15
2.1456040494376794,444.36865581655,9.808475654572248,95.87099872131166,,61.0,19.0,44,44,1.0,0.5909090909090909,0.19701905741626738,0.8216549179926567,7.0972325370047,3.9236662061743703,0.5528445328114197,0.5592360114210836,1.769011838939627e-05,5.74850360274366,False,0.7218572372744417,69.20517427170758,16
4.536419990239665,443.9395350055929,9.808475654572248,99.20787176215848,,19.0,7.0,21,20,0.9523809523809523,0.65,0.27072734893156253,0.7676554221773026,7.835356464235386,3.6709140951459527,0.4685063292144908,0.480677351588948,6.881404378372702e-05,1.4517975469320592,False,0.6913309653397477,68.58547375463492,17
5.435530258575454,445.8603614927342,9.808475654572248,93.3386435701941,,171.0,40.0,17,17,1.0,0.8235294117647058,0.3998081986154416,0.6377037889710934,12.678193651270462,6.709648726441299,0.5292274996737358,0.5455152202840872,6.4077157165221e-05,0.9764435483870931,True,0.7316042942838421,68.28695245858293,18
2.983411344932392,444.71603933018196,9.808475654572248,92.0726312766471,,229.0,51.0,32,31,0.96875,0.6129032258064516,0.18405613609417398,0.843141992702687,4.784724094034278,2.684202736009019,0.5609942565665917,0.5702675171333127,2.287485610624751e-05,4.246845180736817,False,0.7309635889839824,67.30174100517684,19
3.4942694519413635,443.9804036542555,9.808475654572248,91.10085201437688,,309.0,63.0,27,26,0.9629629629629629,0.5769230769230769,0.1700906647340851,0.8631057086765515,4.801936711649992,2.9103041902614937,0.6060688353515357,0.6180713636075865,2.494186117621422e-05,5.535176519323856,False,0.7378320676344519,67.21713000502791,20
11.627130515524186,454.5245150092014,9.808475654572248,96.17421554351522,,57.0,18.0,8,8,1.0,1.0,0.5726272228542166,0.4884260310237524,15.205133179607804,6.946932144894523,0.45688071671817543,0.4884260310237525,8.247350228685058e-05,0.8717681190169376,False,0.698874832157914,67.21373874589324,21
9.563263763207942,451.1324171702072,9.808475654572248,92.95233712231222,,189.0,43.0,10,10,1.0,0.6,0.3624215393168918,0.7084205118701202,8.112696674859405,4.5004283818206785,0.5547388941296356,0.5847461373775529,1.1471878137631064e-05,9.832799099117837,False,0.706077601566475,65.63156325532063,22
5.844216744182631,448.41465203414555,9.808475654572248,93.85198088114622,,139.0,35.0,16,16,1.0,0.75,0.436388213746274,0.6011859053373078,11.77077551718455,5.599497262396426,0.475711838546367,0.4913130742090109,6.9037969332858e-05,0.915897604791293,False,0.6860520930919366,64.38734792433478,23
2.9221083720913157,445.492543654771,9.808475654572248,93.85198088114622,,140.0,36.0,32,32,1.0,0.5625,0.21571343865432172,0.8095861278407002,5.158436990418467,2.4571217030510284,0.47633066132532126,0.4839524358592042,3.465678500444436e-05,2.7463470178930023,False,0.6851679916180773,64.30437324971314,24
4.3116424231557176,446.3712196010165,9.808475654572248,91.2936571350698,,295.0,61.0,22,22,1.0,0.6818181818181818,0.33779021351354344,0.6937435858429545,10.75602674860979,5.188114537858265,0.48234488990359065,0.49369573442384784,5.153732640811315e-05,2.2433947038311373,False,0.6951551322841223,63.46325430243075,25
4.515985665959306,444.28691851922486,9.808475654572248,101.84124641594774,,2.0,3.0,21,20,0.9523809523809523,0.65,0.3348054403244351,0.7002047996584894,6.351248030071597,2.1482509695469107,0.3382407614024001,0.3470276989916623,1.99638239662403e-05,6.671060396902965,False,0.6227709131168254,63.423766023415396,26
5.394661610014737,446.28948230369133,9.808475654572248,96.48800050873832,,54.0,17.0,18,18,1.0,0.7777777777777778,0.4136122797903217,0.62088111551613,9.895520551415325,3.6279712784759406,0.36662763314225477,0.37725672214826084,6.111444989845283e-05,1.2343856820753232,False,0.6533189299382307,63.03743724424838,27
8.991102683357894,444.47082743820647,9.808475654572248,95.18996045247457,,82.0,22.0,11,11,1.0,0.7272727272727273,0.28552500071522663,0.7859224992132507,2.37252416579597,0.6888134720811843,0.2903293808390317,0.3045000235077381,2.6388764725104874e-05,3.398754046986404,False,0.6459011957397891,61.48330927867656,28
12.015382676851004,453.42106149531173,9.808475654572248,94.13483262156124,,125.0,34.0,8,8,1.0,0.75,0.5658961850674278,0.4961186456372254,8.021828010494213,3.4863490450773127,0.43460780267495713,0.46461528435095567,1.848247033289785e-05,2.322693942210645,False,0.644814917853168,60.69954436399374,29
10.85062619287055,445.9625331143907,9.808475654572248,91.40388630410614,,286.0,60.0,9,9,1.0,0.7777777777777778,0.5148286873677342,0.545817726711299,14.279473578069252,5.688316282890002,0.39835616150627917,0.4225205146928003,9.473773236789995e-05,0.3655282909097922,False,0.6507853108867514,59.48430656467499,30
13.915774834924378,447.6994506825504,9.808475654572248,100.84608476720624,,6.0,5.0,7,6,0.8571428571428571,0.5,0.5633337850650473,0.5239994579219432,4.723266305548056,1.8662777639559536,0.3951243997747451,0.4328370935546341,4.2425279058622145e-05,2.0652864799052235,False,0.5583668559594287,56.30911128728298,31
10.768888895749114,446.3712196010165,9.808475654572248,97.5821654543044,,37.0,14.0,9,9,1.0,0.6666666666666666,0.5562217089704808,0.49925057740820905,12.542502406147186,3.44349807034936,0.2745463352402207,0.2912003630974129,7.051932296625596e-05,2.4878998534450165,False,0.5579622375675776,54.447163383573255,32
6.9272359310416505,447.9242282501946,9.808475654572248,94.25175698435244,,118.0,31.0,14,13,0.9285714285714286,0.6923076923076923,0.5134850884407612,0.527057820855842,8.609842004413624,2.5833534530198152,0.3000465573811369,0.3122983583785883,4.995262252122101e-05,2.302631172415859,False,0.5703423349794057,53.75576715436708,33
5.9668226898647845,447.6585820338878,9.808475654572248,93.84269384554904,,142.0,37.0,16,16,1.0,0.5625,0.3929889568257396,0.6474784460525443,5.145260878193456,1.4431912177949529,0.28048941578675973,0.2896882229678848,2.613038909138332e-05,4.137988398143553,False,0.5699275755929066,53.483538990501145,34
13.670562943560071,448.3533490611517,9.808475654572248,94.56970118371848,,108.0,29.0,7,6,0.8571428571428571,0.6666666666666666,0.40167373148498287,0.7179915222180205,2.5038371185059014,0.5308660711437425,0.2120210085632578,0.23225737811018457,4.716216567696163e-05,1.8919665449222054,False,0.5556005879843634,52.54298158317953,35
13.834037537802942,448.026399871851,9.808475654572248,94.71665651166263,,100.0,26.0,7,6,0.8571428571428571,0.6666666666666666,0.6417007296479276,0.4299591244224869,12.478945705990885,4.211157005376768,0.33746096061264846,0.3696699608098199,0.00010327001581411643,1.0329386389923534,False,0.5489727920197716,51.99686737598511,36
10.952797814272344,445.55384662776487,9.808475654572248,92.732785759071,,198.0,47.0,9,9,1.0,0.5555555555555556,0.4326890636960543,0.638224803341939,3.5742545839034165,0.8873966136226394,0.24827459622462603,0.2633349758801776,2.0842301120982398e-05,5.523603966936784,False,0.5527801375837724,51.26084207042576,37
14.120118077727966,446.9638150066239,9.808475654572248,92.90026351342031,,193.0,46.0,7,6,0.8571428571428571,0.6666666666666666,0.5513253006140768,0.5384096392631078,7.728662659001274,1.9398496362680757,0.25099421748066697,0.2749503894350376,0.0001153044328129349,1.2996559306835385,False,0.539302308437992,50.101326567285334,38
5.2720556643325835,447.1885925742681,9.808475654572248,98.02231224669003,,30.0,10.0,18,18,1.0,0.6111111111111112,0.34313532261392604,0.6955037760558431,3.985672246968216,0.42731389810637416,0.10721250309315306,0.11032075554037561,2.2271979627619398e-05,5.173620417628069,False,0.46533875647052775,45.61358088724052,39
7.172447822405957,446.4120882496791,9.808475654572248,93.52126653974985,,161.0,38.0,13,13,1.0,0.6153846153846154,0.5737688693897828,0.46175039149440195,9.127411194895254,1.4605532123605596,0.16001834267940207,0.16655237162331582,2.6319864556034744e-05,5.150288481683021,False,0.4664189447612338,43.62009045220421,40
