method,n_cases,uncalibrated_harmonic_recovery,fraction_above_fap_threshold,harmonic_recovery_at_common_fap,median_score,median_threshold,ranking_changed_fraction
tps_like_raw_top1,2,0.5,0.0,0.0,36.256694530026806,64.59926405062633,
tps_like_event_consistency_hardened,2,0.5,0.5,0.5,22.699134526189663,39.080139723106534,0.0
