quality_policy,gap_mode,observations,missing_fraction,interpolated_fraction,stationarity_conclusion,recommended_d,selected_order,selected_p,selected_d,selected_q,selected_candidate_status,selected_differencing_alignment,fit_metrics_trustworthy,residual_acf_lag_1,max_abs_residual_acf_1_24,mean_abs_residual_acf_1_24,max_abs_residual_acf_transit_lags,ljung_box_rejected_lags,variance_stability,scientifically_acceptable,failure_reasons,differencing_requires_review,differencing_statistically_supported,whitening_constraint_failed,variance_constraint_failed,transit_preservation_diagnostics_available,selection_rank,rmse,mae,aic,bic,AIC,BIC,test_RMSE,test_MAE,minimum_ljung_box_p,residual_autocorrelation_remaining,variance_instability,gap_count,max_gap_length,total_grid_length,observed_cadences,missing_cadences,fraction_of_quarter_retained,interpolation_method,maximum_allowed_interpolated_gap,unfilled_long_gaps,edge_extrapolation_policy,ordinary_lags_meaningful,stationarity
default,longest_contiguous,146,0.0,0.0,stationary_supported,0.0,"ARIMA(1, 0, 0)",1,0,0,valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,True,0.017932145571440593,0.19904548508363937,0.07065646366388166,0.19904548508363937,,unstable,False,residual_autocorrelation_remains;variance_instability_remains,False,True,True,True,False,1,,,,,-2349.1716465447216,-2340.2208266795965,6.877251155071566e-05,5.3459597990983355e-05,0.19254906499080732,True,True,0,0,4634,146,0,0.03150625809236081,,,,,True,"{""diagnostics_agree"": true, ""differenced_adf"": {""alpha"": 0.05, ""critical_values"": {""1%"": -3.479742586699182, ""10%"": -2.578319684499314, ""5%"": -2.88319822181578}, ""lag_selection"": ""AIC"", ""lags_used"": 9, ""n_observations"": 135, ""null_hypothesis"": ""unit root / nonstationary"", ""pvalue"": 1.4515933780335597e-08, ""regression"": ""c"", ""reject_null"": true, ""statistic"": -6.459948962791817, ""status"": ""ok"", ""test_name"": ""ADF"", ""warning_messages"": []}, ""differenced_kpss"": {""alpha"": 0.05, ""critical_values"": {""1%"": 0.739, ""10%"": 0.347, ""2.5%"": 0.574, ""5%"": 0.463}, ""lag_selection"": ""auto"", ""lags_used"": 6, ""n_observations"": 145, ""null_hypothesis"": ""level stationary"", ""pvalue"": 0.1, ""regression"": ""c"", ""reject_null"": false, ""statistic"": 0.032156889598775086, ""status"": ""ok_with_warnings"", ""test_name"": ""KPSS"", ""warning_messages"": [""The test statistic is outside of the range of p-values available in the\nlook-up table. The actual p-value is greater than the p-value returned.\n""]}, ""differenced_series_conclusion"": ""stationary_supported"", ""differencing_requires_review"": true, ""differencing_statistically_supported"": false, ""missing_observations"": 0, ""modelling_mode"": ""longest_contiguous"", ""observations_used"": 146, ""original_adf"": {""alpha"": 0.05, ""critical_values"": {""1%"": -3.476273058920005, ""10%"": -2.5775132580261593, ""5%"": -2.881687616548444}, ""lag_selection"": ""AIC"", ""lags_used"": 0, ""n_observations"": 145, ""null_hypothesis"": ""unit root / nonstationary"", ""pvalue"": 5.0865519301259424e-14, ""regression"": ""c"", ""reject_null"": true, ""statistic"": -8.651973087389807, ""status"": ""ok"", ""test_name"": ""ADF"", ""warning_messages"": []}, ""original_kpss"": {""alpha"": 0.05, ""critical_values"": {""1%"": 0.739, ""10%"": 0.347, ""2.5%"": 0.574, ""5%"": 0.463}, ""lag_selection"": ""auto"", ""lags_used"": 5, ""n_observations"": 146, ""null_hypothesis"": ""level stationary"", ""pvalue"": 0.1, ""regression"": ""c"", ""reject_null"": false, ""statistic"": 0.29660194743233115, ""status"": ""ok_with_warnings"", ""test_name"": ""KPSS"", ""warning_messages"": [""The test statistic is outside of the range of p-values available in the\nlook-up table. The actual p-value is greater than the p-value returned.\n""]}, ""original_series_conclusion"": ""stationary_supported"", ""preprocessing_summary"": {""available_segment_count"": 54, ""cadence_consistent"": true, ""cadence_step_max"": 1, ""cadence_step_median"": 1.0, ""cadence_step_min"": 1, ""flux_error_finite_fraction_observed"": 0.9986642920747997, ""fraction_of_quarter_retained"": 0.03150625809236081, ""gap_count"": 0, ""gap_lengths"": [], ""gap_mode"": ""longest_contiguous"", ""interpolation_used"": false, ""known_events_available"": false, ""known_events_retained"": null, ""longest_segment_length"": 146, ""max_gap_cadences"": 62, ""max_gap_days"": 1.2669182251847815, ""max_gap_length"": 0, ""median_cadence_days"": 0.020434164922335185, ""median_flux"": 551632.875, ""missing_cadences"": 0, ""missing_fraction"": 0.0, ""missing_observations_compressed_for_stationarity"": false, ""n_cadence_grid"": 4634, ""n_raw"": 4492, ""n_row_absent"": 142, ""n_unusable_observed"": 6, ""n_usable"": 4486, ""normalization_fit_count"": 3589, ""normalization_fit_fraction"": 0.8, ""observations"": 146, ""observed_cadences"": 146, ""ordinary_lags_meaningful"": true, ""quality_ok_fraction_raw"": 1.0, ""quality_policy"": ""default"", ""quality_rejection_bitmask"": 1130799, ""quality_zero_fraction_raw"": 0.903606411398041, ""segment_count"": 54, ""segment_duration_cadences"": 146, ""segment_duration_days"": 2.962961707460636, ""segment_end_cadenceno"": 17904, ""segment_end_time"": 474.77550747313217, ""segment_id"": 18, ""segment_start_cadenceno"": 17759, ""segment_start_time"": 471.81254576567153, ""series_plot_representation"": ""longest_contiguous_segment"", ""stationarity_contiguous_segment_used"": true, ""stationarity_gaps_compressed"": false, ""stationarity_interpolated"": false, ""stationarity_observations_used"": 146, ""stationarity_original_observations"": 146, ""stationarity_removed_nonfinite"": 0, ""stationarity_series_representation"": ""finite_values_from_longest_contiguous_segment"", ""total_grid_length"": 4634}, ""reason_codes"": [""ADF_REJECTS_UNIT_ROOT"", ""KPSS_DOES_NOT_REJECT_STATIONARITY"", ""TEST_EXECUTION_WARNING"", ""ORIGINAL_STATIONARITY_SUPPORTED"", ""DIFFERENCED_TEST_EXECUTION_WARNING"", ""DIFFERENCED_STATIONARITY_SUPPORTED"", ""CONTIGUOUS_SEGMENT_DIAGNOSTIC""], ""recommendation_strength"": ""joint_tests_support_d0"", ""recommended_d"": 0}"
default,full_grid_missing,4486,0.031937850668968495,0.0,conflicting_rejections,,"ARIMA(1, 1, 0)",1,1,0,valid_but_residual_autocorrelation_remains,unresolved,True,-0.05412743644231651,0.16708341778634042,0.0300535329644194,0.09990037367276855,"10,20,40",unstable,False,differencing_requires_review;residual_autocorrelation_remains;variance_instability_remains,True,False,True,True,False,1,,,,,-71914.77834859036,-71901.89642881953,0.00018819664242503625,0.00015168727588430042,4.767650972088558e-62,True,True,54,62,4634,4486,148,0.9680621493310315,,,,,False,"{""diagnostics_agree"": false, ""differenced_adf"": {""alpha"": 0.05, ""critical_values"": {""1%"": -3.4318196932722165, ""10%"": -2.567115694284003, ""5%"": -2.8621894279095677}, ""lag_selection"": ""AIC"", ""lags_used"": 32, ""n_observations"": 4452, ""null_hypothesis"": ""unit root / nonstationary"", ""pvalue"": 2.6614657411780123e-30, ""regression"": ""c"", ""reject_null"": true, ""statistic"": -18.038989924934306, ""status"": ""ok"", ""test_name"": ""ADF"", ""warning_messages"": []}, ""differenced_kpss"": {""alpha"": 0.05, ""critical_values"": {""1%"": 0.739, ""10%"": 0.347, ""2.5%"": 0.574, ""5%"": 0.463}, ""lag_selection"": ""auto"", ""lags_used"": 977, ""n_observations"": 4485, ""null_hypothesis"": ""level stationary"", ""pvalue"": 0.1, ""regression"": ""c"", ""reject_null"": false, ""statistic"": 0.09930464840504029, ""status"": ""ok_with_warnings"", ""test_name"": ""KPSS"", ""warning_messages"": [""The test statistic is outside of the range of p-values available in the\nlook-up table. The actual p-value is greater than the p-value returned.\n""]}, ""differenced_series_conclusion"": ""stationary_supported"", ""differencing_requires_review"": true, ""differencing_statistically_supported"": false, ""missing_observations"": 148, ""modelling_mode"": ""full_grid_missing"", ""observations_used"": 4486, ""original_adf"": {""alpha"": 0.05, ""critical_values"": {""1%"": -3.4318180435739567, ""10%"": -2.5671153063146868, ""5%"": -2.8621886991209258}, ""lag_selection"": ""AIC"", ""lags_used"": 28, ""n_observations"": 4457, ""null_hypothesis"": ""unit root / nonstationary"", ""pvalue"": 0.00134143184286763, ""regression"": ""c"", ""reject_null"": true, ""statistic"": -4.013503200218265, ""status"": ""ok"", ""test_name"": ""ADF"", ""warning_messages"": []}, ""original_kpss"": {""alpha"": 0.05, ""critical_values"": {""1%"": 0.739, ""10%"": 0.347, ""2.5%"": 0.574, ""5%"": 0.463}, ""lag_selection"": ""auto"", ""lags_used"": 39, ""n_observations"": 4486, ""null_hypothesis"": ""level stationary"", ""pvalue"": 0.01, ""regression"": ""c"", ""reject_null"": true, ""statistic"": 0.7609624283229994, ""status"": ""ok_with_warnings"", ""test_name"": ""KPSS"", ""warning_messages"": [""The test statistic is outside of the range of p-values available in the\nlook-up table. The actual p-value is smaller than the p-value returned.\n""]}, ""original_series_conclusion"": ""conflicting_rejections"", ""preprocessing_summary"": {""cadence_consistent"": true, ""cadence_step_max"": 1, ""cadence_step_median"": 1.0, ""cadence_step_min"": 1, ""flux_error_finite_fraction_observed"": 0.9986642920747997, ""fraction_of_quarter_retained"": 0.9680621493310315, ""gap_count"": 54, ""gap_lengths"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 62, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 34, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], ""gap_mode"": ""full_grid_missing"", ""interpolation_used"": false, ""known_events_available"": false, ""known_events_retained"": null, ""longest_segment_length"": 146, ""max_gap_cadences"": 62, ""max_gap_days"": 1.2669182251847815, ""max_gap_length"": 62, ""median_cadence_days"": 0.020434164922335185, ""median_flux"": 551632.875, ""missing_cadences"": 148, ""missing_fraction"": 0.031937850668968495, ""missing_observations_compressed_for_stationarity"": true, ""n_cadence_grid"": 4634, ""n_raw"": 4492, ""n_row_absent"": 142, ""n_unusable_observed"": 6, ""n_usable"": 4486, ""normalization_fit_count"": 3589, ""normalization_fit_fraction"": 0.8, ""observations"": 4486, ""observed_cadences"": 4486, ""ordinary_lags_meaningful"": false, ""quality_ok_fraction_raw"": 1.0, ""quality_policy"": ""default"", ""quality_rejection_bitmask"": 1130799, ""quality_zero_fraction_raw"": 0.903606411398041, ""segment_count"": 54, ""series_plot_representation"": ""missing_valued_regular_grid"", ""stationarity_contiguous_segment_used"": false, ""stationarity_gaps_compressed"": true, ""stationarity_interpolated"": false, ""stationarity_observations_used"": 4486, ""stationarity_original_observations"": 4634, ""stationarity_removed_nonfinite"": 148, ""stationarity_series_representation"": ""finite_observed_values_from_full_grid_missing_series"", ""total_grid_length"": 4634}, ""reason_codes"": [""ADF_REJECTS_UNIT_ROOT"", ""KPSS_REJECTS_STATIONARITY"", ""TEST_EXECUTION_WARNING"", ""CONFLICTING_STATIONARITY_TESTS"", ""DIFFERENCED_TEST_EXECUTION_WARNING"", ""DIFFERENCED_STATIONARITY_SUPPORTED"", ""GAP_COMPRESSED_SERIES_DIAGNOSTIC""], ""recommendation_strength"": ""unresolved"", ""recommended_d"": null}"
default,interpolated_full_grid,4537,0.020932239965472593,0.0110056107034959,conflicting_rejections,,"ARIMA(1, 1, 1)",1,1,1,valid_but_residual_autocorrelation_remains,unresolved,True,-0.04060546392036487,0.12276332984947017,0.030714162201487104,0.12276332984947017,"10,20,40",unstable,False,differencing_requires_review;residual_autocorrelation_remains;variance_instability_remains,True,False,True,True,False,1,,,,,-73022.12572100072,-73002.80284134447,0.00016653475472815918,0.00013001587827344118,5.49858848278029e-50,True,True,3,62,4634,4537,97,0.9790677600345274,linear,12.0,2.0,none,False,"{""diagnostics_agree"": false, ""differenced_adf"": {""alpha"": 0.05, ""critical_values"": {""1%"": -3.431802715547306, ""10%"": -2.5671117015248335, ""5%"": -2.8621819276259015}, ""lag_selection"": ""AIC"", ""lags_used"": 31, ""n_observations"": 4504, ""null_hypothesis"": ""unit root / nonstationary"", ""pvalue"": 2.0824502677707267e-30, ""regression"": ""c"", ""reject_null"": true, ""statistic"": -18.57127652407272, ""status"": ""ok"", ""test_name"": ""ADF"", ""warning_messages"": []}, ""differenced_kpss"": {""alpha"": 0.05, ""critical_values"": {""1%"": 0.739, ""10%"": 0.347, ""2.5%"": 0.574, ""5%"": 0.463}, ""lag_selection"": ""auto"", ""lags_used"": 422, ""n_observations"": 4536, ""null_hypothesis"": ""level stationary"", ""pvalue"": 0.1, ""regression"": ""c"", ""reject_null"": false, ""statistic"": 0.045291835742289746, ""status"": ""ok_with_warnings"", ""test_name"": ""KPSS"", ""warning_messages"": [""The test statistic is outside of the range of p-values available in the\nlook-up table. The actual p-value is greater than the p-value returned.\n""]}, ""differenced_series_conclusion"": ""stationary_supported"", ""differencing_requires_review"": true, ""differencing_statistically_supported"": false, ""missing_observations"": 97, ""modelling_mode"": ""interpolated_full_grid"", ""observations_used"": 4537, ""original_adf"": {""alpha"": 0.05, ""critical_values"": {""1%"": -3.431802715547306, ""10%"": -2.5671117015248335, ""5%"": -2.8621819276259015}, ""lag_selection"": ""AIC"", ""lags_used"": 32, ""n_observations"": 4504, ""null_hypothesis"": ""unit root / nonstationary"", ""pvalue"": 0.0044852927172569085, ""regression"": ""c"", ""reject_null"": true, ""statistic"": -3.6745774480535642, ""status"": ""ok"", ""test_name"": ""ADF"", ""warning_messages"": []}, ""original_kpss"": {""alpha"": 0.05, ""critical_values"": {""1%"": 0.739, ""10%"": 0.347, ""2.5%"": 0.574, ""5%"": 0.463}, ""lag_selection"": ""auto"", ""lags_used"": 39, ""n_observations"": 4537, ""null_hypothesis"": ""level stationary"", ""pvalue"": 0.01, ""regression"": ""c"", ""reject_null"": true, ""statistic"": 0.7652332693821118, ""status"": ""ok_with_warnings"", ""test_name"": ""KPSS"", ""warning_messages"": [""The test statistic is outside of the range of p-values available in the\nlook-up table. The actual p-value is smaller than the p-value returned.\n""]}, ""original_series_conclusion"": ""conflicting_rejections"", ""preprocessing_summary"": {""cadence_consistent"": true, ""cadence_step_max"": 1, ""cadence_step_median"": 1.0, ""cadence_step_min"": 1, ""edge_extrapolation"": false, ""edge_extrapolation_policy"": ""none"", ""flux_error_finite_fraction_observed"": 0.9986642920747997, ""fraction_of_quarter_retained"": 0.9790677600345274, ""gap_count"": 3, ""gap_lengths"": [1, 62, 34], ""gap_mode"": ""interpolated_full_grid"", ""interpolated_fraction"": 0.0110056107034959, ""interpolated_values"": 51, ""interpolation_method"": ""linear"", ""interpolation_used"": true, ""known_events_available"": false, ""known_events_retained"": null, ""longest_segment_length"": 146, ""max_allowed_interpolated_gap"": 12, ""max_gap_cadences"": 62, ""max_gap_days"": 1.2669182251847815, ""max_gap_length"": 62, ""maximum_allowed_interpolated_gap"": 12, ""median_cadence_days"": 0.020434164922335185, ""median_flux"": 551632.875, ""missing_cadences"": 97, ""missing_fraction"": 0.020932239965472593, ""missing_observations_compressed_for_stationarity"": true, ""n_cadence_grid"": 4634, ""n_raw"": 4492, ""n_row_absent"": 142, ""n_unusable_observed"": 6, ""n_usable"": 4486, ""normalization_fit_count"": 3589, ""normalization_fit_fraction"": 0.8, ""observations"": 4537, ""observed_cadences"": 4537, ""ordinary_lags_meaningful"": false, ""quality_ok_fraction_raw"": 1.0, ""quality_policy"": ""default"", ""quality_rejection_bitmask"": 1130799, ""quality_zero_fraction_raw"": 0.903606411398041, ""remaining_missing_values"": 97, ""segment_count"": 54, ""series_plot_representation"": ""longest_finite_after_interpolation"", ""stationarity_contiguous_segment_used"": false, ""stationarity_gaps_compressed"": true, ""stationarity_interpolated"": true, ""stationarity_observations_used"": 4537, ""stationarity_original_observations"": 4634, ""stationarity_removed_nonfinite"": 97, ""stationarity_series_representation"": ""finite_observed_and_interpolated_values_from_interpolated_full_grid"", ""total_grid_length"": 4634, ""unfilled_edge_gaps"": 1, ""unfilled_long_gaps"": 2}, ""reason_codes"": [""ADF_REJECTS_UNIT_ROOT"", ""KPSS_REJECTS_STATIONARITY"", ""TEST_EXECUTION_WARNING"", ""CONFLICTING_STATIONARITY_TESTS"", ""DIFFERENCED_TEST_EXECUTION_WARNING"", ""DIFFERENCED_STATIONARITY_SUPPORTED"", ""GAP_COMPRESSED_SERIES_DIAGNOSTIC"", ""INTERPOLATED_SERIES_DIAGNOSTIC""], ""recommendation_strength"": ""unresolved"", ""recommended_d"": null}"
