target_id,quarter,sample_stratum,raw_top1_mes,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,event_consistency_score,robust_veto_score,hardened_period_days,hardened_epoch_days,hardened_duration_hours,selected_raw_mes,consistency_weight,valid_event_count,event_observability_fraction,positive_event_fraction,single_event_fraction,leave_one_out_ratio_normalized,event_consistent_flag,transit_consistency_veto_pass,diagnostic_consistency_veto_pass,event_depth_chi2_pvalue,event_depth_reduced_chi2,odd_even_tested,odd_even_depth_pvalue,odd_even_depth_z,odd_even_depth_difference_fraction,robust_event_snr,fails_min_events,fails_observability,fails_positive_events,fails_single_event_dominance,fails_leave_one_out,fails_depth_chi2,fails_odd_even,fails_robust_sign,veto_reason,diagnostic_veto_reason,any_candidate_survives_veto,selection_status,ranking_changed,raw_score_threshold,hardened_score_threshold,hardened_score_name,raw_empirical_p_value,hardened_empirical_p_value,raw_passes_fap,hardened_passes_fap
10677499,5,high_scatter,55.26710905843626,14.304007886676118,446.9433905643891,9.808462550863624,47.379890808069064,55.26710905843626,14.304007886676118,446.9434748041458,9.808462550863624,55.26710905843626,0.8572891112862859,5,0.7142857142857143,1.0,0.3043214383948297,0.8695982020064629,True,True,True,0.0208490879206954,2.8925934590719518,False,1.0,,,9.05233346035179,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False,302.12117563918946,287.39500707057357,robust_veto_score,1.0,1.0,False,False
10718455,5,long_memory,120.77801205594815,8.296294540559757,443.9198779977196,9.808427043026313,78.96340733304804,94.8057589800534,8.929755453755206,450.7039812505682,7.8467416344210505,94.8057589800534,0.8328967373138324,9,0.9,1.0,0.3500072021894175,0.7312418975369049,True,True,True,0.35580405001965104,1.1052435757674912,True,0.8514969359505912,-0.1872087865643378,0.15093685125149203,2.6718413325438632,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True,258.3293041333198,246.85494546041707,robust_veto_score,0.5844155844155844,0.8201798201798202,False,False
2996004,5,high_scatter,26.44679592876307,9.195538860512897,444.9408148622315,9.80857478454709,20.24355690753166,22.937852740080068,10.625956016592681,449.804190472154,7.846859827637672,22.937852740080068,0.8825393177348037,9,1.0,1.0,0.3076660912463886,0.7788756473478127,True,True,True,0.008869668816170998,2.552077754741447,True,0.6776083058334866,0.41572901668886975,0.06698169059128826,9.30760396041751,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True,846.9163533968087,780.0954082562862,robust_veto_score,1.0,0.998001998001998,False,False
12645975,5,gap_heavy,25.18224813258745,13.609148362535052,455.3015103537691,9.808395216241479,17.931720876630532,22.035870916292183,13.323070168728009,455.93500430809945,9.808395216241479,22.035870916292183,0.8137514030985153,7,1.0,0.8571428571428571,0.38273257500456503,0.710384771689305,True,True,True,0.8911098829108484,0.38179476710373067,True,0.6913875259218563,0.3969727900378906,0.4505150202010189,1.6336009202873727,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True,56.212253970920614,55.664616924918086,robust_veto_score,0.9460539460539461,0.974025974025974,False,False
10223890,5,quiet_low_scatter,101.05541370368394,13.915774834924378,447.6993529891952,9.808475654572248,83.68831504512572,94.04304493702982,11.627130515524186,454.5245150092014,9.808475654572248,94.04304493702982,0.8898937194256362,8,1.0,1.0,0.3070780221109562,0.7919108318731929,True,True,False,3.715656974803864e-05,4.601205158678011,True,0.00038592008036526077,-3.5495295971836955,0.8945191974252035,7.403604369578965,False,False,False,False,False,True,False,False,pass,fails_depth_chi2,True,raw_failed_event_penalty_rank,True,158.02826422066033,152.29220905627125,robust_veto_score,0.06593406593406594,0.07892107892107893,False,False
11245408,5,long_memory,413.14639923413705,2.94253187533468,445.6971814974859,9.808439584448934,346.40670618370007,394.38461375256657,14.917001868016087,448.4354107925683,9.808439584448934,394.38461375256657,0.8783474154522484,7,1.0,0.8571428571428571,0.28326867484991136,0.8304412718289301,True,True,False,0.004458973487841769,3.1384816888842644,True,0.01324300576052107,-2.477166633754166,0.7544123114615712,5.9558801285202705,False,False,False,False,False,True,False,False,pass,fails_depth_chi2,True,raw_failed_event_penalty_rank,True,1328.3355370244255,1296.1262434192704,robust_veto_score,0.6423576423576424,0.6293706293706294,False,False
1431344,5,gap_heavy,93.01639471213781,12.260731088463217,449.64086386159033,9.808584870770574,71.20936838404978,78.46170134867579,12.42420750297606,448.65994555419456,9.808584870770574,78.46170134867579,0.907568497241764,8,1.0,0.875,0.2204079273252913,0.8702624321271333,True,True,True,0.6856684583199413,0.6841733903233562,True,0.11759131012655963,1.5649641728957506,1.1478784200007595,2.744961265949497,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True,132.4573023528159,128.64742258659578,robust_veto_score,0.14185814185814186,0.24575424575424576,False,False
2715763,5,quiet_low_scatter,35.63616936971049,10.993777696276084,454.40206083362864,9.8085748963058,31.098004546205416,32.194513612960485,7.662949137738906,443.89866058334155,7.84685991704464,32.194513612960485,0.9659411202810143,13,1.0,1.0,0.1387302327540854,0.9330422478497409,True,True,True,0.7488248374073523,0.7043957306805586,True,0.42114783586860277,-0.8044314641252267,0.33363661413209056,4.820829910909861,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,True,102.97115441659925,101.78915711646715,robust_veto_score,0.8841158841158842,0.9070929070929071,False,False
11450313,5,smooth_background_dominant,57.6745290254424,10.033198544617335,447.0052440154577,9.808422202477232,43.393785101933354,50.183540506031854,10.1558038221483,446.35135117258324,9.808422202477232,50.183540506031854,0.8647015468491627,10,1.0,0.8,0.20511902480310282,0.7912529884952264,True,True,False,4.35863247254216e-13,8.647572176254478,True,1.219777458263905e-06,4.852397637088794,1.980770274576028,5.904958783781761,False,False,False,False,False,True,True,False,pass,fails_depth_chi2;fails_odd_even,True,raw_failed_event_penalty_rank,True,108.48187811882003,101.60251762679009,robust_veto_score,0.45054945054945056,0.5604395604395604,False,False
11666946,5,smooth_background_dominant,97.83338049279456,13.547900345292874,443.65364289570425,9.808434639126062,80.04127350572733,97.83338049279456,13.547900345292874,443.65371667673026,9.808434639126062,97.83338049279456,0.8181386874556827,7,1.0,0.8571428571428571,0.35799454670189057,0.6978611178073517,True,True,True,0.03887801439149964,2.2124182865180226,True,0.40309968751497705,0.836098152740245,0.7035138530598188,2.8561066895132017,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,False,330.38879316537,316.11953075500986,robust_veto_score,0.999000999000999,0.997002997002997,False,False
