gap_mode,duration_cadences,depth,n_null_trials,threshold_far_0.1,threshold_far_0.05,threshold_far_0.01
longest_contiguous,6,0.0005,6,0.8722511969008024,1.4335497810795388,1.8825886484225283
longest_contiguous,6,0.001,6,0.8722511969008024,1.4335497810795386,1.882588648422528
longest_contiguous,6,0.002,6,0.8722511969008024,1.4335497810795388,1.8825886484225283
full_grid_missing,6,0.0005,80,1.6874823781825854,1.879039705336677,2.835444955607672
full_grid_missing,6,0.001,80,1.6874823781825854,1.879039705336677,2.8354449556076715
full_grid_missing,6,0.002,80,1.6874823781825854,1.879039705336677,2.8354449556076715
interpolated_full_grid,6,0.0005,80,1.5680944994688812,2.6604266965070638,4.412776069088301
interpolated_full_grid,6,0.001,80,1.5680944994688815,2.6604266965070638,4.4127760690883
interpolated_full_grid,6,0.002,80,1.5680944994688815,2.6604266965070638,4.4127760690883004
