gap_mode,center_cadenceno,duration_cadences,depth,injected_transit_depth,recovered_transformed_template_depth,transformed_template_amplitude,depth_retention_fraction,input_matched_filter_snr,recovered_transformed_template_snr,snr_retention_fraction,input_local_depth,recovered_innovation_local_depth,input_local_snr,recovered_innovation_local_snr,local_snr_retention_fraction,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,template_abs_area,template_edge_abs_fraction,template_interior_abs_fraction,ingress_egress_asymmetry_fraction,ingress_egress_distortion_fraction,best_injected_neighborhood_statistic,best_injected_neighborhood_rank,best_spurious_statistic,spurious_to_injected_statistic_ratio,spurious_peak_exceeds_injected,n_spurious_peaks_positive,n_trial_centers,threshold_far_0.1,detected_at_far_0.1,top_recovered_at_far_0.1,n_spurious_peaks_above_far_0.1,threshold_far_0.05,detected_at_far_0.05,top_recovered_at_far_0.05,n_spurious_peaks_above_far_0.05,threshold_far_0.01,detected_at_far_0.01,top_recovered_at_far_0.01,n_spurious_peaks_above_far_0.01,injection_id,quality_policy,selected_order,selected_candidate_status,selected_differencing_alignment,gap_mode_scientifically_acceptable_before_injection
longest_contiguous,17765,6,0.0005,0.0005,0.0005081459210815824,1.0162918421631648,1.0162918421631648,18.447489776682797,14.529454054646122,0.7876114436453581,0.0005165417987461614,0.00035799571043857017,21.287961575569895,15.421791923366298,0.7244372303388773,18.447489776682797,339.2614779410567,18.390658135497404,31,13.732316965108412,249.1790663336938,18.145449669332375,30,14.529454054646122,207.7208793457774,14.29653712827248,30,0.0020366556727683645,0.8303336712518077,0.16966632874819237,0.25681052752696626,0.8303336712518077,14.529454054646122,1,1.9948483652582751,0.13729685628623997,False,1,7,0.8722511969008024,True,True,1,1.4335497810795388,True,True,1,1.8825886484225283,True,True,1,1,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17765,6,0.001,0.001,0.0010081459210815823,1.0081459210815824,1.0081459210815824,36.838147912180204,28.825991182918603,0.7825038123968102,0.0010165417987461614,0.0007035476013613584,41.89419482449929,30.307527157480042,0.7234302338174194,36.838147912180204,1354.9555691955873,36.78131627099481,31,27.571368087344197,1000.5897438870819,36.29089933866475,30,28.825991182918603,824.2237064117019,28.59307425654496,30,0.004073311345536729,0.8303336712518077,0.16966632874819237,0.25681052752696626,0.8303336712518077,28.825991182918603,1,1.994848365258275,0.06920311439075028,False,1,7,0.8722511969008024,True,True,1,1.4335497810795386,True,True,1,1.882588648422528,True,True,1,2,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17765,6,0.002,0.002,0.0020081459210815828,1.0040729605407914,1.0040729605407914,73.61946418317501,57.41906543946357,0.779944082404584,0.0020165417987461614,0.0013946513832069347,83.1066613223581,60.07899762570754,0.7229143448883146,73.61946418317501,5415.641591645069,73.56263254198961,31,55.249470331815765,4010.105932652941,72.5817986773295,30,57.41906543946357,3283.5752037039924,57.18614851308992,30,0.008146622691073458,0.8303336712518077,0.1696663287481924,0.25681052752696626,0.8303336712518077,57.41906543946357,1,1.9948483652582751,0.034741916295405864,False,1,7,0.8722511969008024,True,True,1,1.4335497810795388,True,True,1,1.8825886484225283,True,True,1,3,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17831,6,0.0005,0.0005,0.0006169130497707248,1.2338260995414496,1.2338260995414496,30.65728779464024,23.431854105648153,0.7643159519722649,0.0006512554885348405,0.0004345487070793732,24.983486846901595,15.009760109905427,0.6007872400632064,30.65728779464024,738.0278669539252,24.07348855833729,49,22.524870012535754,544.7503791654092,24.184396130243574,49,23.431854105648153,444.999329348305,18.99121287380497,49,0.0020366556727683645,0.8303336712518077,0.16966632874819235,0.2568105275269663,0.8303336712518077,23.431854105648153,1,1.9948483652582751,0.08513403831655922,False,1,7,0.8722511969008024,True,True,1,1.4335497810795388,True,True,1,1.8825886484225283,True,True,1,4,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17831,6,0.001,0.001,0.0011169130497707248,1.116913049770725,1.116913049770725,54.730776352977536,42.42306697945313,0.7751226970699673,0.0011512554885348405,0.0007801005980021613,44.16450511602059,26.94547848572349,0.6101161648916353,54.730776352977536,2635.1214366446434,48.14697711667458,49,40.94814605808344,1980.6123701355236,48.36879226048715,49,42.42306697945313,1611.330991532962,37.982425747609945,49,0.004073311345536729,0.8303336712518077,0.16966632874819237,0.25681052752696626,0.8303336712518077,42.42306697945313,1,1.994848365258275,0.04702272860716187,False,1,7,0.8722511969008024,True,True,1,1.4335497810795386,True,True,1,1.882588648422528,True,True,1,5,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17831,6,0.002,0.002,0.0021169130497707246,1.0584565248853623,1.0584565248853623,102.87775346965213,80.40549272706306,0.7815634577477613,0.0021512554885348405,0.001471204379847738,82.5265416542586,50.81691523735964,0.6157645070146636,102.87775346965213,9906.50568423646,96.29395423334915,49,77.79469814917881,7525.671187489868,96.7375845209743,49,80.40549272706306,6107.991314411329,75.96485149521989,49,0.008146622691073458,0.8303336712518077,0.16966632874819237,0.25681052752696626,0.8303336712518077,80.40549272706306,1,1.9948483652582751,0.024809851884495006,False,1,7,0.8722511969008024,True,True,1,1.4335497810795388,True,True,1,1.8825886484225283,True,True,1,6,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17898,6,0.0005,0.0005,0.00043979806578376584,0.8795961315675317,0.8795961315675317,13.773925586012156,11.413273396883277,0.8286144226358974,0.00043819485468488085,0.0002901995719845287,19.541327698925983,10.481991655168196,0.5364012014262624,13.773925586012156,221.94541299055953,16.11344649748594,31,10.824927293683478,178.0905286550412,16.451891437548955,31,11.413273396883277,148.0938864520262,12.97558389273909,31,0.0020366556727683645,0.8303336712518077,0.16966632874819237,0.2568105275269663,0.8303336712518077,11.413273396883277,1,0.7220109061928252,0.06326063356985658,False,1,7,0.8722511969008024,True,True,0,1.4335497810795388,True,True,0,1.8825886484225283,True,True,0,7,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17898,6,0.001,0.001,0.0009397980657837658,0.9397980657837658,0.9397980657837658,29.88737208349809,24.38885728962236,0.8160254846590658,0.0009381948546848809,0.0006357514629073168,41.83885982419334,22.963305849778237,0.5488511385412969,29.88737208349809,963.1771420358026,32.22689299497188,31,23.400966087894304,769.9803072236035,32.90378287509791,31,24.38885728962236,632.9193276190725,25.95116778547818,31,0.004073311345536729,0.8303336712518077,0.16966632874819237,0.25681052752696626,0.8303336712518077,24.38885728962236,1,-0.2503459714566702,-0.010264768393359465,False,0,7,0.8722511969008024,True,True,0,1.4335497810795386,True,True,0,1.882588648422528,True,True,0,8,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
longest_contiguous,17898,6,0.002,0.002,0.0019397980657837662,0.9698990328918831,0.9698990328918831,62.11426507846996,50.34002507510055,0.8104422552775143,0.0019381948546848809,0.0013268552447528931,86.43392407472807,47.92593423899832,0.5544806018243839,62.11426507846996,4003.4995482903396,64.45378598994375,31,48.55304367631593,3195.15761410129,65.80756575019582,31,50.34002507510055,2612.764874098226,51.90233557095635,31,0.008146622691073458,0.8303336712518077,0.16966632874819237,0.25681052752696626,0.8303336712518077,50.34002507510055,1,-0.2503459714566702,-0.004973099856092397,False,0,7,0.8722511969008024,True,True,0,1.4335497810795388,True,True,0,1.8825886484225283,True,True,0,9,default,"ARIMA(1, 0, 0)",valid_but_residual_autocorrelation_remains,aligned_with_stationarity_evidence,False
full_grid_missing,17765,6,0.0005,0.0005,0.0005599132850821667,1.1198265701643335,1.1198265701643335,20.8368839712597,16.448772830292796,0.7894065568047784,0.000516428498754717,0.0001143455100566022,21.217603029981916,3.92025279990287,0.1847641693721617,20.8368839712597,438.6934149524651,21.05369572329311,48,5.8381405760707255,118.0633890829991,20.22277256681954,48,16.448772830292796,241.61074119082002,14.688678826292675,48,0.001338252618472141,0.9999999999999999,0.0,8.101625638687848e-17,0.9999999999999999,16.448772830292796,1,3.6361861122995927,0.22106123963260224,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.835444955607672,True,True,1,1,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
