injected_duration_hours,injection_count,raw_bls_recovery_rate,existing_tcf_recovery_rate,kalman_bls_recovery_rate,kalman_tcf_recovery_rate,raw_bls_union_kalman_tcf_rate,all_four_union_rate,kalman_tcf_only_vs_raw_bls_count,raw_bls_only_vs_kalman_tcf_count,kalman_tcf_unique_all_methods_count,median_depth_retention_fraction,median_snr_retention_fraction
2.0,27,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7407407407407407,0.7407407407407407,0.7777777777777778,2,0,0,0.2565133388355981,0.4916755731743646
4.0,27,0.8148148148148148,0.8518518518518519,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,2,0,0,0.0687534432349859,0.1345551165630648
8.0,27,1.0,0.7407407407407407,0.8148148148148148,0.8518518518518519,1.0,1.0,0,4,0,0.0352433247497932,0.0683656441959414
