injected_depth,injection_count,raw_bls_recovery_rate,existing_tcf_recovery_rate,kalman_bls_recovery_rate,kalman_tcf_recovery_rate,raw_bls_union_kalman_tcf_rate,all_four_union_rate,kalman_tcf_only_vs_raw_bls_count,raw_bls_only_vs_kalman_tcf_count,kalman_tcf_unique_all_methods_count,median_depth_retention_fraction,median_snr_retention_fraction
0.0002,27,0.48148148148148145,0.4074074074074074,0.37037037037037035,0.48148148148148145,0.6296296296296297,0.6666666666666666,4,4,0,0.1451922103577792,0.2813443010762781
0.0005,27,1.0,0.9629629629629629,1.0,1.0,1.0,1.0,0,0,0,0.0687534432349859,0.1345551165630648
0.001,27,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0321403559485066,0.0607374737248453
