injected_period_days,injection_count,raw_bls_recovery_rate,existing_tcf_recovery_rate,kalman_bls_recovery_rate,kalman_tcf_recovery_rate,raw_bls_union_kalman_tcf_rate,all_four_union_rate,kalman_tcf_only_vs_raw_bls_count,raw_bls_only_vs_kalman_tcf_count,kalman_tcf_unique_all_methods_count,median_depth_retention_fraction,median_snr_retention_fraction
2.0,27,0.8888888888888888,0.7407407407407407,0.7037037037037037,0.8518518518518519,0.8888888888888888,0.8888888888888888,0,1,0,0.070039145998627,0.1247460479973443
5.0,27,0.8148148148148148,1.0,1.0,0.9629629629629629,0.9629629629629629,1.0,4,0,0,0.0957544152707759,0.1891185493417897
10.0,27,0.7777777777777778,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0,3,0,0.1068285847535592,0.2084466831792955
