target_id,quarter,sample_stratum,case_index,branch,detector,pipeline,success,recovered_period_days,recovered_duration_hours,recovered_epoch_days,recovered_depth_raw,score,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,error,seed_source,ingress_fraction,bls_seed_rank,tls_snr
2715763,5,quiet_low_scatter,0,raw,bls,raw_bls,True,4.000834028356964,1.5,445.7979044620894,0.0001911547204996331,0.0016198835173484546,1.000417014178482,False,True,0.03773233387619257,,,,,
2715763,5,quiet_low_scatter,0,raw,trapezoid,raw_trapezoid,True,4.000834028356964,2.7142857142857144,445.7979044620894,0.00019450523472012304,2.8872254591099332e-06,1.000417014178482,False,True,0.14303579088300467,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,0,raw,tls,raw_tls,True,1.9997743200322913,2.0931826666606304,443.8197417090461,0.9998134226017653,24.493718914584633,0.00011283998385436256,True,True,8.298132583033293,,,,,18.176389135493533
2715763,5,quiet_low_scatter,0,arima,bls,arima_bls,True,4.000834028356964,1.5,445.7808387617479,0.00011650860058559444,0.000980640835710417,1.000417014178482,False,True,0.04677041573449969,,,,,
2715763,5,quiet_low_scatter,0,arima,trapezoid,arima_trapezoid,True,4.000834028356964,1.5,445.7808387617479,0.00017237430275058248,1.2755560057254732e-06,1.000417014178482,False,True,0.11891916673630476,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,0,arima,tls,arima_tls,True,1.9997862670322457,0.9758564383406357,443.79575246438327,0.9998555001442094,14.114279633284863,0.00010686648387714381,True,True,6.373988332692534,,,,,7.911565763462944
2715763,5,quiet_low_scatter,0,kalman,bls,kalman_bls,True,4.000834028356964,1.5,445.7979044620894,0.0001944326120121377,0.0016476610287741939,1.000417014178482,False,True,0.03832054091617465,,,,,
2715763,5,quiet_low_scatter,0,kalman,trapezoid,kalman_trapezoid,True,4.000834028356964,2.7142857142857144,445.7979044620894,0.00019692930881573062,2.9459822588607355e-06,1.000417014178482,False,True,0.13364524999633431,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,0,kalman,tls,kalman_tls,True,1.9997743200322913,2.0931826666606304,443.81610244731723,0.9998196530752661,24.70991645735464,0.00011283998385436256,True,True,7.221004500053823,,,,,18.05439471738858
2715763,5,quiet_low_scatter,0,gp,bls,gp_bls,True,5.997497914929108,2.7,443.82290446208935,0.00017478512646244707,0.001586863243171376,1.9987489574645538,False,False,0.03668825002387166,,,,,
2715763,5,quiet_low_scatter,0,gp,trapezoid,gp_trapezoid,True,1.0,2.7142857142857144,443.81665446208933,0.00010050076857753319,2.7547150720862954e-06,0.5,False,True,0.13228474976494908,,bls_top_peaks,0.3,2.0,
2715763,5,quiet_low_scatter,0,gp,tls,gp_tls,True,1.9997743200322913,2.0931826666606304,443.8197417090461,0.9998244317439567,23.54918293773518,0.00011283998385436256,True,True,8.642744125332683,,,,,15.843824882375712
2715763,5,quiet_low_scatter,1,raw,bls,raw_bls,True,2.0041701417848206,6.300000000000001,444.31665446208933,0.00026620263877700064,0.006008469114159679,0.002085070892410279,True,True,0.03628275031223893,,,,,
2715763,5,quiet_low_scatter,1,raw,trapezoid,raw_trapezoid,True,2.0041701417848206,7.571428571428571,444.31665446208933,0.0003275656591664387,4.19332327546425e-05,0.002085070892410279,True,True,0.13899358361959457,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,1,raw,tls,raw_tls,True,1.9997743200322913,4.165808533731241,444.4150218748911,0.9995222017991313,27.803175808307593,0.00011283998385436256,True,True,13.436273000203073,,,,,65.7472980039896
2715763,5,quiet_low_scatter,1,arima,bls,arima_bls,True,1.0,1.5,444.35583876174786,0.0001325818021034137,0.0021517271898145863,0.5,False,True,0.043459624983370304,,,,,
2715763,5,quiet_low_scatter,1,arima,trapezoid,arima_trapezoid,True,1.0,1.5,444.34802626174786,0.0001847354533568708,5.451777063758919e-06,0.5,False,True,0.12367041734978557,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,1,arima,tls,arima_tls,True,1.9997862670322457,1.205909402953705,444.353736958854,0.9996824024837409,29.165981361853415,0.00010686648387714381,True,True,7.03197304205969,,,,,18.836685982823024
2715763,5,quiet_low_scatter,1,kalman,bls,kalman_bls,True,2.0041701417848206,5.1000000000000005,444.2979044620894,0.00028557291362942043,0.005885190344002362,0.002085070892410279,True,True,0.03645316697657108,,,,,
2715763,5,quiet_low_scatter,1,kalman,trapezoid,kalman_trapezoid,True,2.0041701417848206,7.571428571428571,444.2979044620894,0.0003182973062150736,3.9528050483319814e-05,0.002085070892410279,True,True,0.14030533423647285,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,1,kalman,tls,kalman_tls,True,1.9997743200322913,4.165808533731241,444.4132411319526,0.9995312944094435,27.818123752340437,0.00011283998385436256,True,True,12.92374883312732,,,,,63.88441418225109
2715763,5,quiet_low_scatter,1,gp,bls,gp_bls,True,1.0,3.9000000000000004,444.41040446208933,0.00022175069428269004,0.005476201642335593,0.5,False,True,0.0361202503554523,,,,,
2715763,5,quiet_low_scatter,1,gp,trapezoid,gp_trapezoid,True,1.0,5.142857142857143,444.41040446208933,0.0002545653632603732,3.241827477833965e-05,0.5,False,True,0.13709058286622167,,bls_top_peaks,0.3,1.0,
2715763,5,quiet_low_scatter,1,gp,tls,gp_tls,True,1.9997743200322913,3.787098667028401,444.41660267980996,0.9995489721681889,26.258574480865757,0.00011283998385436256,True,True,12.359273917041719,,,,,52.71591253346482
