injected_duration_hours,injection_count,bls_recovery_rate,tcf_recovery_rate,union_recovery_rate,bls_exact_recovery_rate,tcf_exact_recovery_rate,exact_union_recovery_rate,tcf_exact_period_present_top10_rate,tcf_exact_period_below_rank1_rate,tcf_exact_period_absent_top10_rate,tcf_top10_candidate_only_vs_bls_exact_rate,tcf_median_exact_period_rank_top10
2.0,27,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.5555555555555556,1.0
4.0,27,0.8148148148148148,0.8518518518518519,0.8888888888888888,0.48148148148148145,0.6666666666666666,0.7037037037037037,1.0,0.3333333333333333,0.0,0.5185185185185185,1.0
8.0,27,1.0,0.7407407407407407,1.0,1.0,0.6296296296296297,1.0,1.0,0.37037037037037035,0.0,0.0,1.0
