case_index,injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,gp_converged,gp_log_marginal_likelihood,gp_training_point_count,gp_signal_variance,gp_length_scale_days,gp_measurement_noise_variance,observed_depth_before_gp,gp_residual_depth,depth_retention_fraction,local_snr_before_gp,local_snr_after_gp,snr_retention_fraction,gp_bls_recovered_period_days,gp_bls_recovered_power,gp_bls_period_error_fraction,gp_bls_exact_period_error_fraction,gp_bls_period_matched,gp_bls_exact_period_matched,gp_bls_exact_period_rank_top5,gp_bls_fap_1_percent_threshold,gp_bls_passes_fap_1_percent,gp_bls_recovered_at_fap_1_percent,gp_bls_exact_recovered_at_fap_1_percent,gp_tcf_recovered_period_days,gp_tcf_recovered_score,gp_tcf_recovered_raw_pooled_score,gp_tcf_valid_transit_events,gp_tcf_positive_event_fraction,gp_tcf_period_error_fraction,gp_tcf_exact_period_error_fraction,gp_tcf_period_matched,gp_tcf_exact_period_matched,gp_tcf_exact_period_rank_top10,gp_tcf_half_period_rank_top10,gp_tcf_double_period_rank_top10,gp_tcf_top_periods_json,gp_tcf_top_scores_json,gp_tcf_fap_1_percent_threshold,gp_tcf_passes_fap_1_percent,gp_tcf_recovered_at_fap_1_percent,gp_tcf_exact_recovered_at_fap_1_percent
10,2.0,444.4112269027813,0.45,4.0,0.0002,True,3804.5488803594735,512,9.859006965605152e-09,1.9816095074208624,4.010448461582773e-09,0.0001958079000802469,0.0001956781033758907,0.9993371222289653,30.585477700898355,58.08377051143815,1.8990637020435395,3.998998998998999,0.0024382144994518364,0.00025025025025027237,0.9994994994994995,True,False,3.0,0.0016834009930453,True,True,False,1.9996999699969997,15.635566616455963,14.379544325255367,46,0.9565217391304348,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,4.0,"[1.9996999699969997, 1.0, 2.5135513551355135, 3.999099909990999, 3.350835083508351, 5.999899989999, 5.022602260226022, 10.036503650365036, 5.865486548654865, 6.698569856985698]","[15.635566616455963, 13.507483151952794, 13.186536951644548, 11.569292175463985, 11.24637934425609, 10.929862858453754, 10.446232443960337, 10.236551810881632, 10.200193178729979, 10.146143027731407]",15.774956819743023,False,False,False
11,2.0,445.01122690278135,0.75,4.0,0.0002,True,3722.464150911942,512,1.0011263685239558e-08,2.0715930349170644,3.868997631865544e-09,0.00020181279996525064,0.00020085849936743656,0.9952713574263952,31.740921469347573,60.662648469970996,1.9111810767230981,3.998998998998999,0.0028082944962960483,0.00025025025025027237,0.9994994994994995,True,False,3.0,0.0016834009930453,True,True,False,1.9982998299829982,16.836824972124962,16.558208957910047,46,0.9782608695652174,0.0008500850085009226,0.0008500850085009226,True,True,1.0,2,4.0,"[1.9982998299829982, 1.0, 2.5135513551355135, 3.994899489948995, 12.986598659865987, 3.350835083508351, 6.005500550055006, 5.864086408640864, 7.983898389838984, 10.002900290029002]","[16.836824972124962, 13.433076092192893, 12.850810788596783, 12.313797744547625, 11.074607056108052, 10.900047656134205, 10.866480138486672, 10.414326622537782, 10.409796824412934, 10.188149914424903]",15.774956819743023,True,True,True
12,2.0,443.81122690278136,0.15,4.0,0.0005,False,2933.2578917531346,512,1.2450748180044252e-07,1.0,4.41003788507297e-09,0.0004987537000238902,0.0004211312150225561,0.8443670994368243,77.5965139226241,97.57116453760156,1.2574168555419296,1.0,0.006056944380290925,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.9996999699969997,26.106383940863573,25.747057374369266,44,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,3.0,"[1.9996999699969997, 1.0, 4.000500050005, 2.9993999399939995, 6.001300130013001, 8.013301330133013, 5.008600860086008, 10.002900290029002, 11.998099809980998, 6.996799679967997]","[26.106383940863573, 22.095722438384293, 20.100117285839833, 17.502761405637777, 16.631338837322822, 14.710396394611859, 14.580847317425073, 13.748357704466068, 13.395498205286312, 13.095244193263499]",15.774956819743023,True,True,True
13,2.0,444.4112269027813,0.45,4.0,0.0005,True,3003.923644983516,512,1.0567744787168235e-08,1.7790675901279431,4.566044352244534e-09,0.0004958079000802469,0.0004979468203720264,1.0043140101064008,77.44591237441819,144.26354039885356,1.8627650701744005,3.998998998998999,0.006092201777238257,0.00025025025025027237,0.9994994994994995,True,False,3.0,0.0016834009930453,True,True,False,1.9996999699969997,34.086910880339985,32.895101846171634,46,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,3.0,"[1.9996999699969997, 1.0, 3.999099909990999, 3.0036003600360037, 5.999899989999, 8.002100210021002, 10.036503650365036, 5.008600860086008, 8.998999899989998, 6.999599959995999]","[34.086910880339985, 30.272192138370972, 24.67835945888543, 23.988841127704024, 21.28351140881059, 18.601014669969437, 18.357869031292978, 18.220743134548616, 17.270687906921513, 17.046350243218335]",15.774956819743023,True,True,True
14,2.0,445.01122690278135,0.75,4.0,0.0005,False,2898.0558166827705,512,1.1703269435794454e-07,1.0,4.460066275485431e-09,0.0005018127999652506,0.0004266331180737404,0.850183809785808,78.92463054252764,102.35145699892985,1.2968252913617242,1.0,0.006395555205997684,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.9982998299829982,28.207156225746658,28.15485393280198,46,1.0,0.0008500850085009226,0.0008500850085009226,True,True,1.0,2,3.0,"[1.9982998299829982, 1.0, 3.994899489948995, 2.997999799979998, 5.991499149914992, 4.997399739973997, 7.983898389838984, 9.987498749874987, 8.997599759975998, 12.98939893989399]","[28.207156225746658, 26.029635748929064, 20.451135463015962, 19.092483253659772, 17.461642094232168, 16.061938719160487, 15.26381819783359, 15.13766049359467, 14.723337353000591, 14.25509260614854]",15.774956819743023,True,True,True
15,2.0,443.81122690278136,0.15,4.0,0.001,False,139.35806039762224,512,7.988807369422969e-07,1.0,4.41003788507297e-09,0.0009987537000238902,0.0007950739417476446,0.796066078882738,155.3869282282295,101.26258321018355,0.6516801919235504,1.0,0.012168054582453517,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.0,32.638135552731,20.184383350204747,89,0.7191011235955056,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 1.9996999699969997, 4.000500050005, 2.9993999399939995, 6.001300130013001, 5.001600160016001, 8.000700070007, 6.996799679967997, 10.002900290029002, 9.013001300130012]","[32.638135552731, 29.159980390331206, 21.750121971699787, 21.228892772636577, 17.88603957315159, 17.147759086731746, 15.803562033377876, 15.127924946293668, 14.221053546345523, 14.159697924140247]",15.774956819743023,True,True,False
16,2.0,444.4112269027813,0.45,4.0,0.001,False,532.5914341352284,512,7.617746923486175e-07,1.0,4.566044352244534e-09,0.000995807900080247,0.0008049014616804536,0.8082898936788822,155.54663683028457,106.36659661818666,0.6838244708192709,1.0,0.012079923793331789,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.0,32.469792289053096,21.019792732178352,91,0.7692307692307693,0.0,0.5,True,False,2.0,1,4.0,"[1.0, 2.0025002500250024, 2.997999799979998, 3.999099909990999, 6.0027002700270025, 5.0002000200020005, 7.997899789978998, 7.001000100010001, 8.998999899989998, 9.998699869986998]","[32.469792289053096, 29.943642430331156, 22.423617023461492, 21.638758106268277, 18.047004650005434, 17.127947312120458, 15.871764092684712, 15.478198354215627, 15.270699098979637, 14.648105205274991]",15.774956819743023,True,True,False
17,2.0,445.01122690278135,0.75,4.0,0.001,False,137.54255372989132,512,7.347201289147022e-07,1.0,4.460066275485431e-09,0.0010018127999652507,0.0008044841630125569,0.8030284330969434,157.56414566449442,106.47504255977015,0.6757567980376089,1.0,0.012561137790334138,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.0,33.27939040285166,21.634593080380277,92,0.7934782608695652,0.0,0.5,True,False,2.0,1,4.0,"[1.0, 1.9982998299829982, 3.0008000800080006, 3.996299629962996, 5.991499149914992, 5.0002000200020005, 7.999299929992999, 6.993999399939994, 8.997599759975998, 10.002900290029002]","[33.27939040285166, 30.836045020442363, 22.369977023647515, 22.228602931486314, 18.551640799331356, 18.508550028560546, 16.303502148578, 15.7177632648529, 15.616944730645313, 14.919994824007846]",15.774956819743023,True,True,False
18,2.0,443.81122690278136,0.15,8.0,0.0002,True,3665.1568471275923,512,1.0448331634796908e-08,2.097919795530979,4.346537596429321e-09,0.00020311574994027454,0.00019237509461828426,0.9471205195798528,44.84411369646104,82.13372523933461,1.8315386004789378,1.994994994994995,0.003843595073060929,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,1.996899689968997,12.708329884743648,11.408736319925971,45,0.9111111111111111,0.0015501550155014865,0.0015501550155014865,True,True,1.0,2,5.0,"[1.996899689968997, 1.0, 2.5135513551355135, 3.3480348034803478, 3.999099909990999, 10.042104210421043, 4.185318531853185, 5.998499849984999, 5.024002400240024, 5.864086408640864]","[12.708329884743648, 11.564748277861998, 10.762424193095077, 10.66554900422726, 10.663318607826106, 10.374362945932766, 9.472759257530123, 9.454634253215419, 9.101144191014706, 8.766588930360248]",15.774956819743023,False,False,False
19,2.0,444.4112269027813,0.45,8.0,0.0002,False,3728.973839940595,512,3.109314495473486e-08,1.0,4.251843204901032e-09,0.0001994335000108592,0.00016509825863099504,0.8278361389736699,43.7919397183175,67.78311202316166,1.547844476841226,1.994994994994995,0.003073971988757981,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,1.9996999699969997,12.056674904311892,11.517890174789548,46,0.9565217391304348,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,5.0,"[1.9996999699969997, 1.0, 2.5135513551355135, 3.350835083508351, 3.9976997699769976, 10.06030603060306, 7.96009600960096, 5.025402540254025, 4.1909190919091905, 6.009700970097009]","[12.056674904311892, 11.21974460127693, 10.95362228251362, 9.925690838265458, 9.679206163746032, 9.25254046790693, 9.240858662061328, 9.215204483160894, 8.868569302160262, 8.578628584361917]",15.774956819743023,False,False,False
20,2.0,445.01122690278135,0.75,8.0,0.0002,True,3588.6027044578223,512,1.0266842132179157e-08,2.1282316390394223,4.125437574147542e-09,0.00020271919994787596,0.00020158977668349723,0.9944286319960363,45.183349960044204,86.25962801419384,1.9091020938127325,1.994994994994995,0.004131180936480767,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,2.0039003900390036,14.162584197692011,12.851240738996964,46,0.9565217391304348,0.001950195019501777,0.001950195019501777,True,True,1.0,2,4.0,"[2.0039003900390036, 1.0, 2.5135513551355135, 4.003300330033003, 4.188118811881187, 5.983098309830983, 3.350835083508351, 5.024002400240024, 10.044904490449044, 12.986598659865987]","[14.162584197692011, 11.498977328935279, 10.724231648603164, 10.408585268670622, 9.783175656998, 9.773435110166915, 9.747531489199542, 9.722833625147869, 9.378696531329126, 9.363170687014312]",15.774956819743023,False,False,False
21,2.0,443.81122690278136,0.15,8.0,0.0005,True,2623.5938021662496,512,1.3836828372724424e-08,2.143783114865713,6.103858664474391e-09,0.0005031157499402745,0.0004941021256656132,0.9820843925563225,111.07843630755441,198.66103453254397,1.7884752534910602,1.994994994994995,0.009636815719765468,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,1.9996999699969997,27.364159864188434,26.461570710117044,46,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,3.0,"[1.9996999699969997, 1.0, 3.999099909990999, 2.9895989598959893, 6.0027002700270025, 5.012801280128013, 10.043504350435043, 7.9726972697269725, 7.003800380038004, 14.028302830283028]","[27.364159864188434, 25.353692871390425, 21.24795548633228, 19.74415813056979, 17.973876257488392, 15.7445205966879, 15.738342822084764, 15.677207625724158, 14.969690125595351, 14.259259078900053]",15.774956819743023,True,True,True
22,2.0,444.4112269027813,0.45,8.0,0.0005,True,2755.889066226109,512,1.3527787180919056e-08,2.063917679064225,6.3528493709556686e-09,0.0004994335000108592,0.0004943026640142172,0.9897266883448338,109.66643881089675,195.79242088274742,1.7853449332877669,1.994994994994995,0.009672220778867341,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,1.0,28.156832550963255,18.948079547957587,91,0.7582417582417582,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 1.9996999699969997, 3.999099909990999, 3.0008000800080006, 6.009700970097009, 4.987598759875988, 7.96009600960096, 10.054705470547054, 11.99109910991099, 7.012201220122012]","[28.156832550963255, 27.469647903510364, 20.034100405498677, 19.229712239705695, 17.37184001825676, 15.975469724265364, 15.804632286317615, 15.160197617478605, 14.194517977671188, 14.006283465176459]",15.774956819743023,True,True,False
23,2.0,445.01122690278135,0.75,8.0,0.0005,True,2432.277025106693,512,1.3990840779072201e-08,2.5871712872650785,5.946421605438098e-09,0.000502719199947876,0.0004990970880649599,0.9927949601222879,112.04926592408995,207.69358896522482,1.8535916969409783,1.994994994994995,0.010085187280182246,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,2.0039003900390036,30.214662519608623,28.970007591057698,46,1.0,0.001950195019501777,0.001950195019501777,True,True,1.0,2,3.0,"[2.0039003900390036, 1.0014001400140013, 4.003300330033003, 2.997999799979998, 5.983098309830983, 5.001600160016001, 7.967096709670967, 9.004600460046005, 10.057505750575057, 11.995299529952995]","[30.214662519608623, 28.66461751048511, 21.996976287251876, 21.80263786741766, 19.230254954581444, 17.63782072740384, 17.380445280765745, 16.43520207419038, 16.40278113187088, 15.699305987428556]",15.774956819743023,True,True,True
24,2.0,443.81122690278136,0.15,8.0,0.001,False,282.1949895069977,512,3.1773465075430988e-06,1.0,6.103858664474391e-09,0.0010031157499402745,0.0005934138846125083,0.591570698244784,221.46897399271,68.48897565133043,0.30924862483710636,1.0,0.014945518258635644,0.0,0.5,True,False,2.0,0.0016834009930453,True,True,False,1.0,17.82176417258372,12.891836445291688,90,0.9333333333333333,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 1.9996999699969997, 3.9976997699769976, 2.9993999399939995, 5.999899989999, 4.994599459945995, 7.993699369936993, 6.998199819981998, 1.3346334633463346, 10.005700570057005]","[17.82176417258372, 16.71736692066535, 12.435912805144591, 11.892108904817205, 10.1547096610938, 9.985509665273888, 9.032018067319031, 8.810462437372703, 8.684660522086837, 8.252832448467911]",15.774956819743023,True,True,False
25,2.0,444.4112269027813,0.45,8.0,0.001,False,576.8166084489501,512,2.9988675109807175e-06,1.0,6.3528493709556686e-09,0.0009994335000108592,0.0005822701508374903,0.5826001938409746,219.4572706318622,68.90638741080392,0.31398543877087504,1.0,0.01488257649370353,0.0,0.5,True,False,2.0,0.0016834009930453,True,True,False,1.0,20.04394969983502,12.717217223208484,91,0.8351648351648352,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 1.9996999699969997, 4.000500050005, 2.9965996599659963, 5.999899989999, 5.0002000200020005, 7.993699369936993, 6.999599959995999, 1.3346334633463346, 8.998999899989998]","[20.04394969983502, 17.570489349506516, 12.67310540972581, 12.384428491358694, 10.713523355641248, 9.52083241053724, 9.35442191322919, 8.860304696231408, 8.724103869800885, 8.596488831760063]",15.774956819743023,True,True,False
26,2.0,445.01122690278135,0.75,8.0,0.001,True,-2222.0387113724537,512,2.9099191385081585e-08,3.162972648321324,5.946421605438098e-09,0.001002719199947876,0.0009978044674424915,0.9950985953937653,223.49245919749956,393.0765496353354,1.7587911066295752,1.994994994994995,0.020009423938765373,0.0025025025025025016,0.0025025025025025016,True,True,1.0,0.0016834009930453,True,True,True,1.0014001400140013,62.89777626721969,37.68404706154957,91,0.7582417582417582,0.0014001400140013498,0.4992999299929993,True,False,2.0,1,4.0,"[1.0014001400140013, 2.0039003900390036, 2.9993999399939995, 4.003300330033003, 5.983098309830983, 4.995999599959996, 7.967096709670967, 9.004600460046005, 7.013601360136014, 10.044904490449044]","[62.89777626721969, 53.805214986055084, 41.45513092074214, 39.01916765774437, 33.08677622332037, 32.26198572027357, 29.379297327034617, 27.917369192873895, 27.217177475499618, 26.67627020735612]",15.774956819743023,True,True,False
27,5.0,444.26122690278135,0.15,2.0,0.0002,True,3880.665223934111,512,9.633763593078058e-09,1.7354762598765512,3.2992910918596416e-09,0.00020215269995873514,0.00020216940767159685,1.0000826489721142,13.759014721508287,26.815667643982994,1.9489526093801153,2.5135135135135136,0.0017789964178975518,0.005405405405405439,0.49729729729729727,True,False,3.0,0.0016834009930453,True,True,False,1.6748674867486748,15.469145392866857,15.146302136345653,54,1.0,0.33005300530053006,0.665026502650265,False,False,3.0,2,7.0,"[1.6748674867486748, 2.5135513551355135, 4.997399739973997, 3.3494349434943493, 4.186718671867187, 5.862686268626862, 9.991699169916991, 6.7013701370137015, 7.533053305330533, 8.38013801380138]","[15.469145392866857, 13.994146287915495, 12.384973251420998, 11.992068041542352, 11.354958641460597, 10.819306535978024, 10.71331272466906, 9.883973345907865, 9.713721055220843, 9.325633244997288]",15.774956819743023,False,False,False
28,5.0,445.76122690278135,0.45,2.0,0.0002,True,3872.962939946954,512,9.536446955118909e-09,1.8327565907890877,3.5532981723180347e-09,0.00018300500032544226,0.0001996552558875647,1.0909825170487848,12.506683900160526,26.311405987207824,2.10378755849663,2.5135135135135136,0.0018431456539813051,0.005405405405405439,0.49729729729729727,True,False,3.0,0.0016834009930453,True,True,False,1.6748674867486748,15.474318225825424,15.12665800545578,54,1.0,0.33005300530053006,0.665026502650265,False,False,4.0,2,10.0,"[1.6748674867486748, 2.5135513551355135, 3.3494349434943493, 5.003000300030003, 4.186718671867187, 5.862686268626862, 7.533053305330533, 6.7013701370137015, 2.9307930793079304, 10.044904490449044]","[15.474318225825424, 13.872443595204208, 12.078209015791563, 11.980925568046626, 11.331488416973714, 10.196880775471952, 10.19024797653179, 9.987933086029315, 9.93072525043282, 9.650733949695695]",15.774956819743023,False,False,False
