injected_depth,injection_count,gp_convergence_rate,gp_bls_period_match_rate,gp_bls_exact_period_match_rate,gp_bls_detection_rate_fap_1_percent,gp_bls_recovery_rate_fap_1_percent,gp_bls_exact_recovery_rate_fap_1_percent,gp_tcf_period_match_rate,gp_tcf_exact_period_match_rate,gp_tcf_detection_rate_fap_1_percent,gp_tcf_recovery_rate_fap_1_percent,gp_tcf_exact_recovery_rate_fap_1_percent,median_depth_retention_fraction,median_snr_retention_fraction,median_gp_length_scale_days
0.0002,27,0.6666666666666666,0.7407407407407407,0.48148148148148145,0.9259259259259259,0.7037037037037037,0.48148148148148145,0.37037037037037035,0.37037037037037035,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.8938774565757804,1.7159662522361554,1.7505666327677647
0.0005,27,0.14814814814814814,1.0,0.7777777777777778,1.0,1.0,0.7777777777777778,1.0,0.6296296296296297,1.0,1.0,0.6296296296296297,0.8767806417821367,1.538086752363033,1.0
0.001,27,0.037037037037037035,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,0.07407407407407407,1.0,1.0,0.07407407407407407,0.8127474294434219,1.1387302083952444,1.0
