target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,zero_injection_control,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,event_consistency_score,consistency_weight,valid_event_count,expected_event_count_event_check,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_consistent_flag,raw_rank_of_selected_candidate,ranking_changed,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,raw_top1_mes,raw_top1_max_ses,raw_top1_period_exact_fractional_error,raw_top1_exact_period_recovered,raw_top1_harmonic_period_recovered,raw_fap_threshold,hardened_fap_threshold,raw_empirical_p_value,hardened_empirical_p_value,raw_passes_fap,hardened_passes_fap,raw_fap_harmonic_recovered,hardened_fap_harmonic_recovered
12645975,5,gap_heavy,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.81103698692897,2.0,0.0002,0.15,True,,13.323070168728009,455.93500430809945,9.80839521624148,23.763618341770893,,3,7,0.4285714285714285,666,20,5.661535084364004,False,False,0.4178491672500968,db6,43,686,7,0.0132896961208007,0.0001999774358178,225,18.964187577321113,0.7980345124457119,7,7,1.0,0.8571428571428571,0.3970936419097447,0.7033907511052978,1.9485977136452417,1.2136281027536688,0.6228212700113124,0.6727238587327306,0.0001168241570226,1.1475927364863394,True,6,True,13.609148362535052,455.3015103537691,9.80839521624148,25.363013050705263,20.667918176130193,5.804574181267526,False,False,64.59926405062633,53.335255280827056,0.9306930693069307,0.9702970297029703,False,False,False,False
12645975,5,gap_heavy,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41103698692893,4.0,0.0005,0.45,True,,2.002547356649302,444.3488374589142,3.923358086496592,47.15037600934835,,27,47,0.574468085106383,98,8,0.0012736783246509,True,True,0.4016502499580383,db6,43,686,7,0.0209786415672256,0.0004999900603063,424,45.35819141419962,0.9619900253861516,46,47,0.9787234042553192,0.9347826086956522,0.0530103997720412,0.968033813566358,12.22014673942252,11.687588507768805,0.95641965329797,0.96698814709353,0.0004875758202461,0.5417582188718432,True,1,False,2.002547356649302,444.34880236229947,3.923358086496592,47.15037600934835,22.442570420001843,0.0012736783246509,True,True,64.59926405062633,53.335255280827056,0.0891089108910891,0.039603960396039604,False,False,False,False
12645975,5,gap_heavy,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26103698692896,2.0,0.0005,0.75,True,,5.9259054431458935,444.02189095170615,7.846716172993183,28.099781203914464,,11,16,0.6875,290,16,0.1851810886291787,False,False,0.4381956253200769,db6,43,686,7,0.0210136524520293,0.0004999857716809,98,22.861370935218833,0.813578254197727,16,16,1.0,0.6875,0.2123432387665209,0.8401672119823776,2.322986491831331,1.706047894477865,0.7344200667877747,0.7585057834105574,0.0001132295537921,2.0863889549694767,True,1,False,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,0.1851810886291787,False,False,64.59926405062633,53.335255280827056,0.8217821782178217,0.7722772277227723,False,False,False,False
12645975,5,gap_heavy,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.76103698692896,8.0,0.0002,0.45,True,,9.317975455429403,446.535292225868,9.80839521624148,27.0242255179338,,4,9,0.4444444444444444,530,20,0.8635950910858806,False,False,0.4269887912087142,db6,43,686,7,0.0132623428976322,0.0001999999873457,305,23.911303626181677,0.884809949884176,10,10,1.0,0.9,0.2358533197397356,0.8490518669558492,2.894568047886078,2.20256269205138,0.760929663982136,0.8020902924567134,0.0001732888534084,0.8196353203368235,True,7,True,10.830103051266631,445.2274711004211,9.80839521624148,29.343813624841314,25.926078043379892,1.1660206102533266,False,False,64.59926405062633,53.335255280827056,0.7029702970297029,0.6831683168316832,False,False,False,False
12645975,5,gap_heavy,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.01103698692896,4.0,0.0002,0.15,True,,9.992302626546008,445.1049012568328,9.80839521624148,24.19118317472097,,3,7,0.4285714285714285,666,20,0.0007697373453991,True,True,0.417855457868427,db6,43,686,7,0.0132676443400281,0.000199996334662,85,20.150632176484777,0.83297422994761,10,10,1.0,0.7,0.2446093403473782,0.8393229551695797,1.9624881912386123,1.5255534504225607,0.7773567541620299,0.8194059658891967,9.17605120861753e-05,1.510837532762056,True,4,True,13.609148362535052,455.2810761970686,9.80839521624148,26.46813759992034,21.275429957940517,0.3609148362535052,False,False,64.59926405062633,53.335255280827056,0.8712871287128713,0.9504950495049505,False,False,False,False
12645975,5,gap_heavy,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.01103698692896,8.0,0.0005,0.75,True,,10.01273678324651,450.9695042298772,5.885037129744887,42.72243640895231,,11,19,0.5789473684210527,245,12,0.0012736783246509,True,True,0.4249611659906804,db6,43,686,7,0.0209698318997982,0.000499998527042,153,41.40583608195436,0.9691824615432733,9,9,1.0,1.0,0.1650536499883749,0.9393146437630784,8.026325977974633,7.108068849305891,0.8855943390302651,0.9393146437630784,0.0005737812138303,0.2607261668920848,True,2,True,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,0.4993631608376745,False,True,64.59926405062633,53.335255280827056,0.1485148514851485,0.0594059405940594,False,False,False,False
1431344,5,gap_heavy,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.8104384814404,2.0,0.0002,0.15,True,,12.587683917488905,447.781259826188,9.808584870770574,83.78306720523038,,3,8,0.375,600,20,5.293841958744452,False,False,0.398312124889344,db6,44,686,7,0.0132896972821566,0.0001999998500695,229,67.49404511376794,0.8055809767436449,8,8,1.0,0.75,0.2967041015993224,0.8037667410293459,1.8119683662114312,1.1841320916582485,0.6535059406881925,0.6986272372218939,7.415822001774486e-05,0.8771096138567576,True,9,True,12.260731088463215,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,5.1303655442316085,False,False,122.31882622854027,98.72975089439429,0.15841584158415842,0.24752475247524752,False,False,False,False
1431344,5,gap_heavy,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41043848144034,4.0,0.0005,0.45,True,,12.178992881206796,450.1107987329961,9.808584870770574,92.19439945381365,,3,8,0.375,591,20,5.089496440603398,False,False,0.400838500354439,db6,44,686,7,0.0209786420211848,0.0004999999974948,418,84.05994749873496,0.911768480479622,8,8,1.0,0.875,0.2031265695066287,0.9107124919924244,3.0344649960433476,2.4616999152686514,0.8112467662268218,0.8672592729568744,0.0001294439143718,0.500562433067101,True,3,True,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,5.038410061068134,False,False,122.31882622854027,98.72975089439429,0.15841584158415842,0.1188118811881188,False,False,False,False
1431344,5,gap_heavy,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.2604384814403,2.0,0.0005,0.75,True,,12.035951018508058,451.0303535646308,9.808584870770574,91.01953081618926,,3,8,0.375,600,20,1.4071902037016115,False,False,0.4009152920916676,db6,44,686,7,0.0210136543129686,0.0004999894170547,96,75.02580884875083,0.8242825267937582,8,8,1.0,0.75,0.262033966766082,0.8433897522673348,1.0496326603390684,0.7165659279764423,0.6826825755831246,0.7298183719292737,4.789751519956864e-05,0.9077619097593086,True,4,True,12.260731088463215,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,1.4521462176926434,False,False,122.31882622854027,98.72975089439429,0.15841584158415842,0.18811881188118812,False,False,False,False
1431344,5,gap_heavy,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.7604384814403,8.0,0.0002,0.45,True,,12.097254673950374,450.682966183791,9.808584870770574,93.7688920129635,,3,8,0.375,600,20,1.4194509347900748,False,False,0.4763016668148339,db6,44,686,7,0.0132623429668458,0.0001999999213361,305,75.97128038580513,0.8101970574132639,8,8,1.0,0.75,0.2609114323524445,0.8446726487400634,1.909276624277523,1.2147469940447233,0.6362341520335681,0.6801629184783586,9.926295122678064e-05,0.917631764807194,True,2,True,12.260731088463215,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,1.4521462176926434,False,False,122.31882622854027,98.72975089439429,0.13861386138613863,0.16831683168316833,False,False,False,False
1431344,5,gap_heavy,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.0104384814403,4.0,0.0002,0.15,True,,12.260731088463215,449.6408040412716,9.808584870770574,94.28949966677489,,3,8,0.375,600,20,0.2260731088463215,False,False,0.4154570000246167,db6,44,686,7,0.0132676446161727,0.0001999980667507,85,72.97042970373737,0.7738977294568274,8,8,1.0,0.625,0.2799669609393795,0.8228949017835662,2.554874157758958,1.6667998047731178,0.6523999625230753,0.697444896830145,0.0001093651553769,0.9143608455890396,False,1,False,12.260731088463215,449.64086386159033,9.808584870770574,94.28949966677489,85.67167824616584,0.2260731088463217,False,False,122.31882622854027,98.72975089439429,0.1485148514851485,0.22772277227722773,False,False,False,False
1431344,5,gap_heavy,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.0104384814403,8.0,0.0005,0.75,True,,12.076820122136269,450.7647043910474,9.808584870770574,94.55205556213618,,3,8,0.375,600,20,0.2076820122136268,False,False,0.4070222079753876,db6,44,686,7,0.0209698320098783,0.0004999991196493,154,73.39078086828286,0.7761944511090306,8,8,1.0,0.75,0.3377264589625718,0.756884046899918,2.338159818411542,1.3985234060706664,0.5981299460619293,0.6394278088380905,8.157152903340292e-05,0.509272643253878,True,2,True,12.260731088463215,449.64086386159033,9.808584870770574,96.01422400913984,85.67167824616584,0.2260731088463217,False,False,122.31882622854027,98.72975089439429,0.13861386138613863,0.22772277227722773,False,False,False,False
10677499,5,high_scatter,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.8105127709467,2.0,0.0002,0.15,True,,14.304007886676118,446.9434748041458,9.808462550863624,55.31323527475918,,3,7,0.4285714285714285,700,20,6.152003943338059,False,False,0.4042254998348653,db6,43,686,7,0.0132896965331359,0.0001999850650827,225,47.42469790105584,0.8573842709702594,5,7,0.7142857142857143,1.0,0.3041669882207839,0.86979126472402,11.018280522122684,8.571836139916304,0.7779649576633696,0.8697912647240202,0.0025788648018974,0.2631845855897809,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.31323527475918,56.70784043172604,6.152003943338059,False,False,284.30079421952524,228.61829440044926,1.0,1.0,False,False,False,False
10677499,5,high_scatter,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41051277094664,4.0,0.0005,0.45,True,,14.304007886676118,446.9434748041458,9.808462550863624,55.39837918622895,,3,7,0.4285714285714285,700,20,6.152003943338059,False,False,0.4044814170338213,db6,43,686,7,0.0209786417283954,0.0004999951337439,418,46.92570505536855,0.847059169323738,5,7,0.7142857142857143,1.0,0.3208252980366034,0.8489683774542457,10.964422962131536,8.32572932983095,0.7593404010941573,0.8489683774542458,0.0026373177142383,0.3650527003969834,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.39837918622895,56.70784043172604,6.152003943338059,False,False,284.30079421952524,228.61829440044926,1.0,1.0,False,False,False,False
10677499,5,high_scatter,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26051277094666,2.0,0.0005,0.75,True,,14.304007886676118,446.9434748041458,9.808462550863624,54.79135175006804,,3,7,0.4285714285714285,693,20,1.8608015773352236,False,False,0.4046194581314921,db6,43,686,7,0.0210136531127274,0.000499995382505,97,46.882513134703494,0.8556553477373421,5,7,0.7142857142857143,1.0,0.3069704660277011,0.8662869174653737,10.81436386710892,8.379299764635697,0.7748305741885301,0.8662869174653737,0.0026373177142383,0.2902114325793539,True,2,True,14.160967807809357,447.0864306432559,9.808462550863624,55.58760277645332,56.70784043172604,1.8321935615618712,False,False,284.30079421952524,228.61829440044926,1.0,1.0,False,False,False,False
