target_id,quarter,sample_stratum,raw_top1_mes,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,event_consistency_score,hardened_period_days,hardened_epoch_days,hardened_duration_hours,selected_raw_mes,consistency_weight,valid_event_count,event_observability_fraction,positive_event_fraction,single_event_fraction,leave_one_out_ratio_normalized,event_consistent_flag,ranking_changed,raw_score_threshold,hardened_score_threshold,raw_empirical_p_value,hardened_empirical_p_value,raw_passes_fap,hardened_passes_fap
2996004,5,high_scatter,26.44679592876307,9.195538860512897,444.9408148622315,9.80857478454709,20.24355690753166,10.625956016592681,449.804190472154,7.846859827637672,22.937852740080068,0.8825393177348037,9,1.0,1.0,0.30766609124638855,0.7788756473478126,True,True,1037.7554349203942,831.0611152178072,1.0,1.0,False,False
10677499,5,high_scatter,55.26710905843626,14.304007886676118,446.9433905643891,9.808462550863624,47.37989080806907,14.304007886676118,446.9434748041458,9.808462550863624,55.26710905843626,0.857289111286286,5,0.7142857142857143,1.0,0.30432143839482967,0.8695982020064629,True,False,284.30079421952524,228.61829440044926,1.0,1.0,False,False
12645975,5,gap_heavy,25.18224813258745,13.609148362535052,455.3015103537691,9.808395216241479,17.931720876630532,13.323070168728009,455.93500430809945,9.808395216241479,22.035870916292183,0.8137514030985153,7,1.0,0.8571428571428571,0.3827325750045651,0.7103847716893049,True,True,64.59926405062633,53.335255280827056,0.9306930693069307,0.9900990099009901,False,False
10223890,5,quiet_low_scatter,101.05541370368394,13.915774834924378,447.6993529891952,9.808475654572248,83.68831504512572,11.627130515524186,454.5245150092014,9.808475654572248,94.04304493702982,0.8898937194256362,8,1.0,1.0,0.30707802211095614,0.7919108318731929,True,True,151.75015026764157,128.52886452243305,0.04950495049504951,0.04950495049504951,False,False
1431344,5,gap_heavy,93.01639471213781,12.260731088463217,449.64086386159033,9.808584870770574,72.01930621706006,12.260731088463217,449.6408040412716,9.808584870770574,93.01639471213781,0.7742646491507393,8,1.0,0.625,0.2799669609393795,0.6987685255780958,False,False,122.31882622854027,98.72975089439429,0.15841584158415842,0.22772277227722773,False,False
11245408,5,long_memory,413.14639923413705,2.94253187533468,445.6971814974859,9.808439584448934,346.40670618370007,14.917001868016087,448.4354107925683,9.808439584448934,394.38461375256657,0.8783474154522483,7,1.0,0.8571428571428571,0.2832686748499115,0.83044127182893,True,True,1324.993445080567,1098.4134340818355,0.6633663366336634,0.6237623762376238,False,False
10718455,5,long_memory,120.77801205594815,8.296294540559757,443.9198779977196,9.808427043026313,84.34572215152775,8.132820756509318,444.57371434867673,9.808427043026313,112.33654661157338,0.7508306485793119,12,1.0,0.5833333333333334,0.25332050787625937,0.6688494739417485,False,True,276.4582325664151,243.04627798794044,0.6336633663366337,0.7524752475247525,False,False
2715763,5,quiet_low_scatter,35.63616936971049,10.993777696276084,454.40206083362864,9.8085748963058,31.098004546205413,7.662949137738906,443.89866058334155,7.84685991704464,32.194513612960485,0.9659411202810142,13,1.0,1.0,0.13873023275408536,0.9330422478497408,True,True,115.51356235887292,93.76531595817453,0.900990099009901,0.8217821782178217,False,False
11450313,5,smooth_background_dominant,57.6745290254424,10.033198544617335,447.0052440154577,9.808422202477232,43.393785101933354,10.1558038221483,446.35135117258324,9.808422202477232,50.183540506031854,0.8647015468491627,10,1.0,0.8,0.20511902480310282,0.7912529884952264,True,True,112.0806431964083,93.07523840803768,0.45544554455445546,0.5544554455445545,False,False
11666946,5,smooth_background_dominant,97.83338049279456,13.547900345292874,443.65364289570425,9.808434639126062,83.30968245290887,13.793111211271025,456.2616421076018,9.808434639126062,96.82516608059491,0.8604135249668864,6,1.0,0.8333333333333334,0.3190883358176947,0.8048929810730368,True,True,330.38879316537,272.7191911114864,1.0,1.0,False,False
