noise_quartile,null_light_curves,threshold,observed_null_exceedance_rate,original_light_curves,original_candidate_fraction,injection_groups,exact_recovery_at_threshold
high_scatter,96,0.9902690649032593,0.010416666666666666,12,0.0,216,0.375
highest_scatter,104,0.7533990740776062,0.019230769230769232,13,0.07692307692307693,234,0.23076923076923078
low_scatter,96,0.9939388036727905,0.010416666666666666,12,0.08333333333333333,216,0.6018518518518519
lowest_scatter,104,0.9921470284461975,0.019230769230769232,13,0.0,234,0.6666666666666666
