dataset_kind,target_id,quarter,trial,selection_group,candidate_period_days,source_detector,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value,raw_candidate_rank,candidate_id,predicted_score,reranked_rank,passes_reranker_threshold
null_trial,1161345,5,0,confirmed_planet_host,14.593864621540517,bls,0,1,1,0,1,0,0,14.593864621540515,,3.0,,2.1681298873494277,,0.8443822231130472,,,,,0.0262621051891106,1.3860328190590416,0.0262621051891106,1.0,0.1930164095295209,2.0,0.1397753652074003,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,3.0,22,0.10900915,1,False
null_trial,1161345,5,1,confirmed_planet_host,9.118039346448818,bls,0,1,1,0,1,0,0,9.118039346448818,,6.0,,2.480638051159926,,0.7496554767573909,,,,,0.2627194046752405,0.1394224759364974,0.2627194046752405,1.0,0.1394224759364974,1.0,0.2941303351397989,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,6.0,42,0.33573723,1,False
null_trial,1161345,5,2,confirmed_planet_host,6.396465488496166,tcf,0,1,0,1,0,1,0,,6.396465488496166,,6.0,,6.06355829992323,,0.7192948305161099,,,,0.4864676750100388,0.0719754121262924,0.0270646499799223,0.5,0.0719754121262924,1.0,0.0418953286039353,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,6.0,72,0.19428922,1,False
null_trial,1161345,5,3,confirmed_planet_host,6.088362787595866,bls,0,1,1,0,1,0,0,6.088362787595866,,2.0,,3.2715499513679505,,0.8621430087791238,,,,,0.3534577387486279,0.2278259700087418,0.2930845225027442,0.5,0.2278259700087418,1.0,0.0531496760029743,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,2.0,78,0.48357928,1,False
null_trial,1161345,5,4,confirmed_planet_host,9.990996998999668,bls,0,1,1,0,1,0,0,9.990996998999668,,2.0,,2.59710616860105,,0.8900394126649832,,,,,0.2686064393292161,0.1617618549106276,0.2686064393292161,1.0,0.1617618549106276,1.0,0.259110991773867,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,2.0,97,0.66745067,1,False
null_trial,1161345,5,5,confirmed_planet_host,2.6385461820606873,bls,0,1,1,0,1,0,0,2.6385461820606873,,1.0,,2.767731118639165,,1.0,,,,,0.7875305426523105,0.0,0.575061085304621,0.5,0.0,1.0,0.575061085304621,0.5,,,,,,9.9,0.002231297570537,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.9201995012468828,,0.819047619047619,1.0,115,0.46760836,1,False
null_trial,1161345,5,6,confirmed_planet_host,12.157052350783596,bls,0,1,1,0,1,0,0,12.157052350783596,,2.0,,2.803441196650118,,0.7833577097861113,,,,,0.1643019231210029,0.1656063173375108,0.1643019231210029,1.0,0.1656063173375108,1.0,0.2830357347514153,1.0,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,2.0,136,0.40470144,1,False
null_trial,1161345,5,7,confirmed_planet_host,13.286762254084696,bls,0,1,1,0,1,0,0,13.286762254084696,,2.0,,3.4704951767511565,,0.9180557305691214,,,,,0.0260076751973797,1.5636620986939456,0.0260076751973797,1.0,0.145445967102018,3.0,0.2401554594118941,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,,,,2.0,156,0.15651082,1,False
null_trial,1717722,5,0,confirmed_planet_host,7.13404468156052,bls,0,1,1,0,1,0,0,7.13404468156052,,2.0,,2.7190325211667568,,0.7585989243557825,,,,,0.1182773542138883,0.2610948022793991,0.1182773542138883,1.0,0.2610948022793991,1.0,0.1932825056665979,1.0,,,,,,,,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,,,,2.0,196,0.32768783,1,False
null_trial,1717722,5,1,confirmed_planet_host,13.769923307769258,both,1,2,1,1,1,1,0,13.772257419139715,13.7675891963988,1.0,7.0,3.198747649691263,5.666327232949085,1.0,0.8660507333513526,0.0003390733609436,0.0003390733609436,1.0,1.0242144992892506,0.0001694792145849,0.0121072496446253,2.0,0.0001694792145849,1.0,0.0122788098622617,2.0,,,,,,9.9,0.0005354064959619,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,0.7256857855361596,,0.8350515463917526,1.0,215,0.33335197,1,False
null_trial,1717722,5,2,confirmed_planet_host,3.973657885961987,bls,0,1,1,0,1,0,0,3.9736578859619875,,1.0,,3.756806608637488,,1.0,,,,,0.6626468506723284,0.0,0.3252937013446568,0.5,0.0,1.0,0.3252937013446568,0.5,,,,,,9.9,0.0003220289077576,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,0.42144638403990026,,0.5360824742268041,1.0,234,0.67695886,1,False
null_trial,1717722,5,3,confirmed_planet_host,4.995998666222075,bls,0,1,1,0,1,0,0,4.995998666222075,,1.0,,3.5933894208003907,,1.0,,,,,0.5555983983390183,0.0,0.1111967966780364,0.5,0.0,1.0,0.1111967966780364,0.5,,,,,,8.700000000000001,0.0003490795670448,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,0.5062344139650873,,0.6391752577319587,1.0,253,0.8951602,1,False
null_trial,1717722,5,4,confirmed_planet_host,10.621207069023008,tcf,0,1,0,1,0,1,0,,10.621207069023008,,3.0,,5.883461940209961,,0.9038787472094404,,,,0.6938580164849772,0.0079744311888863,0.1530709917575113,2.0,0.0079744311888863,1.0,0.1597713374102632,2.0,,,,,,,,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,,,,3.0,285,0.607057,1,False
null_trial,1717722,5,5,confirmed_planet_host,12.194398132710903,bls,0,1,1,0,1,0,0,12.194398132710905,,2.0,,2.821346420313247,,0.9431261932152474,,,,,0.5810384332713674,0.7160621275397682,0.2094807833643162,2.0,0.1419689362301159,2.0,0.078682287838831,1.0,,,,,,,,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,,,,2.0,294,0.21521674,1,False
null_trial,1717722,5,6,confirmed_planet_host,3.702900966988997,bls,0,1,1,0,1,0,0,3.7029009669889965,,8.0,,2.698985803172526,,0.5199065063231794,,,,,0.6285083464356204,0.3499385353860563,0.2570166928712407,0.5,0.3001229292278873,0.5,0.1429431639514268,0.5,,,,,,,,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,,,,8.0,320,0.17045516,1,False
null_trial,1717722,5,7,confirmed_planet_host,13.902967655885297,bls,0,1,1,0,1,0,0,13.902967655885297,,4.0,,3.0708953390136227,,0.7340656155528233,,,,,0.2731686463708817,0.0101756511205331,0.2731686463708817,1.0,0.0101756511205331,1.0,0.2603438272924364,1.0,,,,,,,,high_scatter,737.9563719446062,0.0321536469572723,0.2500402288464777,615.2008523717308,1,,,,,4.0,336,0.766884,1,False
null_trial,757450,5,0,confirmed_planet_host,3.492830943647883,bls,0,1,1,0,1,0,0,3.492830943647883,,1.0,,5.348291912698771,,1.0,,,,,0.6872294049147532,0.0,0.3744588098295063,0.5,0.0,1.0,0.3744588098295063,0.5,,,,,,9.9,0.0028301460542312,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.022443890274314215,,0.01904761904761905,1.0,370,0.37022763,1,False
null_trial,757450,5,1,confirmed_planet_host,2.4798266088696233,bls,0,1,1,0,1,0,0,2.4798266088696233,,1.0,,3.0273032182383792,,1.0,,,,,0.821633289363233,0.0,0.6432665787264661,0.5,0.0,1.0,0.6432665787264661,0.5,,,,,,9.9,0.0016091085799407,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,0.8104738154613467,,0.5904761904761905,1.0,389,0.70907235,1,False
null_trial,757450,5,2,confirmed_planet_host,8.833277759253086,bls,0,1,1,0,1,0,0,8.833277759253086,,2.0,,2.632616312321004,,0.8642687503925096,,,,,0.3486834017652988,0.3676207299897352,0.3026331964694024,0.5,0.2647585400205295,0.5,0.029946155926536,1.0,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,,,,2.0,410,0.4626899,1,False
null_trial,757450,5,3,confirmed_planet_host,9.846282094031343,bls,0,1,1,0,1,0,0,9.846282094031345,,7.0,,2.337012822507727,,0.599042530787958,,,,,0.2653929397716247,0.1762198765186218,0.2653929397716247,1.0,0.1762198765186218,1.0,0.2490981914073189,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,,,,7.0,435,0.23800951,1,False
null_trial,757450,5,4,confirmed_planet_host,5.500166722240747,bls,0,1,1,0,1,0,0,5.500166722240747,,3.0,,2.499348390276285,,0.8258750661791239,,,,,0.6206912410605468,0.2604797130688187,0.2413824821210936,0.5,0.2604797130688187,1.0,0.0258238094143077,0.5,,,,,,,,highest_scatter,3652.4689853836817,0.0321536469572723,0.9529528081407052,502.2373859396175,1,,,,,3.0,451,0.39306495,1,False
