policy,n_stars,fit_completion_rate,convergence_rate,bound_hit_rate,median_length_scale_days,median_residual_scale_ppm,median_abs_residual_acf1,median_runtime_seconds,median_residual_corr_vs_r0,median_background_corr_vs_r0
fixed_kernel_3d,10,1.0,1.0,0.0,3.0000000000000004,583.1417646907018,0.551170831312025,0.05702347890473902,0.8901283904011204,0.9104040295965888
optimized_r0,10,1.0,0.5,0.5,1.0816464463569346,411.43002371144576,0.28033634387049305,0.3078971249051392,1.0,1.0
optimized_r2,10,1.0,0.5,0.5,1.0816464974446482,411.4301318789192,0.2803330726594479,0.8557471255771816,0.999999999999946,0.9999999999999958
