mode,order,p,d,q,n_total,n_observed,n_train,n_test,n_nan_gaps,converged,AIC,BIC,HQIC,test_RMSE,test_MAE,mean_negative_log_score,train_converged,mean_baseline_RMSE,mean_baseline_MAE,mean_baseline_mean_negative_log_score,median_baseline_RMSE,median_baseline_MAE,median_baseline_mean_negative_log_score,persistence_baseline_RMSE,persistence_baseline_MAE,persistence_baseline_mean_negative_log_score,best_baseline_RMSE,best_baseline_MAE,beats_best_baseline_RMSE,beats_best_baseline_MAE,residual_mean,residual_std,max_abs_residual_acf,outlier_fraction,innovation_skew,innovation_kurtosis,arch_pvalue,ljung_box_p_lag_10,ljung_box_p_lag_20,ljung_box_p_lag_40,minimum_ljung_box_p,rolling_var_median,rolling_var_iqr,rolling_var_max_to_median,coefficient_json,min_boundary_distance,boundary_coefficient_count,boundary_coefficients_json,residual_autocorrelation_remaining,variance_instability,outlier_heavy,non_converged,boundary_coefficients,runtime_seconds,warning_count,failure_reason,quality_policy,center_cadenceno,duration_cadences,depth,observed_depth_before_arima,innovation_depth_after_arima,standardized_innovation_depth_after_arima,depth_retention_fraction,local_snr_before_arima,local_snr_after_arima,standardized_snr_after_arima,snr_retention_fraction,event_center_shift_cadences,transit_preservation_failure,transit_preservation_failure_reason,model_complexity,forecast_rank,whiteness_rank,stability_rank,complexity_rank,transit_preservation_rank,adequacy_score,gap_sensitive
longest_segment,"(2, 0, 2)",2,0,2,146,146,117,29,0,True,-2350.158288461145,-2332.256648730895,-2342.884442259447,7.017392270736781e-05,5.451972399267382e-05,-8.122724382555976,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,6.804907505584996e-08,7.488196332205908e-05,0.14675153172463762,0.013888888888888888,-1.3437823744138804,4.614946080143368,5.550020018681643e-10,0.6347668312212635,0.6913378428268916,0.6417289596157333,0.6347668312212635,6.185616432780802e-09,2.175453734475726e-09,1.2071524985098967,"[{""name"": ""const"", ""estimate"": -0.00010364540965638633, ""std_error"": 1.1247447935300128e-05, ""ci_low"": -0.00012569000252756396, ""ci_high"": -8.160081678520869e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.12197471591667905, ""std_error"": 3.6517065853986196e-10, ""ci_low"": 0.1219747152009577, ""ci_high"": 0.12197471663240039, ""boundary_distance"": 0.8780252840833209, ""near_boundary"": false}, {""name"": ""ar.L2"", ""estimate"": 0.3943099165088618, ""std_error"": 8.881804494606661e-11, ""ci_low"": 0.39430991633478163, ""ci_high"": 0.394309916682942, ""boundary_distance"": 0.6056900834911382, ""near_boundary"": false}, {""name"": ""ma.L1"", ""estimate"": 0.24715239304145037, ""std_error"": 3.61814121769115e-10, ""ci_low"": 0.2471523923323077, ""ci_high"": 0.24715239375059303, ""boundary_distance"": 0.7528476069585497, ""near_boundary"": false}, {""name"": ""ma.L2"", ""estimate"": -0.4596810936131715, ""std_error"": 3.415281809231227e-11, ""ci_low"": -0.4596810936801098, ""ci_high"": -0.4596810935462332, ""boundary_distance"": 0.5403189063868286, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.268990267425343e-09, ""std_error"": 4.158176904679675e-10, ""ci_low"": 4.454002569973502e-09, ""ci_high"": 6.083977964877184e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.5403189063868286,0,[],True,True,True,False,False,0.10205770912580192,1,,default,17832,6,0.001,0.0011406052893421772,0.0011406050545112473,25.796115859735657,0.9999997941172708,43.75594178545213,43.75593202054994,48.33218825560095,0.9999997768325446,-2,False,,4,32.166666666666664,23.0,79.5,111.5,19.25,59.05416666666667,False
longest_segment,"(2, 0, 2)",2,0,2,146,146,117,29,0,True,-2350.158288461145,-2332.256648730895,-2342.884442259447,7.017392270736781e-05,5.451972399267382e-05,-8.122724382555976,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,6.804907505584996e-08,7.488196332205908e-05,0.14675153172463762,0.013888888888888888,-1.3437823744138804,4.614946080143368,5.550020018681643e-10,0.6347668312212635,0.6913378428268916,0.6417289596157333,0.6347668312212635,6.185616432780802e-09,2.175453734475726e-09,1.2071524985098967,"[{""name"": ""const"", ""estimate"": -0.00010364540965638633, ""std_error"": 1.1247447935300128e-05, ""ci_low"": -0.00012569000252756396, ""ci_high"": -8.160081678520869e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.12197471591667905, ""std_error"": 3.6517065853986196e-10, ""ci_low"": 0.1219747152009577, ""ci_high"": 0.12197471663240039, ""boundary_distance"": 0.8780252840833209, ""near_boundary"": false}, {""name"": ""ar.L2"", ""estimate"": 0.3943099165088618, ""std_error"": 8.881804494606661e-11, ""ci_low"": 0.39430991633478163, ""ci_high"": 0.394309916682942, ""boundary_distance"": 0.6056900834911382, ""near_boundary"": false}, {""name"": ""ma.L1"", ""estimate"": 0.24715239304145037, ""std_error"": 3.61814121769115e-10, ""ci_low"": 0.2471523923323077, ""ci_high"": 0.24715239375059303, ""boundary_distance"": 0.7528476069585497, ""near_boundary"": false}, {""name"": ""ma.L2"", ""estimate"": -0.4596810936131715, ""std_error"": 3.415281809231227e-11, ""ci_low"": -0.4596810936801098, ""ci_high"": -0.4596810935462332, ""boundary_distance"": 0.5403189063868286, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.268990267425343e-09, ""std_error"": 4.158176904679675e-10, ""ci_low"": 4.454002569973502e-09, ""ci_high"": 6.083977964877184e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.5403189063868286,0,[],True,True,True,False,False,0.10145954205654562,1,,permissive,17832,6,0.001,0.0011406052893421772,0.0011406050545112473,25.796115859735657,0.9999997941172708,43.75594178545213,43.75593202054994,48.33218825560095,0.9999997768325446,-2,False,,4,32.166666666666664,23.0,79.5,111.5,19.25,59.05416666666667,False
longest_segment,"(1, 0, 0)",1,0,0,146,146,117,29,0,True,-2349.1716465447216,-2340.2208266795965,-2345.5347234438727,6.877251155071566e-05,5.3459597990983355e-05,-8.137590458382707,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,-2.224823052477736e-07,7.650543487944622e-05,0.19904548508363937,0.013793103448275862,-1.680640814977253,6.567529840272236,3.229239199547008e-10,0.19254906499080732,0.4562542985058894,0.5197239967370849,0.19254906499080732,6.750102821176188e-09,2.9324691607666896e-09,1.2856823156799113,"[{""name"": ""const"", ""estimate"": -0.00010312486381025089, ""std_error"": 1.115187944001713e-05, ""ci_low"": -0.00012498214587261717, ""ci_high"": -8.126758174788461e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.3088962181544236, ""std_error"": 2.2242211237507455e-10, ""ci_low"": 0.30889621771848425, ""ci_high"": 0.3088962185903629, ""boundary_distance"": 0.6911037818455764, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.771551717496781e-09, ""std_error"": 4.313363467792805e-10, ""ci_low"": 4.926148012586312e-09, ""ci_high"": 6.61695542240725e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.6911037818455764,0,[],True,True,True,False,False,0.05583579186350107,1,,permissive,17832,6,0.001,0.0011406052893421772,0.0002820142769517514,4.448323263410692,0.24724966610877094,43.75594178545213,8.584159111696538,8.511307846307954,0.19618270711180483,-2,True,,1,14.5,54.5,88.5,9.5,55.25,145.9125,False
longest_segment,"(1, 0, 0)",1,0,0,146,146,117,29,0,True,-2349.1716465447216,-2340.2208266795965,-2345.5347234438727,6.877251155071566e-05,5.3459597990983355e-05,-8.137590458382707,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,-2.224823052477736e-07,7.650543487944622e-05,0.19904548508363937,0.013793103448275862,-1.680640814977253,6.567529840272236,3.229239199547008e-10,0.19254906499080732,0.4562542985058894,0.5197239967370849,0.19254906499080732,6.750102821176188e-09,2.9324691607666896e-09,1.2856823156799113,"[{""name"": ""const"", ""estimate"": -0.00010312486381025089, ""std_error"": 1.115187944001713e-05, ""ci_low"": -0.00012498214587261717, ""ci_high"": -8.126758174788461e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.3088962181544236, ""std_error"": 2.2242211237507455e-10, ""ci_low"": 0.30889621771848425, ""ci_high"": 0.3088962185903629, ""boundary_distance"": 0.6911037818455764, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.771551717496781e-09, ""std_error"": 4.313363467792805e-10, ""ci_low"": 4.926148012586312e-09, ""ci_high"": 6.61695542240725e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.6911037818455764,0,[],True,True,True,False,False,0.057093749986961484,1,,default,17832,6,0.001,0.0011406052893421772,0.0002820142769517514,4.448323263410692,0.24724966610877094,43.75594178545213,8.584159111696538,8.511307846307954,0.19618270711180483,-2,True,,1,14.5,54.5,88.5,9.5,55.25,145.9125,False
longest_segment,"(3, 0, 0)",3,0,0,86,86,69,17,0,True,-1362.1336967620598,-1349.8619602807923,-1357.1948913639771,6.591443147024235e-05,5.542510962462979e-05,-7.640417761410568,False,7.822410691663944e-05,6.150782805060266e-05,-7.454517058535178,5.4597053716436646e-05,4.4593568940892396e-05,-7.488055216198336,6.17055677236559e-05,4.949879487727587e-05,-7.479219724987508,5.4597053716436646e-05,4.4593568940892396e-05,False,False,-9.775593741472744e-07,8.272387358191011e-05,0.18533458294017077,0.012048192771084338,-1.13728572021144,5.5817412209691994,0.9493075484233996,0.996935665546242,0.9533044075775658,0.9932697704154113,0.9533044075775658,7.127355818430057e-09,1.8290266979786084e-09,1.1150009609075344,"[{""name"": ""const"", ""estimate"": -3.762094269291627e-05, ""std_error"": 8.99687325249345e-05, ""ci_low"": -0.00021395641817650526, ""ci_high"": 0.0001387145327906727, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.9275323248624954, ""std_error"": 4.17013953685731e-08, ""ci_low"": 0.9275322431292623, ""ci_high"": 0.9275324065957284, ""boundary_distance"": 0.07246767513750463, ""near_boundary"": false}, {""name"": ""ar.L2"", ""estimate"": 0.046385533405559766, ""std_error"": 2.6604486350268867e-08, ""ci_low"": 0.04638548126172469, ""ci_high"": 0.04638558554939484, ""boundary_distance"": 0.9536144665944403, ""near_boundary"": false}, {""name"": ""ar.L3"", ""estimate"": -0.07862223233473392, ""std_error"": 4.114139059998735e-08, ""ci_low"": -0.07862231297037778, ""ci_high"": -0.07862215169909006, ""boundary_distance"": 0.9213777676652661, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 6.75332366870443e-09, ""std_error"": 6.283362741184499e-10, ""ci_low"": 5.5218072012521806e-09, ""ci_high"": 7.984840136156679e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.07246767513750463,0,[],True,False,True,False,False,0.07459912495687604,1,,strict,19171,6,0.001,0.0009762069883247895,0.0001382956851284435,1.7301776168194758,0.1416663543515136,21.586205362463755,3.287740114849943,3.951430686522518,0.15230746023416386,-2,True,,3,30.666666666666668,20.0,81.0,69.5,81.625,152.81041666666667,False
longest_segment,"(1, 0, 2)",1,0,2,146,146,117,29,0,True,-2348.300650106026,-2333.382616997484,-2342.239111604611,6.937674399504201e-05,5.399755190545487e-05,-8.13798032822845,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,3.910338944847227e-07,7.591364807631179e-05,0.19349166906335924,0.013888888888888888,-1.57541971448417,5.874670124935461,3.1336767128493377e-10,0.35673508337768756,0.5736365064026833,0.6429410328449875,0.35673508337768756,6.621807859857554e-09,2.8592102103612637e-09,1.2531387340534335,"[{""name"": ""const"", ""estimate"": -0.00010383054925026943, ""std_error"": 9.75565432216618e-06, ""ci_low"": -0.00012295128036733766, ""ci_high"": -8.470981813320119e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.08508966965157545, ""std_error"": 2.451199101731282e-10, ""ci_low"": 0.08508966917114925, ""ci_high"": 0.08508967013200165, ""boundary_distance"": 0.9149103303484245, ""near_boundary"": false}, {""name"": ""ma.L1"", ""estimate"": 0.28383403775273924, ""std_error"": 2.5038650639583796e-10, ""ci_low"": 0.2838340372619907, ""ci_high"": 0.2838340382434878, ""boundary_distance"": 0.7161659622472607, ""near_boundary"": false}, {""name"": ""ma.L2"", ""estimate"": -0.05267831517581051, ""std_error"": 1.2882398495832595e-11, ""ci_low"": -0.05267831520105955, ""ci_high"": -0.05267831515056147, ""boundary_distance"": 0.9473216848241894, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.446418800128068e-09, ""std_error"": 4.06754172724854e-10, ""ci_low"": 4.64919527102597e-09, ""ci_high"": 6.243642329230166e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.7161659622472607,0,[],True,True,True,False,False,0.08351408410817385,1,,default,17832,6,0.001,0.0011406052893421772,0.00022745058890874257,3.826614896177809,0.19941218143913786,43.75594178545213,7.184882704012963,7.5376012955072085,0.16420358952031003,-2,True,,3,23.166666666666668,46.0,94.0,69.5,68.25,154.05416666666667,False
longest_segment,"(1, 0, 2)",1,0,2,146,146,117,29,0,True,-2348.300650106026,-2333.382616997484,-2342.239111604611,6.937674399504201e-05,5.399755190545487e-05,-8.13798032822845,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,3.910338944847227e-07,7.591364807631179e-05,0.19349166906335924,0.013888888888888888,-1.57541971448417,5.874670124935461,3.1336767128493377e-10,0.35673508337768756,0.5736365064026833,0.6429410328449875,0.35673508337768756,6.621807859857554e-09,2.8592102103612637e-09,1.2531387340534335,"[{""name"": ""const"", ""estimate"": -0.00010383054925026943, ""std_error"": 9.75565432216618e-06, ""ci_low"": -0.00012295128036733766, ""ci_high"": -8.470981813320119e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": 0.08508966965157545, ""std_error"": 2.451199101731282e-10, ""ci_low"": 0.08508966917114925, ""ci_high"": 0.08508967013200165, ""boundary_distance"": 0.9149103303484245, ""near_boundary"": false}, {""name"": ""ma.L1"", ""estimate"": 0.28383403775273924, ""std_error"": 2.5038650639583796e-10, ""ci_low"": 0.2838340372619907, ""ci_high"": 0.2838340382434878, ""boundary_distance"": 0.7161659622472607, ""near_boundary"": false}, {""name"": ""ma.L2"", ""estimate"": -0.05267831517581051, ""std_error"": 1.2882398495832595e-11, ""ci_low"": -0.05267831520105955, ""ci_high"": -0.05267831515056147, ""boundary_distance"": 0.9473216848241894, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.446418800128068e-09, ""std_error"": 4.06754172724854e-10, ""ci_low"": 4.64919527102597e-09, ""ci_high"": 6.243642329230166e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.7161659622472607,0,[],True,True,True,False,False,0.08224845794029534,1,,permissive,17832,6,0.001,0.0011406052893421772,0.00022745058890874257,3.826614896177809,0.19941218143913786,43.75594178545213,7.184882704012963,7.5376012955072085,0.16420358952031003,-2,True,,3,23.166666666666668,46.0,94.0,69.5,68.25,154.05416666666667,False
longest_segment,"(2, 0, 1)",2,0,1,146,146,117,29,0,False,-2329.8034757703813,-2314.8854426618395,-2323.7419372689665,6.908518712042612e-05,5.3941815363025975e-05,-8.146347641252845,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,-1.0463435279939158e-07,8.068779543352183e-05,0.3065337721789317,0.013888888888888888,-1.3606233662781784,3.9848630132057323,1.5979461944615598e-08,0.004255052265517436,0.00843003839410948,0.01639605190558521,0.004255052265517436,6.987979596254818e-09,1.7826841726814805e-09,1.1197986654875356,"[{""name"": ""const"", ""estimate"": -0.00010304556616174708, ""std_error"": 7.129734623298218e-06, ""ci_low"": -0.00011701958924273983, ""ci_high"": -8.907154308075433e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": -0.0, ""std_error"": 6.218933383450953e-11, ""ci_low"": -1.218888545381769e-10, ""ci_high"": 1.218888545381769e-10, ""boundary_distance"": 1.0, ""near_boundary"": false}, {""name"": ""ar.L2"", ""estimate"": 0.0, ""std_error"": 7.54175125198038e-11, ""ci_low"": -1.4781560834241406e-10, ""ci_high"": 1.4781560834241406e-10, ""boundary_distance"": 1.0, ""near_boundary"": false}, {""name"": ""ma.L1"", ""estimate"": 0.0, ""std_error"": 6.21893253666607e-11, ""ci_low"": -1.2188883794149816e-10, ""ci_high"": 1.2188883794149816e-10, ""boundary_distance"": 1.0, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.7041838441024976e-09, ""std_error"": 4.475536815758107e-10, ""ci_low"": 4.8269947470656016e-09, ""ci_high"": 6.5813729411393936e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",1.0,0,[],True,True,True,True,False,0.04455283284187317,6,,permissive,17832,6,0.001,0.0011406052893421772,0.0011406051120193817,25.796250000318285,0.9999998445362325,43.75594178545213,43.75593373531326,48.33558172431237,0.9999998160218124,-2,False,,3,18.5,84.5,74.5,69.5,17.75,167.8875,False
longest_segment,"(2, 0, 1)",2,0,1,146,146,117,29,0,False,-2329.8034757703813,-2314.8854426618395,-2323.7419372689665,6.908518712042612e-05,5.3941815363025975e-05,-8.146347641252845,False,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,-1.0463435279939158e-07,8.068779543352183e-05,0.3065337721789317,0.013888888888888888,-1.3606233662781784,3.9848630132057323,1.5979461944615598e-08,0.004255052265517436,0.00843003839410948,0.01639605190558521,0.004255052265517436,6.987979596254818e-09,1.7826841726814805e-09,1.1197986654875356,"[{""name"": ""const"", ""estimate"": -0.00010304556616174708, ""std_error"": 7.129734623298218e-06, ""ci_low"": -0.00011701958924273983, ""ci_high"": -8.907154308075433e-05, ""boundary_distance"": NaN, ""near_boundary"": false}, {""name"": ""ar.L1"", ""estimate"": -0.0, ""std_error"": 6.218933383450953e-11, ""ci_low"": -1.218888545381769e-10, ""ci_high"": 1.218888545381769e-10, ""boundary_distance"": 1.0, ""near_boundary"": false}, {""name"": ""ar.L2"", ""estimate"": 0.0, ""std_error"": 7.54175125198038e-11, ""ci_low"": -1.4781560834241406e-10, ""ci_high"": 1.4781560834241406e-10, ""boundary_distance"": 1.0, ""near_boundary"": false}, {""name"": ""ma.L1"", ""estimate"": 0.0, ""std_error"": 6.21893253666607e-11, ""ci_low"": -1.2188883794149816e-10, ""ci_high"": 1.2188883794149816e-10, ""boundary_distance"": 1.0, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 5.7041838441024976e-09, ""std_error"": 4.475536815758107e-10, ""ci_low"": 4.8269947470656016e-09, ""ci_high"": 6.5813729411393936e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",1.0,0,[],True,True,True,True,False,0.045298249926418066,6,,default,17832,6,0.001,0.0011406052893421772,0.0011406051120193817,25.796250000318285,0.9999998445362325,43.75594178545213,43.75593373531326,48.33558172431237,0.9999998160218124,-2,False,,3,18.5,84.5,74.5,69.5,17.75,167.8875,False
longest_segment,"(0, 1, 2)",0,1,2,146,146,117,29,0,True,-2316.701667469922,-2307.77146624266,-2313.073024664879,7.895499109489343e-05,6.364442144990877e-05,-7.954348851341253,True,6.908518712042611e-05,5.3941815363025975e-05,-8.132138228370838,6.756492551822696e-05,5.2989233914448565e-05,-8.147296524474584,6.963722389023618e-05,5.7357143928186636e-05,-8.126550481807628,6.756492551822696e-05,5.2989233914448565e-05,False,False,-2.5108040017577534e-07,8.037864681518432e-05,0.16502548587545826,0.013986013986013986,-1.0724471162012357,4.648711763481189,0.013652945323440357,0.05245797911820311,0.24797476517350878,0.3792452944594762,0.05245797911820311,7.392497522177032e-09,3.842741326581947e-09,1.3647310149006442,"[{""name"": ""ma.L1"", ""estimate"": -0.4641118048536461, ""std_error"": 2.334836362134987e-18, ""ci_low"": -0.4641118048536461, ""ci_high"": -0.4641118048536461, ""boundary_distance"": 0.5358881951463539, ""near_boundary"": false}, {""name"": ""ma.L2"", ""estimate"": -0.3397755978971499, ""std_error"": 2.7449707472647385e-18, ""ci_low"": -0.3397755978971499, ""ci_high"": -0.3397755978971499, ""boundary_distance"": 0.66022440210285, ""near_boundary"": false}, {""name"": ""sigma2"", ""estimate"": 7.110537176692939e-09, ""std_error"": 5.85852101877326e-10, ""ci_low"": 5.96228815674629e-09, ""ci_high"": 8.258786196639588e-09, ""boundary_distance"": NaN, ""near_boundary"": false}]",0.5358881951463539,0,[],True,True,True,False,False,0.018146874848753214,0,,default,17832,6,0.001,0.0011406052893421772,2.5441708508363756e-05,0.34194954733230426,0.02230544496513495,43.75594178545213,0.8116491555394731,0.7384939203035978,0.018549461454154516,-2,True,,3,46.833333333333336,39.0,90.75,69.5,98.75,168.57083333333333,False
