quality_policy,mode,order,p,d,q,center_cadenceno,duration_cadences,depth,observed_depth_before_arima,innovation_depth_after_arima,standardized_innovation_depth_after_arima,depth_retention_fraction,local_snr_before_arima,local_snr_after_arima,standardized_snr_after_arima,snr_retention_fraction,event_center_shift_cadences,transit_preservation_failure,transit_preservation_failure_reason
strict,full_gap,"(0, 0, 1)",0,0,1,19171,6,0.001,0.0009762069883247895,0.0005524184456141406,7.563395269617136,0.5658824944104456,21.586205362463755,8.325879048911036,7.867959686079738,0.38570368942143507,-2,True,
strict,full_gap,"(0, 0, 2)",0,0,2,19171,6,0.001,0.0009762069883247895,0.0002380149432855542,3.412949820400968,0.2438160616878982,21.586205362463755,3.2031580145342864,3.3763210971800843,0.14838911984522563,-2,True,
strict,full_gap,"(0, 0, 3)",0,0,3,19171,6,0.001,0.0009762069883247895,0.000259116741393773,3.9065542737909023,0.2654321721650731,21.586205362463755,4.551805221150799,4.994682572808118,0.21086639104554852,-2,True,
strict,full_gap,"(0, 1, 0)",0,1,0,19171,6,0.001,0.0009762069883247895,-6.061552974334639e-06,-0.05357503519727347,-0.006209290700465593,21.586205362463755,-0.22538850440781705,-0.15393624623036217,-0.01044132123377947,-2,True,
strict,full_gap,"(0, 1, 1)",0,1,1,19171,6,0.001,0.0009762069883247895,0.00014534007580446962,2.256608640402842,0.14888243737517087,21.586205362463755,5.587484521712127,5.953678496594021,0.25884514799568253,-2,True,
strict,full_gap,"(0, 1, 2)",0,1,2,19171,6,0.001,0.0009762069883247895,0.00022083110472656797,3.0844000878409417,0.2262134028619515,21.586205362463755,8.198575083854145,7.994869338985249,0.37980622097252187,-2,True,
strict,full_gap,"(0, 1, 3)",0,1,3,19171,6,0.001,0.0009762069883247895,0.00021916469575436405,3.2930117022712904,0.22450637864256584,21.586205362463755,6.578825879797211,6.460519653549891,0.3047699106595701,-2,True,
strict,full_gap,"(1, 0, 0)",1,0,0,19171,6,0.001,0.0009762069883247895,0.00011206037925674541,1.3298061441378972,0.11479161755341,21.586205362463755,2.987984197361718,2.428355704813811,0.1384210030058142,-2,True,
strict,full_gap,"(1, 0, 1)",1,0,1,19171,6,0.001,0.0009762069883247895,0.0002101559491478357,3.18332353707504,0.2152780626048086,21.586205362463755,6.456150572799299,6.818326256907768,0.29908686887719027,-2,True,
strict,full_gap,"(1, 0, 2)",1,0,2,19171,6,0.001,0.0009762069883247895,0.0002443295444014876,3.654445270416698,0.25028456805125615,21.586205362463755,7.788411533150583,8.107821073875435,0.36080503276846654,-2,True,
strict,full_gap,"(1, 0, 3)",1,0,3,19171,6,0.001,0.0009762069883247895,0.00027131509380405946,3.9545994709539802,0.27792783400336757,21.586205362463755,6.8421285168297,6.742579404807548,0.31696763752315055,-2,True,
strict,full_gap,"(1, 1, 0)",1,1,0,19171,6,0.001,0.0009762069883247895,6.834836403397278e-05,0.9781630151228329,0.0700142130218319,21.586205362463755,2.363278973930206,2.3547705944247608,0.10948098261122406,-2,True,
strict,full_gap,"(1, 1, 1)",1,1,1,19171,6,0.001,0.0009762069883247895,0.00019584536614875432,2.940144504355457,0.20061868895738275,21.586205362463755,7.796206132590014,8.02417653337977,0.36116612446145047,-2,True,
strict,full_gap,"(1, 1, 2)",1,1,2,19171,6,0.001,0.0009762069883247895,0.00021890367204070065,3.34628652061682,0.22423899301965475,21.586205362463755,6.813500333082175,6.90053698722452,0.31564141166423665,-2,True,
strict,full_gap,"(2, 0, 0)",2,0,0,19171,6,0.001,0.0009762069883247895,0.0001530927533104207,2.23381635055787,0.15682407024470704,21.586205362463755,4.909217037931252,4.898330767143408,0.22742380865457196,-2,True,
strict,full_gap,"(2, 0, 1)",2,0,1,19171,6,0.001,0.0009762069883247895,0.00020171743803168159,3.072590957431154,0.20663388035957092,21.586205362463755,6.164955320029013,6.558558778585545,0.2855969919914341,-2,True,
strict,full_gap,"(2, 0, 2)",2,0,2,19171,6,0.001,0.0009762069883247895,0.0002470285305764796,3.7207110814741355,0.2530493363916504,21.586205362463755,7.604974575550113,7.636819438130302,0.3523071539370417,-2,True,
strict,full_gap,"(2, 1, 0)",2,1,0,19171,6,0.001,0.0009762069883247895,0.00016270935180219572,2.4593705175446825,0.16667505329111762,21.586205362463755,5.991425212151562,6.251287412038,0.2775580567101455,-2,True,
strict,full_gap,"(2, 1, 1)",2,1,1,19171,6,0.001,0.0009762069883247895,-5.641840526839572e-05,-0.49771404483973686,-0.0577934863642105,21.586205362463755,-0.8913391054045802,-0.8658324511585975,-0.041292070117823,-2,True,
strict,full_gap,"(3, 0, 0)",3,0,0,19171,6,0.001,0.0009762069883247895,0.0001981074177770225,3.045141273674006,0.20293587338171262,21.586205362463755,6.128567631216071,6.383475818240793,0.2839113002173617,-2,True,
strict,full_gap,"(3, 0, 1)",3,0,1,19171,6,0.001,0.0009762069883247895,0.00019276371956418752,2.9792048962074267,0.19746193365710055,21.586205362463755,5.986290551641354,6.214276463577223,0.27732018903382216,-2,True,
strict,full_gap,"(3, 1, 0)",3,1,0,19171,6,0.001,0.0009762069883247895,0.0001797744318696809,2.639506135543144,0.18415605913473437,21.586205362463755,5.6544958088831025,5.429062841967555,0.2619495049702299,-2,True,
strict,longest_segment,"(0, 0, 1)",0,0,1,19171,6,0.001,0.0009762069883247895,0.0006306114658254354,4.708235047123333,0.6459813065952232,21.586205362463755,5.971070407973393,6.264575930793457,0.2766151024559641,-2,True,
strict,longest_segment,"(0, 0, 2)",0,0,2,19171,6,0.001,0.0009762069883247895,0.00015505270022580782,2.018027965663875,0.15883178678313345,21.586205362463755,2.0501116755214244,1.9063097268454152,0.09497323133441336,-2,True,
strict,longest_segment,"(0, 0, 3)",0,0,3,19171,6,0.001,0.0009762069883247895,0.0001742182651966774,2.346502417448145,0.1784644724738582,21.586205362463755,3.6111560328668006,4.34589406222111,0.16728998785243834,-2,True,
strict,longest_segment,"(0, 1, 0)",0,1,0,19171,6,0.001,0.0009762069883247895,-6.061552974334639e-06,-0.04740579587640406,-0.006209290700465593,21.586205362463755,-0.22538850440781705,-0.14436055672866505,-0.01044132123377947,-2,True,
strict,longest_segment,"(0, 1, 1)",0,1,1,19171,6,0.001,0.0009762069883247895,-9.893770036983444e-06,-0.09735225399527303,-0.010134910070620937,21.586205362463755,-0.36087450758048406,-0.31357808747377347,-0.016717829814035245,-2,True,
strict,longest_segment,"(0, 1, 2)",0,1,2,19171,6,0.001,0.0009762069883247895,-7.63337036354205e-06,-0.06907903853022013,-0.007819417864075345,21.586205362463755,-0.2745644485621024,-0.20940220561022288,-0.01271944021432977,-2,True,
strict,longest_segment,"(0, 1, 3)",0,1,3,19171,6,0.001,0.0009762069883247895,7.134382025887773e-05,0.7957308930433871,0.07308267725198997,21.586205362463755,2.3133068776835675,2.538203392519275,0.10716598118287969,-2,True,
strict,longest_segment,"(1, 0, 0)",1,0,0,19171,6,0.001,0.0009762069883247895,0.00013584825372557998,1.7478976629209582,0.1391592719067716,21.586205362463755,3.4884411189870628,3.8908566678689187,0.1616051112463292,-2,True,
strict,longest_segment,"(1, 0, 1)",1,0,1,19171,6,0.001,0.0009762069883247895,0.0001374556902951414,1.6372742824782596,0.14080588639405348,21.586205362463755,3.3860740328893755,3.801599239194939,0.15686286570669888,-2,True,
strict,longest_segment,"(1, 0, 2)",1,0,2,19171,6,0.001,0.0009762069883247895,0.0001346505521629232,1.6966446913081452,0.13793237886361476,21.586205362463755,3.3863331076014176,4.085941405415145,0.15687486757120875,-2,True,
strict,longest_segment,"(1, 0, 3)",1,0,3,19171,6,0.001,0.0009762069883247895,0.00014581601388709986,1.7800798304739043,0.14936997545707598,21.586205362463755,3.3648206211772647,3.5470584841370263,0.15587828266603773,-2,True,
strict,longest_segment,"(1, 1, 0)",1,1,0,19171,6,0.001,0.0009762069883247895,-9.21483447062024e-06,-0.09180552157795854,-0.009439426864207628,21.586205362463755,-0.33441578067404953,-0.2978611904125405,-0.015492105956499655,-2,True,
strict,longest_segment,"(1, 1, 1)",1,1,1,19171,6,0.001,0.0009762069883247895,-9.824110941146185e-06,-0.09628856643232744,-0.010063553179438672,21.586205362463755,-0.3581564016734025,-0.31065151578032757,-0.01659191116082869,-2,True,
strict,longest_segment,"(1, 1, 2)",1,1,2,19171,6,0.001,0.0009762069883247895,-6.061552996095337e-06,-0.04740579617002422,-0.006209290722756663,21.586205362463755,-0.2253885050236827,-0.14436055782165783,-0.01044132126230999,-2,True,
strict,longest_segment,"(2, 0, 0)",2,0,0,19171,6,0.001,0.0009762069883247895,0.0001427394754700504,1.6887128724528861,0.14621845282525286,21.586205362463755,3.309518226332375,3.594549561772836,0.1533163504544108,-2,True,
strict,longest_segment,"(2, 0, 1)",2,0,1,19171,6,0.001,0.0009762069883247895,8.054874745423571e-05,0.9291818890288369,0.08251195537173997,21.586205362463755,1.3978480496773016,1.674641581474687,0.064756543644675,-2,True,
strict,longest_segment,"(2, 0, 2)",2,0,2,19171,6,0.001,0.0009762069883247895,0.0001243344554775931,1.5436834050654522,0.1273648488123979,21.586205362463755,2.41517558900752,3.1919905169395135,0.11188513907160673,-2,True,
strict,longest_segment,"(2, 1, 0)",2,1,0,19171,6,0.001,0.0009762069883247895,-9.238365502838287e-06,-0.09297995041103688,-0.009463531416315401,21.586205362463755,-0.33520124707380083,-0.30259740326766504,-0.015528493380160376,-2,True,
strict,longest_segment,"(2, 1, 1)",2,1,1,19171,6,0.001,0.0009762069883247895,-6.0615530554676725e-06,-0.04740579697112368,-0.006209290783576075,21.586205362463755,-0.22538850670393676,-0.14436056080397033,-0.01044132134014924,-2,True,
strict,longest_segment,"(3, 0, 0)",3,0,0,19171,6,0.001,0.0009762069883247895,0.0001382956851284435,1.7301776168194758,0.1416663543515136,21.586205362463755,3.287740114849943,3.951430686522518,0.15230746023416386,-2,True,
strict,longest_segment,"(3, 0, 1)",3,0,1,19171,6,0.001,0.0009762069883247895,0.00013418754486881597,1.6929482808217948,0.13745808673126506,21.586205362463755,2.9810973749315517,3.7118004747626547,0.13810196488334078,-2,True,
strict,longest_segment,"(3, 1, 0)",3,1,0,19171,6,0.001,0.0009762069883247895,2.7008677360481523e-05,0.2892935805227317,0.027666957605814214,21.586205362463755,1.0793198732686673,1.0140006852278383,0.05000044496683499,-2,True,
