trial_center_cadenceno,duration_cadences,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,injected_center_cadenceno,center_offset_cadences,is_injected_center_neighborhood,raw_flux_box_rank,innovation_unchanged_box_rank,innovation_transformed_template_rank,rank
16374,6,-1.0243809420771421,-13.635882537713437,13.311339539433341,25,,0.0,0.0,22,-0.08448321386099941,-1.4005145123906022,16.577429389640344,22,16518,-144,False,177,251,119,119
16384,6,-0.29722180330624737,-5.254127198410462,17.677462218331222,35,-0.2807380113771838,-9.178782533027775,32.695189682367875,32,-3.126180920183068,-76.72247749661707,24.54191854389676,32,16518,-134,False,121,154,247,247
16404,6,-1.4778340764339764,-60.526784778138826,40.956414352137806,48,0.2886041692571101,10.015871725712813,34.70452887598422,48,-0.7527572125131508,-20.29058582963602,26.955020147723314,48,16518,-114,False,209,90,174,174
16425,6,-1.901316331475679,-81.10387855749808,42.656699053623804,46,0.12268548753284829,3.844063943996715,31.33267040217361,46,0.8559295972998527,19.694816074134092,23.00985517531359,46,16518,-93,False,221,106,43,43
16447,6,4.300239087849647,157.4018416181431,36.60304425000066,47,1.8271518520693277,56.832351874623335,31.104339691448338,47,1.6516958834376005,36.94731746992183,22.369322246553665,47,16518,-71,False,8,18,25,25
16457,6,-3.5891213545990475,-114.4531371620595,31.888901448094234,48,-1.5257458237404644,-46.13707456881856,30.239030545540373,48,-1.2116621535480376,-27.004616154825193,22.287249028740558,48,16518,-61,False,246,225,207,207
16477,6,3.3898049847397758,116.44727575609325,34.35220500303575,49,2.8998505017772502,92.33195010458135,31.840244884346028,49,2.6957235469627405,63.550430663663896,23.574535577012664,49,16518,-41,False,15,5,13,13
16497,6,9.32199749314661,309.42966831231104,33.19349404886657,49,-0.6855360857095758,-20.66370739869357,30.14240654787012,49,8.00968094585982,169.49179864442624,21.16086767876017,49,16518,-21,False,4,195,3,3
16517,6,24.812180292425843,779.8370878295495,31.429607500780666,49,11.803953443587023,329.0268733407225,27.87429439748254,49,9.291429913233232,188.53159095587753,20.290912455505172,49,16518,-1,True,2,2,2,2
16518,6,32.76757107187462,1023.6340277881285,31.239240331326968,49,11.81807188750167,329.1132470170541,27.84830301845696,49,22.362363110731888,454.2478778169462,20.313053480423488,49,16518,0,True,1,1,1,1
