policy,min_length_scale_days,n_stars,fit_completion_rate,convergence_rate,lower_bound_hit_rate,median_fitted_length_scale_days,median_log_marginal_likelihood,median_residual_scale_ppm,median_abs_residual_acf1,median_runtime_seconds,n_injections,median_template_amplitude_ratio,median_peak_depth_ratio,median_template_energy_ratio,median_template_correlation,median_template_rmse_ppm,median_oracle_signal_snr
minls_0p5d,0.5,10,1.0,0.5,0.5,0.8316466363319762,2798.512224595896,411.43030370630163,0.31050908592134785,0.3042473124805838,60,0.8291655044077342,0.9915518231272751,0.9233112858578787,0.9742284100742522,24.654875297133685,9.220034016513871
minls_0p75d,0.75,10,1.0,0.5,0.5,0.9566472479714954,2706.1679747280755,411.4306626744949,0.28033323531153864,0.3302532499656081,60,0.8499298332457221,0.9854271154990963,0.9233114611715032,0.9806998155644672,22.25365636449613,9.346840348775856
minls_1d,1.0,10,1.0,0.5,0.5,1.0816464463569346,2667.8572979221726,411.43002371144576,0.28033634387049305,0.3044474374037236,60,0.8689078065187152,0.991551515533631,0.9275044027341147,0.9846763154694351,21.924869909320847,9.346855327161437
