policy,min_length_scale_days,duration_hours,n_injections,median_template_amplitude_ratio,median_peak_depth_ratio,median_template_correlation,median_template_rmse_ppm,median_oracle_signal_snr
minls_0p5d,0.5,2.0,20,0.8943277246109831,1.0000300127189945,0.96309864622769,19.356248129845795,7.9345646914663845
minls_0p5d,0.5,4.0,20,0.8250918308170556,0.9915518231272751,0.9766106809492882,26.505367725805034,10.434096768506475
minls_0p5d,0.5,8.0,20,0.6451252492313841,0.7877456671779066,0.9703924569472047,31.40844518040364,9.4767022742966
minls_0p75d,0.75,2.0,20,0.9120135148128303,0.9996907704175597,0.975132860712286,18.38164560055797,7.972548769624307
minls_0p75d,0.75,4.0,20,0.8530892118353668,0.9854271154990963,0.9829687366570241,25.36846118361308,10.94485662128087
minls_0p75d,0.75,8.0,20,0.6999330279266527,0.8257044042110819,0.9801515151285236,29.016342581854936,9.645026595951727
minls_1d,1.0,2.0,20,0.9214688920912882,0.9998640641358231,0.9822936023654119,15.994269137625338,7.981456114887113
minls_1d,1.0,4.0,20,0.8689078065187152,0.991551515533631,0.9875180201206828,24.605348168526053,11.255549364237751
minls_1d,1.0,8.0,20,0.7312821263319503,0.8455080393382877,0.9844788757113818,27.43853045112597,9.645105284768848
