configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,predicted_background,filtered_background,kalman_residual,kalman_gain
mle_injected_reference,0,444.51122690278135,444.1651178890752,-0.34610901370615466,2.452944953024172e-05,2.452944953024172e-05,False,8.710868808569771e-06,2.1655768753226775e-05,1.581858072167195e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.18555198771355,-0.32567491506779334,-1.3879249734172205e-05,-1.3879249734172205e-05,False,2.1655768753226775e-05,-7.423784396614661e-06,-3.553501848739898e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.20598598646757,-0.30524091631377814,6.96228486667394e-05,6.96228486667394e-05,False,-7.423784396614661e-06,5.562618030163445e-05,7.704663306335407e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.22642018536135,-0.28480671741999686,,,False,5.562618030163445e-05,5.562618030163445e-05,,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.24685428437806,-0.26437261840328574,3.33668493610606e-05,3.33668493610606e-05,False,5.562618030163445e-05,3.578872511688458e-05,-2.2259330940573846e-05,0.891197279815386
mle_injected_reference,0,444.51122690278135,444.26728828356863,-0.2439386192127131,-1.965754962351962e-05,-1.965754962351962e-05,False,3.578872511688458e-05,-9.716492832749775e-06,-5.54462747404042e-05,0.8207083011922224
mle_injected_reference,0,444.51122690278135,444.28772248284076,-0.223504419940582,3.982494923726598e-05,3.982494923726598e-05,False,-9.716492832749775e-06,3.0828886893067996e-05,4.954144207001576e-05,0.8184133935486969
mle_injected_reference,0,444.51122690278135,444.3081565822649,-0.20307032051641727,-2.1357049591053112e-05,-2.1357049591053112e-05,False,3.0828886893067996e-05,-1.1876831841501042e-05,-5.218593648412111e-05,0.8183376904151818
mle_injected_reference,0,444.51122690278135,444.32859058183385,-0.18263632094749482,-3.019444942176097e-05,-3.019444942176097e-05,False,-1.1876831841501042e-05,-2.686678294261877e-05,-1.831761758025993e-05,0.8183351920869735
mle_injected_reference,0,444.51122690278135,444.34902478148433,-0.16220212129701395,-1.7731449660440823e-05,-1.7731449660440823e-05,False,-2.686678294261877e-05,-1.9391018979578493e-05,9.135333282177948e-06,0.8183351096368526
mle_injected_reference,0,444.51122690278135,444.36945888131595,-0.14176802146539558,-6.214504880996952e-05,-6.214504880996952e-05,False,-1.9391018979578493e-05,-5.43781425519138e-05,-4.2754029830391024e-05,0.8183351069158228
mle_injected_reference,0,444.51122690278135,444.389892981264,-0.12133392151736189,3.2233849382778956e-05,3.2233849382778956e-05,False,-5.43781425519138e-05,1.6499491120377614e-05,8.661199193469275e-05,0.818335106826023
mle_injected_reference,0,444.51122690278135,444.41032708135026,-0.100899821431085,-4.4923449139755434e-05,-4.4923449139755434e-05,False,1.6499491120377614e-05,-3.376505725878475e-05,-6.142294026013304e-05,0.8183351068230594
mle_injected_reference,0,444.51122690278135,444.43076118156023,-0.08046572122111684,3.0194449421871994e-05,-0.000969805550578128,True,-3.376505725878475e-05,-0.0007997598543498871,-0.0009360404933193432,0.8183351068229615
mle_injected_reference,0,444.51122690278135,444.4511952818866,-0.06003162089473335,-4.5489949128896257e-05,-0.0010454899491288963,True,-0.0007997598543498871,-0.0010008494177104832,-0.0002457300947790092,0.8183351068229583
mle_injected_reference,0,444.51122690278135,444.4716294823811,-0.03959742040024139,3.574614931545206e-05,-0.000964253850684548,True,-0.0010008494177104832,-0.0009709019804590678,3.659556702593526e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.49206348296866,-0.01916341981268488,8.979024828059678e-05,-0.0009102097517194032,True,-0.0009709019804590678,-0.000921235398970071,6.0692228739664573e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.5124975837025,0.001270680921152234,4.254414918536398e-05,-0.000957455850814636,True,-0.000921235398970071,-0.0009508758662994689,-3.622045184456502e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.5329315845447,0.021704681763367262,-4.1524449204799474e-05,-0.0010415244492047995,True,-0.0009508758662994689,-0.0010250567840746523,-9.064858290533059e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.55336578554125,0.0421388827599003,4.8435749072428536e-05,-0.0009515642509275715,True,-0.0010250567840746523,-0.0009649152641110462,7.349253314708083e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.57379988668254,0.06257298390119104,8.667449834076635e-06,-0.0009913325501659234,True,-0.0009649152641110462,-0.0009865334567167369,-2.64172860548772e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.5942338879395,0.08300698515813565,4.31106491745048e-05,-0.0009568893508254952,True,-0.0009865334567167369,-0.0009622746441555565,2.9644105891241633e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.6146680893362,0.10344118655484635,9.092324825887843e-05,9.092324825887843e-05,False,-0.0009622746441555565,-0.00010040583436087545,0.001053197892414435,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.63510219085583,0.12387528807448689,-4.135449920839029e-06,-4.135449920839029e-06,False,-0.00010040583436087545,-2.1624399026251e-05,9.627038444003642e-05,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.6555362924846,0.1443093897032668,,,False,-2.1624399026251e-05,-2.1624399026251e-05,,0.8183351068229582
mle_injected_reference,0,444.51122690278135,444.6759703942662,0.1647434914848418,5.002194904202284e-05,5.002194904202284e-05,False,-2.1624399026251e-05,4.2226631480900975e-05,7.164634806827384e-05,0.891197279815386
mle_injected_reference,0,444.51122690278135,444.6964044961642,0.18517759338283213,-1.5578749701705696e-05,-1.5578749701705696e-05,False,4.2226631480900975e-05,-5.214724709245002e-06,-5.780538118260667e-05,0.8207083011922224
mle_injected_reference,0,444.51122690278135,444.7168385982004,0.20561169541906565,-4.141114920697131e-05,-4.141114920697131e-05,False,-5.214724709245002e-06,-3.483836331675837e-05,-3.619642449772631e-05,0.8184133935486969
mle_injected_reference,0,444.51122690278135,444.73727270036034,0.22604579757899046,-1.002704980801461e-05,-1.002704980801461e-05,False,-3.483836331675837e-05,-1.4534330323846001e-05,2.4811313508743763e-05,0.8183376904151818
mle_injected_reference,0,444.51122690278135,444.7577068026658,0.24647989988443442,-1.9430949627863292e-05,-1.9430949627863292e-05,False,-1.4534330323846001e-05,-1.854140622257577e-05,-4.896619304017291e-06,0.8183351920869735
mle_injected_reference,0,444.51122690278135,444.77814090508036,0.26691400229901774,-0.0002104547459698125,-0.0002104547459698125,False,-1.854140622257577e-05,-0.0001755908301454053,-0.00019191333974723674,0.8183351096368526
mle_injected_reference,0,444.51122690278135,444.79857500764774,0.28734810486639617,-0.0002505629452017599,-0.0002505629452017599,False,-0.0001755908301454053,-0.00023694314393575262,-7.497211505635463e-05,0.8183351069158228
mle_injected_reference,0,444.51122690278135,444.81900911033154,0.3077822075501899,-0.0002075089460261692,-0.0002075089460261692,False,-0.00023694314393575262,-0.0002128561064450754,2.943419790958342e-05,0.818335106826023
mle_injected_reference,0,444.51122690278135,444.8394432131536,0.32821631037222687,-9.296264821978539e-05,-9.296264821978539e-05,False,-0.0002128561064450754,-0.0001147430805008967,0.00011989345822529,0.8183351068230594
mle_injected_reference,0,444.51122690278135,444.8598773160993,0.3486504133179551,-2.498264952155438e-05,-2.498264952155438e-05,False,-0.0001147430805008967,-4.128896862694154e-05,8.976043097934232e-05,0.8183351068229615
fixed_q_over_r_0.001,0,444.51122690278135,444.1651178890752,-0.34610901370615466,2.452944953024172e-05,2.452944953024172e-05,False,-4.141300233583393e-06,-2.9921305897688793e-06,2.8670749763825113e-05,0.040081604188267936
fixed_q_over_r_0.001,0,444.51122690278135,444.18555198771355,-0.32567491506779334,-1.3879249734172205e-05,-1.3879249734172205e-05,False,-2.9921305897688793e-06,-3.4217417918509876e-06,-1.0887119144403327e-05,0.03946050340626207
fixed_q_over_r_0.001,0,444.51122690278135,444.20598598646757,-0.30524091631377814,6.96228486667394e-05,6.96228486667394e-05,False,-3.4217417918509876e-06,-5.812486723300163e-07,7.304459045859039e-05,0.038887111306774615
fixed_q_over_r_0.001,0,444.51122690278135,444.22642018536135,-0.28480671741999686,,,False,-5.812486723300163e-07,-5.812486723300163e-07,,0.03835715518836506
fixed_q_over_r_0.001,0,444.51122690278135,444.24685428437806,-0.26437261840328574,3.33668493610606e-05,3.33668493610606e-05,False,-5.812486723300163e-07,7.522673716931763e-07,3.394809803339062e-05,0.03928102371778166
fixed_q_over_r_0.001,0,444.51122690278135,444.26728828356863,-0.2439386192127131,-1.965754962351962e-05,-1.965754962351962e-05,False,7.522673716931763e-07,-3.802708116688548e-08,-2.04098169952128e-05,0.03872129049689323
fixed_q_over_r_0.001,0,444.51122690278135,444.28772248284076,-0.223504419940582,3.982494923726598e-05,3.982494923726598e-05,False,-3.802708116688548e-08,1.4848895666768052e-06,3.986297631843287e-05,0.03820378678396594
fixed_q_over_r_0.001,0,444.51122690278135,444.3081565822649,-0.20307032051641727,-2.1357049591053112e-05,-2.1357049591053112e-05,False,1.4848895666768052e-06,6.231812820647482e-07,-2.2841939157729917e-05,0.037724830569844485
fixed_q_over_r_0.001,0,444.51122690278135,444.32859058183385,-0.18263632094749482,-3.019444942176097e-05,-3.019444942176097e-05,False,6.231812820647482e-07,-5.257346699251398e-07,-3.081763070382572e-05,0.037281125308807686
