period,power,duration,transit_time,depth,depth_err,depth_snr,log_likelihood
1.0,108.34452528633346,0.1625,444.49247690278133,0.00016645106191198622,1.5363126237536092e-06,108.34452528633346,6970.956902287168
1.014014014014014,21.858758389013797,0.36875,444.37685190278137,2.547633144059042e-05,1.165497645712339e-06,21.858758389013797,374.98445995547377
1.028028028028028,21.609766171637975,0.3125,444.41747690278135,2.6353277564711192e-05,1.2195077612315352e-06,21.609766171637975,334.9780940187013
1.042042042042042,12.17020298137042,0.1625,444.27372690278133,1.8804846928502676e-05,1.5451547486338773e-06,12.17020298137042,87.72714598454259
1.0560560560560561,17.557395165119015,0.1625,443.96122690278133,2.7256604490328905e-05,1.5524287192942576e-06,17.557395165119015,182.1976232616111
1.07007007007007,24.270959737700498,0.1125,443.8487269027813,4.396184478969594e-05,1.8112940429549334e-06,24.270959737700498,329.91499940666876
1.084084084084084,10.185763317498939,0.21250000000000002,444.49247690278133,1.4418765306722078e-05,1.415580242469499e-06,10.185763317498939,64.40855848252308
1.098098098098098,12.876750799748777,0.0625,443.80497690278133,3.122488880137586e-05,2.424904332386789e-06,12.876750799748777,87.88082081986266
1.112112112112112,50.0461511380748,0.1625,444.47997690278135,7.937409294646243e-05,1.5860179282813043e-06,50.0461511380748,1466.8151482111396
1.1261261261261262,18.214027619020545,0.2625,444.51747690278137,2.4179683759834885e-05,1.3275308605870634e-06,18.214027619020545,216.00057000615644
1.14014014014014,12.374778957118963,0.1125,444.47997690278135,2.324534848422629e-05,1.8784455516155872e-06,12.374778957118963,84.95799700638614
1.1541541541541542,36.48954016802299,0.1625,444.49872690278136,5.881661037509941e-05,1.6118758993472432e-06,36.48954016802299,774.7210719753112
1.1681681681681682,13.035650644640032,0.1125,444.54247690278135,2.478923544523841e-05,1.9016492633170703e-06,13.035650644640032,93.99497939229511
1.1821821821821823,10.385176031569044,0.1625,443.59247690278136,1.682956427948828e-05,1.6205372184669253e-06,10.385176031569044,62.62291253848001
1.1961961961961962,14.124719021899612,0.21250000000000002,443.67372690278137,2.0658119420886487e-05,1.4625508223460724e-06,14.124719021899612,121.47162099094041
1.2102102102102101,15.323684179089085,0.21250000000000002,443.66747690278135,2.254386125647453e-05,1.471177622365658e-06,15.323684179089085,142.50705131876066
1.2242242242242243,16.884370374891496,0.2625,444.66747690278135,2.321306392419249e-05,1.3748255581216283e-06,16.884370374891496,180.53348085981966
1.2382382382382382,17.476372524883434,0.3125,444.63622690278135,2.258839774572909e-05,1.2925106576646262e-06,17.476372524883434,203.88604026427063
1.2522522522522523,111.84604145194018,0.21250000000000002,444.44872690278135,0.00016745206063111824,1.4971657329783258e-06,111.84604145194018,7522.338880940266
1.2662662662662663,8.823057777016412,0.1125,444.70497690278137,1.7489088589664834e-05,1.9822026594026124e-06,8.823057777016412,42.6605403190793
1.2802802802802802,10.855628668256825,0.21250000000000002,444.13622690278135,1.6454499784857565e-05,1.5157574275705025e-06,10.855628668256825,70.43024233840568
1.2942942942942943,17.5746269664519,0.41875,444.13310190278133,2.100928496467532e-05,1.1954327682049706e-06,17.5746269664519,229.17445834125192
1.3083083083083082,13.912429366386311,0.1125,444.67372690278137,2.776846254334031e-05,1.995946344959093e-06,13.912429366386311,105.91621007150968
1.3223223223223224,10.376725957380092,0.0625,444.1612269027813,2.7161544343984906e-05,2.617544729960531e-06,10.376725957380092,56.562110939940794
1.3363363363363363,17.49272863346517,0.21250000000000002,443.71122690278133,2.6782124641702733e-05,1.5310432810617157e-06,17.49272863346517,182.006738024411
1.3503503503503502,12.365975513303212,0.3125,444.72997690278135,1.64716180715933e-05,1.3320112152796416e-06,12.365975513303212,99.27586161915737
1.3643643643643644,32.806793146819246,0.1625,444.01747690278137,5.705156974308666e-05,1.7390169617543995e-06,32.806793146819246,609.9354695112237
1.3783783783783785,19.064990663120035,0.3125,444.51747690278137,2.5509362630241427e-05,1.3380212495769853e-06,19.064990663120035,235.0803299121799
1.3923923923923924,11.960786670244971,0.36875,443.97060190278137,1.5179254078513259e-05,1.2690849270203035e-06,11.960786670244971,97.38367121937628
1.4064064064064064,15.130164030722371,0.36875,444.6143519027813,1.926903595942035e-05,1.2735510282832256e-06,15.130164030722371,155.21968867594097
1.4204204204204205,14.908119127501399,0.21250000000000002,444.66747690278135,2.3661180324416223e-05,1.5871338377466962e-06,14.908119127501399,130.12286231974483
1.4344344344344344,28.72829223899079,0.41875,444.30810190278135,3.544786982184971e-05,1.2339010452469197e-06,28.72829223899079,581.9503186389629
1.4484484484484486,15.198322308551912,0.3125,444.14872690278133,2.0705484658695368e-05,1.3623533070518344e-06,15.198322308551912,147.27163131816482
1.4624624624624625,17.446051004249476,0.3125,444.0049769027813,2.3856729601890754e-05,1.3674572885336503e-06,17.446051004249476,193.50859867803334
